sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,chip_antibody,tissue,supplementary_files_format_and_content,biosample,sra
marmoset_cerebellum_h3k27ac_1,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028533,SRX5806010,Marmoset_Cerebellum_H3K27ac_1,GSM3755466,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755466,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755466/suppl/GSM3755466_Marmoset_Cerebellum_H3K27ac_1_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755466/suppl/GSM3755466_Marmoset_Cerebellum_H3K27ac_1_peaks.narrowPeak.gz,GSE130871,0,SRX5806010,"anti-H3K27ac (Abcam, catalog#: ab4729)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604049,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806010
marmoset_cerebellum_h3k27ac_2,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028534,SRX5806011,Marmoset_Cerebellum_H3K27ac_2,GSM3755467,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755467,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755467/suppl/GSM3755467_Marmoset_Cerebellum_H3K27ac_2_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755467/suppl/GSM3755467_Marmoset_Cerebellum_H3K27ac_2_peaks.narrowPeak.gz,GSE130871,0,SRX5806011,"anti-H3K27ac (Abcam, catalog#: ab4729)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604048,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806011
marmoset_cerebellum_h3k27ac_3,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028535,SRX5806012,Marmoset_Cerebellum_H3K27ac_3,GSM3755468,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755468,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755468/suppl/GSM3755468_Marmoset_Cerebellum_H3K27ac_3_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755468/suppl/GSM3755468_Marmoset_Cerebellum_H3K27ac_3_peaks.narrowPeak.gz,GSE130871,0,SRX5806012,"anti-H3K27ac (Abcam, catalog#: ab4729)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604047,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806012
marmoset_prefrontalcortex_h3k27ac_1,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028536,SRX5806013,Marmoset_PrefrontalCortex_H3K27ac_1,GSM3755469,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755469,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755469/suppl/GSM3755469_Marmoset_PrefrontalCortex_H3K27ac_1_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755469/suppl/GSM3755469_Marmoset_PrefrontalCortex_H3K27ac_1_peaks.narrowPeak.gz,GSE130871,0,SRX5806013,"anti-H3K27ac (Abcam, catalog#: ab4729)",Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604046,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806013
marmoset_prefrontalcortex_h3k27ac_2,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028537,SRX5806014,Marmoset_PrefrontalCortex_H3K27ac_2,GSM3755470,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755470,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755470/suppl/GSM3755470_Marmoset_PrefrontalCortex_H3K27ac_2_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755470/suppl/GSM3755470_Marmoset_PrefrontalCortex_H3K27ac_2_peaks.narrowPeak.gz,GSE130871,0,SRX5806014,"anti-H3K27ac (Abcam, catalog#: ab4729)",Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604045,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806014
marmoset_prefrontalcortex_h3k27ac_3,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028538,SRX5806015,Marmoset_PrefrontalCortex_H3K27ac_3,GSM3755471,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755471,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755471/suppl/GSM3755471_Marmoset_PrefrontalCortex_H3K27ac_3_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755471/suppl/GSM3755471_Marmoset_PrefrontalCortex_H3K27ac_3_peaks.narrowPeak.gz,GSE130871,0,SRX5806015,"anti-H3K27ac (Abcam, catalog#: ab4729)",Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604044,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806015
marmoset_cerebellum_h3k4me3_1,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028539,SRX5806016,Marmoset_Cerebellum_H3K4me3_1,GSM3755472,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755472,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755472/suppl/GSM3755472_Marmoset_Cerebellum_H3K4me3_1_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755472/suppl/GSM3755472_Marmoset_Cerebellum_H3K4me3_1_peaks.narrowPeak.gz,GSE130871,0,SRX5806016,"anti-H3K4me3 (Abcam, catalog#: ab8580)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604043,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806016
marmoset_cerebellum_h3k4me3_2,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028540,SRX5806017,Marmoset_Cerebellum_H3K4me3_2,GSM3755473,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Cerebellum,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755473,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755473/suppl/GSM3755473_Marmoset_Cerebellum_H3K4me3_2_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755473/suppl/GSM3755473_Marmoset_Cerebellum_H3K4me3_2_peaks.narrowPeak.gz,GSE130871,0,SRX5806017,"anti-H3K4me3 (Abcam, catalog#: ab8580)",Cerebellum,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604042,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806017
marmoset_prefrontalcortex_h3k4me3_1,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028541,SRX5806018,Marmoset_PrefrontalCortex_H3K4me3_1,GSM3755474,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755474,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755474/suppl/GSM3755474_Marmoset_PrefrontalCortex_H3K4me3_1_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755474/suppl/GSM3755474_Marmoset_PrefrontalCortex_H3K4me3_1_peaks.narrowPeak.gz,GSE130871,0,SRX5806018,"anti-H3K4me3 (Abcam, catalog#: ab8580)",Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604041,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806018
marmoset_prefrontalcortex_h3k4me3_2,ChIP,Callithrix jacchus,SINGLE,SRA,SRR9028542,SRX5806019,Marmoset_PrefrontalCortex_H3K4me3_2,GSM3755475,Public on Dec 20 2019,May 08 2019,Dec 20 2019,SRA,1,Marmoset Prefrontal Cortex,Callithrix jacchus,9483,genomic DNA,TruSeq DNA sample preparation kit (Illumina),GPL17712,"Menno,P,Creyghton",m.creyghton@hubrecht.eu,Creyghton,Hubrecht Institute,Uppsalalaan 8,Utrecht,3584 CT,Netherlands,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3755475,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755475/suppl/GSM3755475_Marmoset_PrefrontalCortex_H3K4me3_2_calJac3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3755nnn/GSM3755475/suppl/GSM3755475_Marmoset_PrefrontalCortex_H3K4me3_2_peaks.narrowPeak.gz,GSE130871,0,SRX5806019,"anti-H3K4me3 (Abcam, catalog#: ab8580)",Prefrontal Cortex,ChIP-seq peaks called by MACS2 are in _peaks.narrowPeak; H3K27ac bigwig files are in .bw; RNA-seq count values are in _RNAseq.txt;,https://www.ncbi.nlm.nih.gov/biosample/SAMN11604040,https://www.ncbi.nlm.nih.gov/sra?term=SRX5806019
