sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,genotype,assembly,supplementary_files_format_and_content,biosample,sra
aavs1_control_nycb38_replicate_1,,,,,,,"AAVS1 control, NYCB38, replicate 1",GSM7306420,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB38A1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306420,NONE,"GSE231950, GSE231951",0,SRX20254379,Cord blood,CD34+ hematopoietic stem and progenitor cells,AAVS1,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000758,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254379
aavs1_control_nycb38_replicate_2,,,,,,,"AAVS1 control, NYCB38, replicate 2",GSM7306421,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB38A2,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306421,NONE,"GSE231950, GSE231951",0,SRX20254380,Cord blood,CD34+ hematopoietic stem and progenitor cells,AAVS1,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000757,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254380
runx1_ko_nycb38_replicate_1,,,,,,,"RUNX1 KO, NYCB38, replicate 1",GSM7306422,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB38R1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306422,NONE,"GSE231950, GSE231951",0,SRX20254381,Cord blood,CD34+ hematopoietic stem and progenitor cells,RUNX1 KO,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000756,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254381
runx1_ko_nycb38_replicate_2,,,,,,,"RUNX1 KO, NYCB38, replicate 2",GSM7306423,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB38R2,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306423,NONE,"GSE231950, GSE231951",0,SRX20254382,Cord blood,CD34+ hematopoietic stem and progenitor cells,RUNX1 KO,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000755,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254382
aavs1_control_nycb73_replicate_1,,,,,,,"AAVS1 control, NYCB73, replicate 1",GSM7306424,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB73A1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306424,NONE,"GSE231950, GSE231951",0,SRX20254383,Cord blood,CD34+ hematopoietic stem and progenitor cells,AAVS1,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000754,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254383
aavs1_control_nycb73_replicate_2,,,,,,,"AAVS1 control, NYCB73, replicate 2",GSM7306425,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB73A2,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306425,NONE,"GSE231950, GSE231951",0,SRX20254384,Cord blood,CD34+ hematopoietic stem and progenitor cells,AAVS1,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000753,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254384
runx1_ko_nycb73_replicate_1,,,,,,,"RUNX1 KO, NYCB73, replicate 1",GSM7306426,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB73R1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306426,NONE,"GSE231950, GSE231951",0,SRX20254385,Cord blood,CD34+ hematopoietic stem and progenitor cells,RUNX1 KO,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000752,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254385
runx1_ko_nycb73_replicate_2,,,,,,,"RUNX1 KO, NYCB73, replicate 2",GSM7306427,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB73R2,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306427,NONE,"GSE231950, GSE231951",0,SRX20254386,Cord blood,CD34+ hematopoietic stem and progenitor cells,RUNX1 KO,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000751,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254386
aavs1_control_nycb84_replicate_1,,,,,,,"AAVS1 control, NYCB84, replicate 1",GSM7306428,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB84A1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306428,NONE,"GSE231950, GSE231951",0,SRX20254387,Cord blood,CD34+ hematopoietic stem and progenitor cells,AAVS1,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000750,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254387
runx1_ko_nycb84_replicate_1,,,,,,,"RUNX1 KO, NYCB84, replicate 1",GSM7306429,Public on Aug 25 2023,May 08 2023,Aug 25 2023,SRA,1,Cord blood,Homo sapiens,9606,genomic DNA,NYCB84R1,GPL18573,"Amy,,Fan",amyfan@alum.mit.edu,Stanford University,149 Alma St,Palo Alto,CA,94301,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7306429,NONE,"GSE231950, GSE231951",0,SRX20254388,Cord blood,CD34+ hematopoietic stem and progenitor cells,RUNX1 KO,hg38,Count matrix of consensus peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN35000749,https://www.ncbi.nlm.nih.gov/sra?term=SRX20254388
