sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_supplementary_file_3,sample_supplementary_file_4,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,treatment,assembly,supplementary_files_format_and_content,biosample,sra
vib_10xv1_1_v1_v1_,,,,,,,VIB 10xv1 1 (v1 V1),GSM7102945,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102945,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102945/suppl/GSM7102945_VIB_10xv1_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102945/suppl/GSM7102945_VIB_10xv1_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102945/suppl/GSM7102945_VIB_10xv1_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102945/suppl/GSM7102945_VIB_10xv1_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19698015,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33794579,https://www.ncbi.nlm.nih.gov/sra?term=SRX19698015
vib_10xv1_2_v1_v2_,,,,,,,VIB 10xv1 2 (v1 V2),GSM7102946,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102946,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102946/suppl/GSM7102946_VIB_10xv1_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102946/suppl/GSM7102946_VIB_10xv1_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102946/suppl/GSM7102946_VIB_10xv1_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102946/suppl/GSM7102946_VIB_10xv1_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19698016,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33794578,https://www.ncbi.nlm.nih.gov/sra?term=SRX19698016
cna_10xv2_1_v2_c1_,,,,,,,CNA 10xv2 1 (v2 C1),GSM7102947,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102947,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102947/suppl/GSM7102947_CNA_10xv2_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102947/suppl/GSM7102947_CNA_10xv2_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102947/suppl/GSM7102947_CNA_10xv2_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102947/suppl/GSM7102947_CNA_10xv2_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718523,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818127,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718523
cna_10xv2_2_v2_c2_,,,,,,,CNA 10xv2 2 (v2 C2),GSM7102948,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102948,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102948/suppl/GSM7102948_CNA_10xv2_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102948/suppl/GSM7102948_CNA_10xv2_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102948/suppl/GSM7102948_CNA_10xv2_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102948/suppl/GSM7102948_CNA_10xv2_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718524,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818126,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718524
txg_10xv2_1_v2_t1_,,,,,,,TXG 10xv2 1 (v2 T1),GSM7102949,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102949,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102949/suppl/GSM7102949_TXG_10xv2_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102949/suppl/GSM7102949_TXG_10xv2_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102949/suppl/GSM7102949_TXG_10xv2_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102949/suppl/GSM7102949_TXG_10xv2_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718525,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818125,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718525
txg_10xv2_2_v2_t2_,,,,,,,TXG 10xv2 2 (v2 T2),GSM7102950,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102950,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102950/suppl/GSM7102950_TXG_10xv2_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102950/suppl/GSM7102950_TXG_10xv2_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102950/suppl/GSM7102950_TXG_10xv2_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102950/suppl/GSM7102950_TXG_10xv2_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718526,PBMC,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818124,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718526
vib_10xv2_1_v2_v1_,,,,,,,VIB 10xv2 1 (v2 V1),GSM7102951,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL30173,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,NextSeq 2000,other,genomic,ATAC-seq,GSM7102951,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102951/suppl/GSM7102951_VIB_10xv2_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102951/suppl/GSM7102951_VIB_10xv2_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102951/suppl/GSM7102951_VIB_10xv2_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102951/suppl/GSM7102951_VIB_10xv2_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718527,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818123,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718527
vib_10xv2_2_v2_v2_,,,,,,,VIB 10xv2 2 (v2 V2),GSM7102952,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL30173,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,NextSeq 2000,other,genomic,ATAC-seq,GSM7102952,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102952/suppl/GSM7102952_VIB_10xv2_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102952/suppl/GSM7102952_VIB_10xv2_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102952/suppl/GSM7102952_VIB_10xv2_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102952/suppl/GSM7102952_VIB_10xv2_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19718528,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33818122,https://www.ncbi.nlm.nih.gov/sra?term=SRX19718528
cna_10xv11_1_v1_1_c1_,,,,,,,CNA 10xv11 1 (v1.1 C1),GSM7102953,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102953,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102953/suppl/GSM7102953_CNA_10xv11_1.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102953/suppl/GSM7102953_CNA_10xv11_1.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102953/suppl/GSM7102953_CNA_10xv11_1.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102953/suppl/GSM7102953_CNA_10xv11_1.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719511,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819164,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719511
cna_10xv11_2_v1_1_c2_,,,,,,,CNA 10xv11 2 (v1.1 C2),GSM7102954,Public on May 22 2023,Mar 17 2023,Aug 02 2023,SRA,1,Mixture of PBMC from 2 donors,Homo sapiens,9606,genomic DNA,"Cryopreserved human PBMCs from a male and female donor were puchased from AllCells and (AllCells, Lot #3030456 and 3030663). Cryopreserved PBMC were thawed according to the 10x Genomics demonstrated protocol CG00039 (""Fresh Frozen Human Peripheral Blood Mononuclear Cells for Single Cell RNA Sequencing""). Briefly, 1 mL of frozen cells was rapidly thawed in a 37 °C water bath and transferred to a 50 mL tube using a 1000 µL wide bore tip. Next, 1 mL of 37 °C pre-warmed medium supplemented with 10%  ...","Raw sequencing reads were processed to aligned reads and fragments files using the PUMATAC pipeline. Briefly, cell barcodes were corrected using a pre-existing whitelist using scToolkit. TrimGalore was used to trim reads. Alignment to GRCh38 was performed using bwa-mem2. Cell barcode mutliplets were detected using scToolkit. Aligned reads were converted to fragments.tsv.gz using scToolkit.",GPL24676,"Stein,,Aerts",stein.aerts@kuleuven.be,Lab of Computational Biology,KU Leuven,O&N4 Herestraat 49 PO Box 602,Leuven,Vlaams-Brabant,3000,Belgium,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7102954,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102954/suppl/GSM7102954_CNA_10xv11_2.FIXEDCELLS.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102954/suppl/GSM7102954_CNA_10xv11_2.FIXEDCELLS.fragments.tsv.gz.tbi.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102954/suppl/GSM7102954_CNA_10xv11_2.FULL.fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7102nnn/GSM7102954/suppl/GSM7102954_CNA_10xv11_2.FULL.fragments.tsv.gz.tbi.gz,GSE194028,0,SRX19719512,Mixture of PBMC from 2 donors,PBMC,Wild type,GRCh38,"""FULL"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the full sequencing data.""FULL"" fragments.tsv.gz.tbi: tabix index supplementary to full fragments.tsv.gz files.""FIXEDCELLS"" fragments.tsv.gz: tab-delimited bed-like fragments file with 5 fields: chromosome, start position, end position, cell barcode and count. Derived from the sequencing data downsampled to the fixed number of cells found in ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN33819163,https://www.ncbi.nlm.nih.gov/sra?term=SRX19719512
