sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,brain_region,sex,age,humanized_age,biosample,sra
human_ba23_h1,,,,,,,Human_BA23_H1,GSM5765174,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,genomic DNA,"Human_Count_Matrix_snATACseq_Barcodes.txt, Human_Count_Matrix_snATACseq_Genes.txt, Human_Count_Matrix_snATACseq_MetaData.txt, Human_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Human.RDS, Seurat_Excitatory_ATAC_Human.RDS, Seurat_Inhibitory_ATAC_Human.RDS, Seurat_Microglia_ATAC_Human.RDS, Seurat_OPCOli_ATAC_Human.RDS",GPL16791,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5765174,NONE,"GSE192772, GSE192774",0,SRX13554628,brain,Brodmann Area 23,F,53,53,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501191,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554628
human_ba23_h2,,,,,,,Human_BA23_H2,GSM5765175,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,genomic DNA,"Human_Count_Matrix_snATACseq_Barcodes.txt, Human_Count_Matrix_snATACseq_Genes.txt, Human_Count_Matrix_snATACseq_MetaData.txt, Human_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Human.RDS, Seurat_Excitatory_ATAC_Human.RDS, Seurat_Inhibitory_ATAC_Human.RDS, Seurat_Microglia_ATAC_Human.RDS, Seurat_OPCOli_ATAC_Human.RDS",GPL16791,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5765175,NONE,"GSE192772, GSE192774",0,SRX13554629,brain,Brodmann Area 23,M,32,32,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501190,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554629
human_ba23_h3,,,,,,,Human_BA23_H3,GSM5765176,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,genomic DNA,"Human_Count_Matrix_snATACseq_Barcodes.txt, Human_Count_Matrix_snATACseq_Genes.txt, Human_Count_Matrix_snATACseq_MetaData.txt, Human_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Human.RDS, Seurat_Excitatory_ATAC_Human.RDS, Seurat_Inhibitory_ATAC_Human.RDS, Seurat_Microglia_ATAC_Human.RDS, Seurat_OPCOli_ATAC_Human.RDS",GPL24676,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5765176,NONE,"GSE192772, GSE192774",0,SRX13554630,brain,Brodmann Area 23,M,66,66,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501189,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554630
human_ba23_h4,,,,,,,Human_BA23_H4,GSM5765177,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,genomic DNA,"Human_Count_Matrix_snATACseq_Barcodes.txt, Human_Count_Matrix_snATACseq_Genes.txt, Human_Count_Matrix_snATACseq_MetaData.txt, Human_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Human.RDS, Seurat_Excitatory_ATAC_Human.RDS, Seurat_Inhibitory_ATAC_Human.RDS, Seurat_Microglia_ATAC_Human.RDS, Seurat_OPCOli_ATAC_Human.RDS",GPL24676,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5765177,NONE,"GSE192772, GSE192774",0,SRX13554631,brain,Brodmann Area 23,F,45,45,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501188,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554631
chimpanzee_ba23_c1,,,,,,,Chimpanzee_BA23_C1,GSM5765178,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,genomic DNA,"Chimp_Count_Matrix_snATACseq_Barcodes.txt, Chimp_Count_Matrix_snATACseq_Genes.txt, Chimp_Count_Matrix_snATACseq_MetaData.txt, Chimp_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Chimp.RDS, Seurat_Excitatory_ATAC_Chimp.RDS, Seurat_Inhibitory_ATAC_Chimp.RDS, Seurat_Microglia_ATAC_Chimp.RDS, Seurat_OPCOli_ATAC_Chimp.RDS",GPL19148,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5765178,NONE,"GSE192772, GSE192774",0,SRX13554632,brain,Brodmann Area 23,M,27,53,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501187,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554632
chimpanzee_ba23_c2,,,,,,,Chimpanzee_BA23_C2,GSM5765179,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,genomic DNA,"Chimp_Count_Matrix_snATACseq_Barcodes.txt, Chimp_Count_Matrix_snATACseq_Genes.txt, Chimp_Count_Matrix_snATACseq_MetaData.txt, Chimp_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Chimp.RDS, Seurat_Excitatory_ATAC_Chimp.RDS, Seurat_Inhibitory_ATAC_Chimp.RDS, Seurat_Microglia_ATAC_Chimp.RDS, Seurat_OPCOli_ATAC_Chimp.RDS",GPL19148,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5765179,NONE,"GSE192772, GSE192774",0,SRX13554633,brain,Brodmann Area 23,F,34,68,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501186,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554633
chimpanzee_ba23_c3,,,,,,,Chimpanzee_BA23_C3,GSM5765180,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,genomic DNA,"Chimp_Count_Matrix_snATACseq_Barcodes.txt, Chimp_Count_Matrix_snATACseq_Genes.txt, Chimp_Count_Matrix_snATACseq_MetaData.txt, Chimp_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Chimp.RDS, Seurat_Excitatory_ATAC_Chimp.RDS, Seurat_Inhibitory_ATAC_Chimp.RDS, Seurat_Microglia_ATAC_Chimp.RDS, Seurat_OPCOli_ATAC_Chimp.RDS",GPL30573,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5765180,NONE,"GSE192772, GSE192774",0,SRX13554634,brain,Brodmann Area 23,M,40,80,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501185,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554634
chimpanzee_ba23_c4,,,,,,,Chimpanzee_BA23_C4,GSM5765181,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,genomic DNA,"Chimp_Count_Matrix_snATACseq_Barcodes.txt, Chimp_Count_Matrix_snATACseq_Genes.txt, Chimp_Count_Matrix_snATACseq_MetaData.txt, Chimp_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Chimp.RDS, Seurat_Excitatory_ATAC_Chimp.RDS, Seurat_Inhibitory_ATAC_Chimp.RDS, Seurat_Microglia_ATAC_Chimp.RDS, Seurat_OPCOli_ATAC_Chimp.RDS",GPL30573,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5765181,NONE,"GSE192772, GSE192774",0,SRX13554635,brain,Brodmann Area 23,F,21,41,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501184,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554635
macaque_ba23_m1,,,,,,,Macaque_BA23_M1,GSM5765182,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Macaca mulatta,9544,genomic DNA,"Macaque_Count_Matrix_snATACseq_Barcodes.txt, Macaque_Count_Matrix_snATACseq_Genes.txt, Macaque_Count_Matrix_snATACseq_MetaData.txt, Macaque_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Macaque.RDS, Seurat_Excitatory_ATAC_Macaque.RDS, Seurat_Inhibitory_ATAC_Macaque.RDS, Seurat_Microglia_ATAC_Macaque.RDS, Seurat_OPCOli_ATAC_Macaque.RDS",GPL19129,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5765182,NONE,"GSE192772, GSE192774",0,SRX13554636,brain,Brodmann Area 23,M,17,52,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501183,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554636
macaque_ba23_m2,,,,,,,Macaque_BA23_M2,GSM5765183,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Macaca mulatta,9544,genomic DNA,"Macaque_Count_Matrix_snATACseq_Barcodes.txt, Macaque_Count_Matrix_snATACseq_Genes.txt, Macaque_Count_Matrix_snATACseq_MetaData.txt, Macaque_Count_Matrix_snATACseq.mtx, Seurat_Astrocyte_ATAC_Macaque.RDS, Seurat_Excitatory_ATAC_Macaque.RDS, Seurat_Inhibitory_ATAC_Macaque.RDS, Seurat_Microglia_ATAC_Macaque.RDS, Seurat_OPCOli_ATAC_Macaque.RDS",GPL27943,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5765183,NONE,"GSE192772, GSE192774",0,SRX13554637,brain,Brodmann Area 23,M,18,57,https://www.ncbi.nlm.nih.gov/biosample/SAMN24501182,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554637
