sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,age,sex,genome_build,supplementary_files_format_and_content,biosample,sra
019_coronary_artery_bulk_atac,,,,,,,019 Coronary artery bulk ATAC,GSM5681649,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,019_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681649,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681649/suppl/GSM5681649_UVA019_CA_ATAC_3_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058900,Coronary artery (LAD),57,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985841,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058900
067_coronary_artery_bulk_atac,,,,,,,067 Coronary artery bulk ATAC,GSM5681650,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,067_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681650,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681650/suppl/GSM5681650_UVA067_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058901,Coronary artery (LCX),61,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985840,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058901
108_coronary_artery_bulk_atac,,,,,,,108 Coronary artery bulk ATAC,GSM5681651,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,108_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681651,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681651/suppl/GSM5681651_UVA108_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058902,Coronary artery (LAD),63,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985839,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058902
049_coronary_artery_bulk_atac,,,,,,,049 Coronary artery bulk ATAC,GSM5681652,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,049_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681652,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681652/suppl/GSM5681652_UVA049_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058903,Coronary artery (LAD),61,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985838,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058903
007_coronary_artery_bulk_atac,,,,,,,007 Coronary artery bulk ATAC,GSM5681653,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,007_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681653,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681653/suppl/GSM5681653_UVA007_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058904,Coronary artery (LAD),60,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985837,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058904
066_coronary_artery_bulk_atac,,,,,,,066 Coronary artery bulk ATAC,GSM5681654,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,066_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681654,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681654/suppl/GSM5681654_UVA066_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058905,Coronary artery (LAD),62,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985836,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058905
083_coronary_artery_bulk_atac,,,,,,,083 Coronary artery bulk ATAC,GSM5681655,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,083_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681655,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681655/suppl/GSM5681655_UVA083_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058906,Coronary artery (LAD),67,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985835,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058906
079_coronary_artery_bulk_atac,,,,,,,079 Coronary artery bulk ATAC,GSM5681656,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,079_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681656,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681656/suppl/GSM5681656_UVA079_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058907,Coronary artery (RCA),60,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985834,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058907
009_coronary_artery_bulk_atac,,,,,,,009 Coronary artery bulk ATAC,GSM5681657,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,009_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681657,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681657/suppl/GSM5681657_UVA009_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058908,Coronary artery (RCA),60,male,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985833,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058908
068_coronary_artery_bulk_atac,,,,,,,068 Coronary artery bulk ATAC,GSM5681658,Public on Jan 24 2022,Nov 08 2021,Jan 25 2022,SRA,1,Coronary artery,Homo sapiens,9606,genomic DNA,068_ATACseq_50k,GPL24676,"Clint,L,Miller",Center for Public Health Genomics,University of Virginia,PO Box 800717,Charlottesville,VA,22908,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5681658,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5681nnn/GSM5681658/suppl/GSM5681658_UVA068_CA_ATAC_peaks_rmBlacklist.narrowPeak.gz,GSE188422,0,SRX13058909,Coronary artery (LAD),57,female,hg38,narrowPeak (peaks from each individual sample),https://www.ncbi.nlm.nih.gov/biosample/SAMN22985832,https://www.ncbi.nlm.nih.gov/sra?term=SRX13058909
