sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,donor,days_post_yfv-17d,cell_type,tissue,biosample,sra
yf-m15_-658_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839476,SRX3015401,YF-M15 -658_Naïve,GSM2710915,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710915,NONE,GSE101609,0,SRX3015401,YF M15 658,14,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368093,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015401
yf-m15-660_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839477,SRX3015402,YF-M15-660_Naïve,GSM2710916,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710916,NONE,GSE101609,0,SRX3015402,YF M15 660,14,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368092,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015402
yf-m15-678_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839478,SRX3015403,YF-M15-678_Naïve,GSM2710917,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710917,NONE,GSE101609,0,SRX3015403,YF-M15-678,21,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368091,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015403
yf-m15-653_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839479,SRX3015404,YF-M15-653_Naïve,GSM2710918,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710918,NONE,GSE101609,0,SRX3015404,YF M15 653,28,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368090,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015404
yf-m15-661_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839480,SRX3015405,YF-M15-661_Naïve,GSM2710919,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710919,NONE,GSE101609,0,SRX3015405,YF M15 661,28,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368089,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015405
yf-m15-675_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839481,SRX3015406,YF-M15-675_Naïve,GSM2710920,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710920,NONE,GSE101609,0,SRX3015406,YF-M15 675,28,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368088,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015406
yf-m15-677_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839482,SRX3015407,YF-M15-677_Naïve,GSM2710921,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710921,NONE,GSE101609,0,SRX3015407,YF-M15-677,28,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368087,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015407
yf-m15-679_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839483,SRX3015408,YF-M15-679_Naïve,GSM2710922,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710922,NONE,GSE101609,0,SRX3015408,YF-M15-679,36,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368086,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015408
yf-m15-678_d90_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839484,SRX3015409,YF-M15-678_D90_Naïve,GSM2710923,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710923,NONE,GSE101609,0,SRX3015409,YF-M15-678,90,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368085,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015409
yf-m15-677-d90_naïve,other,Homo sapiens,PAIRED,SRA,SRR5839485,SRX3015410,YF-M15-677-D90_Naïve,GSM2710924,Public on Dec 13 2017,Jul 19 2017,May 15 2019,SRA,1,PBMC,Homo sapiens,9606,genomic DNA,GPL11154,"Bin,,Hu",bhu616@stanford.edu,School of Medicine,Stanford University,3801 Miranda Avenue,Palo Alto,California,94306,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,GSM2710924,NONE,GSE101609,0,SRX3015410,YF-M15-677-D90,90,sorted CD45RA+ CCR7+ CD8 T cells,PBMC,https://www.ncbi.nlm.nih.gov/biosample/SAMN07368084,https://www.ncbi.nlm.nih.gov/sra?term=SRX3015410
