sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_supplementary_file_1,sample_supplementary_file_2,sample_supplementary_file_3,sample_series_id,sample_data_row_count,big_key,tissue,diagnosis,sample_id,assembly,supplementary_files_format_and_content
control_sample_1_rna-seq_,,,,,,,Control sample 1 (rna-seq),GSM6659414,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659414/suppl/GSM6659414_C1_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659414/suppl/GSM6659414_C1_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659414/suppl/GSM6659414_C1_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659414,bone marrow,ganglioneuroblastoma,C1,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
control_sample_2_rna-seq_,,,,,,,Control sample 2 (rna-seq),GSM6659415,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659415/suppl/GSM6659415_C2_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659415/suppl/GSM6659415_C2_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659415/suppl/GSM6659415_C2_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659415,bone marrow,ganglioneuroblastoma,C2,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
control_sample_3_rna-seq_,,,,,,,Control sample 3 (rna-seq),GSM6659416,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659416/suppl/GSM6659416_C3_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659416/suppl/GSM6659416_C3_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659416/suppl/GSM6659416_C3_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659416,bone marrow,ganglioneuroma,C3,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
control_sample_4_rna-seq_,,,,,,,Control sample 4 (rna-seq),GSM6659417,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659417/suppl/GSM6659417_C4_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659417/suppl/GSM6659417_C4_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659417/suppl/GSM6659417_C4_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659417,bone marrow,ganglioneuroma,C4,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
control_sample_5_rna-seq_,,,,,,,Control sample 5 (rna-seq),GSM6659418,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,Control sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659418/suppl/GSM6659418_C5_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659418/suppl/GSM6659418_C5_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659418/suppl/GSM6659418_C5_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659418,bone marrow,ganglioneuroma,C5,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
mycn-amplified_sample_1_rna-seq_,,,,,,,MYCN-amplified sample 1 (rna-seq),GSM6659419,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659419/suppl/GSM6659419_M1_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659419/suppl/GSM6659419_M1_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659419/suppl/GSM6659419_M1_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659419,bone marrow,neuroblastoma,M1,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
mycn-amplified_sample_2a_rna-seq_,,,,,,,MYCN-amplified sample 2a (rna-seq),GSM6659420,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659420/suppl/GSM6659420_M2a_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659420/suppl/GSM6659420_M2a_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659420/suppl/GSM6659420_M2a_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659420,bone marrow,neuroblastoma,M2a,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
mycn-amplified_sample_2b_rna-seq_,,,,,,,MYCN-amplified sample 2b (rna-seq),GSM6659421,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659421/suppl/GSM6659421_M2b_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659421/suppl/GSM6659421_M2b_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659421/suppl/GSM6659421_M2b_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659421,bone marrow,neuroblastoma,M2b,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
mycn-amplified_sample_3_rna-seq_,,,,,,,MYCN-amplified sample 3 (rna-seq),GSM6659422,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659422/suppl/GSM6659422_M3_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659422/suppl/GSM6659422_M3_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659422/suppl/GSM6659422_M3_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659422,bone marrow,neuroblastoma,M3,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
mycn-amplified_sample_4_rna-seq_,,,,,,,MYCN-amplified sample 4 (rna-seq),GSM6659423,Public on Apr 26 2023,Oct 20 2022,Apr 26 2023,MYCN-amplified sample,1,bone marrow,Homo sapiens,9606,total RNA,"Fresh bone marrow aspirates were collected in heparin or EDTA blood collection tubes at the time of diagnosis. Mononuclear cells were isolated by density gradient centrifugation and cryopreserved in liquid nitrogen., Mononuclear cells of bone marrow aspirates were thawed and then resuspended in RPMI media containing DNAse I (Roche), followed by a wash with cold 0.1% bovine serum albumin (BSA, Sigma) in phosphate buffered saline (PBS). Cells were then stained with the following antibodies: CD34-A ...",10x Genomics,"Raw sequencing data were demultiplexed, aligned to a reference genome (GRCh38) and counted using Cell Ranger v3.0.2 (10x Genomics).",GPL24676,"Wolfgang,,Esser-Skala",Wolfgang.Esser-Skala@plus.ac.at,University of Salzburg,Hellbrunner Strasse 34,Salzburg,5020,Austria,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659423/suppl/GSM6659423_M4_filtered_feature_bc_matrix.h5,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659423/suppl/GSM6659423_M4_metrics_summary.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6659nnn/GSM6659423/suppl/GSM6659423_M4_raw_feature_bc_matrix.h5,"GSE216155, GSE216176",0,GSM6659423,bone marrow,neuroblastoma,M4,GRCh38,h5 (count matrix in HDF5 format)csv (Cell Ranger summary in comma-separated values format)
