sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_laboratory,sample_contact_department,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,strain,surface_markers,tissue,genome_build,supplementary_files_format_and_content,biosample,sra
chopp1_unsignaled_dp_thymocytes_replicate_1,,,,,,,Chopp1: Unsignaled DP thymocytes replicate 1,GSM4486831,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486831,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486831/suppl/GSM4486831_LC1_htseq.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486831/suppl/GSM4486831_UnsigDP_rep1.bw,"GSE148973, GSE148981",0,SRX8143959,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, C57BL/6 recipient",CD44low CD69- ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646732,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143959
chopp2_unsignaled_dp_thymocytes_replicate_2,,,,,,,Chopp2: Unsignaled DP thymocytes replicate 2,GSM4486832,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486832,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486832/suppl/GSM4486832_LC2_htseq.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486832/suppl/GSM4486832_UnsigDP_rep2.bw,"GSE148973, GSE148981",0,SRX8143960,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, C57BL/6 recipient",CD44low CD69- ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646731,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143960
chopp3_unsignaled_dp_thymocytes_replicate_3,,,,,,,Chopp3: Unsignaled DP thymocytes replicate 3,GSM4486833,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486833/suppl/GSM4486833_LC3_htseq.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486833/suppl/GSM4486833_UnsigDP_rep3.bw,"GSE148973, GSE148981",0,SRX8143961,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, C57BL/6 recipient",CD44low CD69- ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646730,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143961
chopp4_mhc-ii_signaled_dp_thymocytes_replicate_1,,,,,,,Chopp4: MHC-II signaled DP thymocytes replicate 1,GSM4486834,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486834,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486834/suppl/GSM4486834_IIsigDP_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486834/suppl/GSM4486834_LC4_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143962,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, b2m deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646729,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143962
chopp5_mhc-ii_signaled_dp_thymocytes_replicate_2,,,,,,,Chopp5: MHC-II signaled DP thymocytes replicate 2,GSM4486835,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486835,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486835/suppl/GSM4486835_IIsigDP_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486835/suppl/GSM4486835_LC5_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143963,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, b2m deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646728,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143963
chopp6_mhc-ii_signaled_dp_thymocytes_replicate_3,,,,,,,Chopp6: MHC-II signaled DP thymocytes replicate 3,GSM4486836,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486836,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486836/suppl/GSM4486836_IIsigDP_rep3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486836/suppl/GSM4486836_LC6_2_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143964,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, b2m deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646727,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143964
chopp7_mhc-i_signaled_dp_thymocytes_replicate1,,,,,,,Chopp7: MHC-I signaled DP thymocytes replicate1,GSM4486837,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486837,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486837/suppl/GSM4486837_IsigDP_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486837/suppl/GSM4486837_LC7_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143965,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, I-AB deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646726,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143965
chopp8_mhc-i_signaled_dp_thymocytes_replicate2,,,,,,,Chopp8: MHC-I signaled DP thymocytes replicate2,GSM4486838,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486838,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486838/suppl/GSM4486838_IsigDP_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486838/suppl/GSM4486838_LC8_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143966,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, I-AB deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8a+ CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646725,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143966
chopp9_mhc-ii_signaled_cd4+cd8int_thymocytes_replicate_1,,,,,,,Chopp9: MHC-II signaled CD4+CD8int thymocytes replicate 1,GSM4486839,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486839,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486839/suppl/GSM4486839_IIsigInt_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486839/suppl/GSM4486839_LC9_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143967,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, b2m deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8aint CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646724,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143967
chopp10_mhc-ii_signaled_cd4+cd8int_thymocytes_replicate_2,,,,,,,Chopp10: MHC-II signaled CD4+CD8int thymocytes replicate 2,GSM4486840,Public on Nov 25 2020,Apr 20 2020,Nov 26 2020,SRA,1,Thymus,Mus musculus,10090,total RNA,"RNA was isolated using the RNeasy Plus Micro kit (Qiagen), SMART-seq Ultra Low Input RNA kit (Takara) and Nextera XT DNA (Illumina), paired-end 2x150","Basecalls performed with Illumina RTA 1.18.66.3, Demultiplexing with Bcl2fastq 2.17, Filtering with Trimmomatic 0.36, Alignment--STAR aligner 2.4.0 to mm10, Counts per million normalized BigWig files performed with DeepTools, Read counts with HTSeq",GPL21493,"Remy,,Bosselut",bosselur@helix.nih.gov,240-760-6866,Bosselut,Laboratory of Immune Cell Biology,"9000 Rockville Pike, Building 37",Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4486840,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486840/suppl/GSM4486840_IIsigInt_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4486nnn/GSM4486840/suppl/GSM4486840_LC10_htseq.tab.gz,"GSE148973, GSE148981",0,SRX8143968,"Chimeric mice:Thpok-GFP Runx3-RFP reporter donor, b2m deficient recipient",CD44low CD69+ ThpokGFP- Runx3RFP- CD8aint CD4+,Thymus,mm10,"Htseq count table, counts per million normalized bigwig",https://www.ncbi.nlm.nih.gov/biosample/SAMN14646759,https://www.ncbi.nlm.nih.gov/sra?term=SRX8143968
