sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,condition,genome_build,supplementary_files_format_and_content,biosample,sra
healthy_1,other,Homo sapiens,PAIRED,SRA,SRR14404461,SRX10756652,Healthy_1,GSM5277644,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277644,NONE,"GSE173734, GSE173736",0,SRX10756652,Liver,Healthy,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980294,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756652
healthy_2,other,Homo sapiens,PAIRED,SRA,SRR14404462,SRX10756653,Healthy_2,GSM5277645,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277645,NONE,"GSE173734, GSE173736",0,SRX10756653,Liver,Healthy,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980292,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756653
healthy_3,other,Homo sapiens,PAIRED,SRA,SRR14404463,SRX10756654,Healthy_3,GSM5277646,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277646,NONE,"GSE173734, GSE173736",0,SRX10756654,Liver,Healthy,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980290,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756654
healthy_4,other,Homo sapiens,PAIRED,SRA,SRR14404464,SRX10756655,Healthy_4,GSM5277647,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277647,NONE,"GSE173734, GSE173736",0,SRX10756655,Liver,Healthy,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980289,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756655
nash_5,other,Homo sapiens,PAIRED,SRA,SRR14404465,SRX10756656,NASH_5,GSM5277648,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277648,NONE,"GSE173734, GSE173736",0,SRX10756656,Liver,NASH,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980299,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756656
nash_6,other,Homo sapiens,PAIRED,SRA,SRR14404466,SRX10756657,NASH_6,GSM5277649,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277649,NONE,"GSE173734, GSE173736",0,SRX10756657,Liver,NASH,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980298,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756657
nash_7,other,Homo sapiens,PAIRED,SRA,SRR14404467,SRX10756658,NASH_7,GSM5277650,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277650,NONE,"GSE173734, GSE173736",0,SRX10756658,Liver,NASH,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980288,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756658
nash_8,other,Homo sapiens,PAIRED,SRA,SRR14404468,SRX10756659,NASH_8,GSM5277651,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Human liver tissue,Homo sapiens,9606,genomic DNA,J62.1_processed_data.xlsx,GPL18573,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277651,NONE,"GSE173734, GSE173736",0,SRX10756659,Liver,NASH,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980286,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756659
bsa_1,other,Mus musculus,PAIRED,SRA,SRR14404469,SRX10756660,BSA_1,GSM5277652,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Mouse hepatocytes,Mus musculus,10090,genomic DNA,J47.1_processed_data.xlsx,GPL19057,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277652,NONE,"GSE173734, GSE173736",0,SRX10756660,FL83B hepatocytes,BSA,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980285,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756660
bsa_2,other,Mus musculus,PAIRED,SRA,SRR14404470,SRX10756661,BSA_2,GSM5277653,Public on Jul 13 2022,May 03 2021,Jul 13 2022,SRA,1,Mouse hepatocytes,Mus musculus,10090,genomic DNA,J47.1_processed_data.xlsx,GPL19057,"Joaquín,,Pérez-Schindler",j.perezschindler@unibas.ch,Biozentrum,University of Basel,Klingelbergstrasse 50 / 70,Basel,4056,Switzerland,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM5277653,NONE,"GSE173734, GSE173736",0,SRX10756661,FL83B hepatocytes,BSA,hg38 or mm10,Excel (xlsx) files containing Genrich outputs.,https://www.ncbi.nlm.nih.gov/biosample/SAMN18980282,https://www.ncbi.nlm.nih.gov/sra?term=SRX10756661
