sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,tissue,genotype,treatment,assembly,biosample,sra
snatac-seq_of_homo_sapiens_adult_brain_mtg_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: MTG from donor 1,GSM7822133,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,MTG,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822133,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822133/suppl/GSM7822133_MM_439.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822133/suppl/GSM7822133_MM_439.snap.gz,GSE244618,0,SRX21923531,MTG,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594447,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923531
snatac-seq_of_homo_sapiens_adult_brain_mtg_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: MTG from donor 2,GSM7822134,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,MTG,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822134,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822134/suppl/GSM7822134_MM_440.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822134/suppl/GSM7822134_MM_440.snap.gz,GSE244618,0,SRX21923532,MTG,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594448,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923532
snatac-seq_of_homo_sapiens_adult_brain_mtg_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: MTG from donor 4,GSM7822135,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,MTG,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822135,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822135/suppl/GSM7822135_MM_819.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822135/suppl/GSM7822135_MM_819.snap.gz,GSE244618,0,SRX21923571,MTG,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594449,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923571
snatac-seq_of_homo_sapiens_adult_brain_m1c_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: M1C from donor 1,GSM7822136,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,M1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822136,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822136/suppl/GSM7822136_MM_409.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822136/suppl/GSM7822136_MM_409.snap.gz,GSE244618,0,SRX21923606,M1C,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594450,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923606
snatac-seq_of_homo_sapiens_adult_brain_m1c_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: M1C from donor 2,GSM7822137,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,M1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822137,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822137/suppl/GSM7822137_MM_410.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822137/suppl/GSM7822137_MM_410.snap.gz,GSE244618,0,SRX21923617,M1C,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594451,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923617
snatac-seq_of_homo_sapiens_adult_brain_m1c_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: M1C from donor 4,GSM7822138,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,M1C,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822138,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822138/suppl/GSM7822138_LL_174.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822138/suppl/GSM7822138_LL_174.snap.gz,GSE244618,0,SRX21923580,M1C,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594452,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923580
snatac-seq_of_homo_sapiens_adult_brain_v2_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: V2 from donor 1,GSM7822139,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V2,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822139,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822139/suppl/GSM7822139_MM_415.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822139/suppl/GSM7822139_MM_415.snap.gz,GSE244618,0,SRX21923591,V2,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594453,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923591
snatac-seq_of_homo_sapiens_adult_brain_v2_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: V2 from donor 2,GSM7822140,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V2,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822140,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822140/suppl/GSM7822140_MM_416.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822140/suppl/GSM7822140_MM_416.snap.gz,GSE244618,0,SRX21923602,V2,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594454,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923602
snatac-seq_of_homo_sapiens_adult_brain_v2_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: V2 from donor 4,GSM7822141,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,V2,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822141,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822141/suppl/GSM7822141_MM_818.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822141/suppl/GSM7822141_MM_818.snap.gz,GSE244618,0,SRX21923645,V2,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594455,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923645
snatac-seq_of_homo_sapiens_adult_brain_fi_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: FI from donor 1,GSM7822142,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,FI,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822142,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822142/suppl/GSM7822142_MM_413.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822142/suppl/GSM7822142_MM_413.snap.gz,GSE244618,0,SRX21923656,FI,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594456,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923656
snatac-seq_of_homo_sapiens_adult_brain_fi_from_donor_2,,,,,,,snATAC-seq of homo sapiens adult brain: FI from donor 2,GSM7822143,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,FI,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822143,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822143/suppl/GSM7822143_MM_414.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822143/suppl/GSM7822143_MM_414.snap.gz,GSE244618,0,SRX21923533,FI,Donor 2,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594457,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923533
snatac-seq_of_homo_sapiens_adult_brain_fi_from_donor_4,,,,,,,snATAC-seq of homo sapiens adult brain: FI from donor 4,GSM7822144,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,FI,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822144,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822144/suppl/GSM7822144_MM_842.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822144/suppl/GSM7822144_MM_842.snap.gz,GSE244618,0,SRX21923544,FI,Donor 4,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594458,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923544
snatac-seq_of_homo_sapiens_adult_brain_a46_from_donor_1,,,,,,,snATAC-seq of homo sapiens adult brain: A46 from donor 1,GSM7822145,Public on Oct 04 2023,Oct 04 2023,Oct 04 2023,SRA,1,A46,Homo sapiens,9606,genomic DNA,GPL24676,"Yang,,Li",yal054@health.ucsd.edu,University of California San Diego,9500 Gilman Dr,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7822145,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822145/suppl/GSM7822145_MM_417.bedpe.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7822nnn/GSM7822145/suppl/GSM7822145_MM_417.snap.gz,GSE244618,0,SRX21923555,A46,Donor 1,neurotypical adult male',hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN37594459,https://www.ncbi.nlm.nih.gov/sra?term=SRX21923555
