Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR5356096,2018-04-29 10:58:24,2017-03-17 16:40:48,48226,7330352,48226,152,2,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356096.sralite.1,SRX2652321,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057511,SAMN06615096,simple,9606,Homo sapiens,GSM2543029,no,GEO,SRA546847,public,49DB1E9A1644EAA075BC946D64C631C6,4FD76D0D0D00EC2E65BE64B4F5B2DE49,
SRR5356097,2018-04-29 10:58:24,2017-03-17 16:40:53,41469,6303288,41469,152,2,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356097.sralite.1,SRX2652322,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057516,SAMN06615095,simple,9606,Homo sapiens,GSM2543030,no,GEO,SRA546847,public,A1EFCE24730620F7A6B0F1D303010FD0,A8816FD097E4B5566DDF6D3F4A29AE99,
SRR5356098,2018-04-29 10:58:24,2017-03-17 16:41:01,357743,54376936,357743,152,21,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356098.sralite.1,SRX2652323,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057517,SAMN06615094,simple,9606,Homo sapiens,GSM2543031,no,GEO,SRA546847,public,77D85BAA30B395CF180BDAB016BF183D,BD0448B95361D63E3E44D0E0DFB7D69A,
SRR5356099,2018-04-29 10:58:24,2017-03-17 16:41:07,556313,84559576,0,152,32,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356099.sralite.1,SRX2652324,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057520,SAMN06615093,simple,9606,Homo sapiens,GSM2543032,no,GEO,SRA546847,public,,,
SRR5356100,2018-04-29 10:58:24,2017-03-17 16:41:19,373468,56767136,373468,152,21,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356100.sralite.1,SRX2652325,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057514,SAMN06615092,simple,9606,Homo sapiens,GSM2543033,no,GEO,SRA546847,public,64A271AB9E97A3A137DA6708AE8E73BB,AF15AF8C4FA344EDC5C1CD032B06A2D4,
SRR5356101,2018-04-29 10:58:24,2017-03-17 16:41:01,436904,66409408,436904,152,25,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356101.sralite.1,SRX2652326,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057518,SAMN06615091,simple,9606,Homo sapiens,GSM2543034,no,GEO,SRA546847,public,D57BE483A18AA81469341AB072CC8850,CFC9662F90ACC349F7CF147A46B5ACE3,
SRR5356102,2018-04-29 10:58:24,2017-03-17 16:40:58,77750,11818000,77750,152,4,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356102.sralite.1,SRX2652327,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057513,SAMN06615090,simple,9606,Homo sapiens,GSM2543035,no,GEO,SRA546847,public,448DA9C8D06C1F9C4B616E94FB57078F,8AD1330B8C02A3562659C525D8DEB045,
SRR5356103,2018-04-29 10:58:24,2017-03-17 16:40:54,155612,23653024,155612,152,9,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356103.sralite.1,SRX2652328,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057519,SAMN06615089,simple,9606,Homo sapiens,GSM2543036,no,GEO,SRA546847,public,A1C7F3DEDABAC5D976002DCBD600F300,BDB8C704299F97F8B037D1CB56045ADC,
SRR5356104,2018-04-29 10:58:24,2017-03-17 16:41:02,308963,46962376,308963,152,18,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356104.sralite.1,SRX2652329,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057522,SAMN06615088,simple,9606,Homo sapiens,GSM2543037,no,GEO,SRA546847,public,339529F8D0216863A6955A7BA6923ADA,BC930917760CBE506CD9ED23C5023926,
SRR5356105,2018-04-29 10:58:24,2017-03-17 16:41:04,466909,70970168,466909,152,27,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/356/SRR5356105.sralite.1,SRX2652330,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP102089,PRJNA379613,2,379613,SRS2057521,SAMN06615087,simple,9606,Homo sapiens,GSM2543038,no,GEO,SRA546847,public,3E9F4AA189672E9F0479CE9506AC0E11,3AB436D664AD2FBE6713DD0327AF602D,
