sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,brain_region,sex,age,humanized_age,molecule_subtype,reanalyzed_by,biosample,sra
rna_human_ba23_h1,,,,,,,RNA_Human_BA23_H1,GSM5765186,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,total RNA,GPL16791,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM5765186,NONE,"GSE192773, GSE192774",0,SRX13554489,brain,Brodmann Area 23,F,53,53,nuclear RNA,GSE198951,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500106,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554489
rna_human_ba23_h2,,,,,,,RNA_Human_BA23_H2,GSM5765187,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,total RNA,GPL24676,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765187,NONE,"GSE192773, GSE192774",0,SRX13554490,brain,Brodmann Area 23,M,32,32,nuclear RNA,GSE198951,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500105,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554490
rna_human_ba23_h3,,,,,,,RNA_Human_BA23_H3,GSM5765188,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,total RNA,GPL24676,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765188,NONE,"GSE192773, GSE192774",0,SRX13554491,brain,Brodmann Area 23,M,66,66,nuclear RNA,GSE198951,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500104,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554491
rna_human_ba23_h4,,,,,,,RNA_Human_BA23_H4,GSM5765189,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Homo sapiens,9606,total RNA,GPL24676,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765189,NONE,"GSE192773, GSE192774",0,SRX13554492,brain,Brodmann Area 23,F,45,45,nuclear RNA,GSE198951,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500103,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554492
rna_chimpanzee_ba23_c1,,,,,,,RNA_Chimpanzee_BA23_C1,GSM5765190,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,total RNA,GPL19148,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM5765190,NONE,"GSE192773, GSE192774",0,SRX13554493,brain,Brodmann Area 23,M,27,53,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500102,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554493
rna_chimpanzee_ba23_c2,,,,,,,RNA_Chimpanzee_BA23_C2,GSM5765191,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,total RNA,GPL30573,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765191,NONE,"GSE192773, GSE192774",0,SRX13554494,brain,Brodmann Area 23,F,34,68,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500101,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554494
rna_chimpanzee_ba23_c3,,,,,,,RNA_Chimpanzee_BA23_C3,GSM5765192,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,total RNA,GPL30573,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765192,NONE,"GSE192773, GSE192774",0,SRX13554495,brain,Brodmann Area 23,M,40,80,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500100,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554495
rna_chimpanzee_ba23_c4,,,,,,,RNA_Chimpanzee_BA23_C4,GSM5765193,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Pan troglodytes,9598,total RNA,GPL30573,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765193,NONE,"GSE192773, GSE192774",0,SRX13554496,brain,Brodmann Area 23,F,21,41,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500099,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554496
rna_macaque_ba23_m1,,,,,,,RNA_Macaque_BA23_M1,GSM5765194,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Macaca mulatta,9544,total RNA,GPL19129,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM5765194,NONE,"GSE192773, GSE192774",0,SRX13554497,brain,Brodmann Area 23,M,17,52,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500098,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554497
rna_macaque_ba23_m2,,,,,,,RNA_Macaque_BA23_M2,GSM5765195,Public on Apr 26 2023,Dec 29 2021,Apr 26 2023,SRA,1,"Post-mortem brain, Brodmann Area 23",Macaca mulatta,9544,total RNA,GPL27943,"Genevieve,,Konopka",gena@alum.mit.edu,Neuroscience,UT Southwestern Medical Center,5323 Harry Hines Blvd.,Dallas,TX,75390-9111,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5765195,NONE,"GSE192773, GSE192774",0,SRX13554498,brain,Brodmann Area 23,M,18,57,nuclear RNA,,https://www.ncbi.nlm.nih.gov/biosample/SAMN24500097,https://www.ncbi.nlm.nih.gov/sra?term=SRX13554498
