sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,age,tissue,library_strategy,genome_build,supplementary_files_format_and_content,biosample,sra
tn5_adult_alpha_tn5_ea4_,other,Homo sapiens,PAIRED,SRA,SRR3337415,SRX1681487,Tn5 adult alpha (Tn5_EA4),GSM1606399,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606399,NONE,GSE79468,0,SRX1681487,alpha,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339201,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681487
tn5_adult_beta_tn5_ea5_,other,Homo sapiens,PAIRED,SRA,SRR3337416,SRX1681488,Tn5 adult beta (Tn5_EA5),GSM1606400,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606400,NONE,GSE79468,0,SRX1681488,beta,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339169,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681488
tn5_adult_acinar_tn5_ea6_,other,Homo sapiens,PAIRED,SRA,SRR3337417,SRX1681489,Tn5 adult acinar (Tn5_EA6),GSM1606401,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606401,NONE,GSE79468,0,SRX1681489,acinar,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339173,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681489
tn5_juvenile_alpha_tn5_ea7_,other,Homo sapiens,PAIRED,SRA,SRR3337418,SRX1681490,Tn5 juvenile alpha (Tn5_EA7),GSM1606402,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606402,NONE,GSE79468,0,SRX1681490,alpha,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339193,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681490
tn5_juvenile_beta_tn5_ea8_,other,Homo sapiens,PAIRED,SRA,SRR3337419,SRX1681491,Tn5 juvenile beta (Tn5_EA8),GSM1606403,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606403,NONE,GSE79468,0,SRX1681491,beta,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339197,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681491
tn5_juvenile_acinar_tn5_ea9_,other,Homo sapiens,PAIRED,SRA,SRR3337420,SRX1681492,Tn5 juvenile acinar (Tn5_EA9),GSM1606404,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606404,NONE,GSE79468,0,SRX1681492,acinar,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339212,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681492
tn5_juvenile_duct_tn5_ea10_,other,Homo sapiens,PAIRED,SRA,SRR3337421,SRX1681493,Tn5 juvenile duct (Tn5_EA10),GSM1606405,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606405,NONE,GSE79468,0,SRX1681493,duct,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339205,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681493
tn5_adult_duct_tn5_ea11_,other,Homo sapiens,PAIRED,SRA,SRR3337422,SRX1681494,Tn5 adult duct (Tn5_EA11),GSM1606406,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606406,NONE,GSE79468,0,SRX1681494,duct,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339175,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681494
tn5_juvenile_beta_tn5_ea14_,other,Homo sapiens,PAIRED,SRA,SRR3337424,SRX1681496,Tn5 juvenile beta (Tn5_EA14),GSM1606408,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606408,NONE,GSE79468,0,SRX1681496,beta,juvenile,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339164,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681496
tn5_adult_acinar_tn5_ea27_,other,Homo sapiens,PAIRED,SRA,SRR3337425,SRX1681497,Tn5 adult acinar (Tn5_EA27),GSM1606409,Public on Aug 21 2018,Feb 10 2015,May 15 2019,SRA,1,pancreas,Homo sapiens,9606,genomic DNA,"Nextera Tagmentation (Buenrostro et al 2013. PMID:24097267), Illumina HiSeq/TruSeq","Reads were mapped to hg19 using ATAC-Seq pipeline., Peaks were called using the ZINBA algorithm, Tags were counted using the HOMER software and normalized using DESeq",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,other,genomic,OTHER,GSM1606409,NONE,GSE79468,0,SRX1681497,acinar,adult,pancreas,ATAC-Seq,hg19,tab-delimited text file includes a matrix of normalized tag counts for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN03339170,https://www.ncbi.nlm.nih.gov/sra?term=SRX1681497
