sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,genome_build,biosample,sra
bm1077-hsc-frozen-160105-1,,,,,,,BM1077-HSC-Frozen-160105-1,GSM2540299,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540299,NONE,"GSE96769, GSE96772",0,SRX2649602,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613494,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649602
bm1077-hsc-frozen-160105-2,,,,,,,BM1077-HSC-Frozen-160105-2,GSM2540300,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540300,NONE,"GSE96769, GSE96772",0,SRX2649603,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613493,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649603
bm1077-hsc-frozen-160105-3,,,,,,,BM1077-HSC-Frozen-160105-3,GSM2540301,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540301,NONE,"GSE96769, GSE96772",0,SRX2649604,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613492,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649604
bm1077-hsc-frozen-160105-4,,,,,,,BM1077-HSC-Frozen-160105-4,GSM2540302,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540302,NONE,"GSE96769, GSE96772",0,SRX2649605,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613497,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649605
bm1077-hsc-frozen-160105-5,,,,,,,BM1077-HSC-Frozen-160105-5,GSM2540303,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540303,NONE,"GSE96769, GSE96772",0,SRX2649606,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613496,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649606
bm1077-hsc-frozen-160105-6,,,,,,,BM1077-HSC-Frozen-160105-6,GSM2540304,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540304,NONE,"GSE96769, GSE96772",0,SRX2649607,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613495,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649607
bm1077-hsc-frozen-160105-7,,,,,,,BM1077-HSC-Frozen-160105-7,GSM2540305,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540305,NONE,"GSE96769, GSE96772",0,SRX2649608,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613499,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649608
bm1077-hsc-frozen-160105-8,,,,,,,BM1077-HSC-Frozen-160105-8,GSM2540306,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540306,NONE,"GSE96769, GSE96772",0,SRX2649609,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613490,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649609
bm1077-hsc-frozen-160105-9,,,,,,,BM1077-HSC-Frozen-160105-9,GSM2540307,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540307,NONE,"GSE96769, GSE96772",0,SRX2649610,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613491,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649610
bm1077-hsc-frozen-160105-10,,,,,,,BM1077-HSC-Frozen-160105-10,GSM2540308,Public on Apr 26 2018,Mar 17 2017,May 15 2019,SRA,1,Bone Marrow CD34+,Homo sapiens,9606,genomic DNA,GPL18573,"Jason,Daniel,Buenrostro",jdbuenrostro@gmail.com,Broad Institute,415 Main Street,Cambridge,MA,02142,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM2540308,NONE,"GSE96769, GSE96772",0,SRX2649611,CD34+ Bone Marrow,HSC,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN06613365,https://www.ncbi.nlm.nih.gov/sra?term=SRX2649611
