sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,age,gender,tissue,assembly,biosample,sra
human_ovary1_snrna-seq,,,,,,,Human_ovary1_snRNA-seq,GSM6125533,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125533,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125533/suppl/GSM6125533_ovary1_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220629,23,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173476,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220629
human_ovary2_snrna-seq,,,,,,,Human_ovary2_snRNA-seq,GSM6125534,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125534,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125534/suppl/GSM6125534_ovary2_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220630,27,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173475,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220630
human_ovary3_snrna-seq,,,,,,,Human_ovary3_snRNA-seq,GSM6125535,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125535,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125535/suppl/GSM6125535_ovary3_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220631,28,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173474,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220631
human_ovary4_snrna-seq,,,,,,,Human_ovary4_snRNA-seq,GSM6125536,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125536,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125536/suppl/GSM6125536_ovary4_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220632,29,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173473,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220632
human_ovary5_snrna-seq,,,,,,,Human_ovary5_snRNA-seq,GSM6125537,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125537,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125537/suppl/GSM6125537_ovary5_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220633,49,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173472,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220633
human_ovary6_snrna-seq,,,,,,,Human_ovary6_snRNA-seq,GSM6125538,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125538,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125538/suppl/GSM6125538_ovary6_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220634,51,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173471,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220634
human_ovary7_snrna-seq,,,,,,,Human_ovary7_snRNA-seq,GSM6125539,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125539,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125539/suppl/GSM6125539_ovary7_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220635,52,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173470,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220635
human_ovary8_snrna-seq,,,,,,,Human_ovary8_snRNA-seq,GSM6125540,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,nuclear RNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000393 (Rev A) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell 3' Reagent Kits (v3)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM6125540,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125540/suppl/GSM6125540_ovary8_snRNA-seq_filtered_feature_bc_matrix.h5,GSE202601,0,SRX15220636,54,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173469,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220636
human_ovary1_snatac-seq,,,,,,,Human_ovary1_snATAC-seq,GSM6125541,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,genomic DNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000212 (Rev B) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell ATAC Reagent Kits (v1)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,other,genomic,ATAC-seq,GSM6125541,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125541/suppl/GSM6125541_ovary1_snATAC-seq_filtered_peak_bc_matrix.h5,GSE202601,0,SRX15220637,23,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173468,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220637
human_ovary2_snatac-seq,,,,,,,Human_ovary2_snATAC-seq,GSM6125542,Public on Mar 12 2023,May 10 2022,Mar 12 2023,SRA,1,ovary,Homo sapiens,9606,genomic DNA,"The nuclei isolation was performed according to 10× Genomics protocol CG000212 (Rev B) with ~100 mg frozen human ovary sample., 10x Chromium Single Cell ATAC Reagent Kits (v1)",GPL21697,"Chen,,Jin",cj2643@cumc.columbia.edu,3478335508,Columbia University Medical Center,630W 168th St,New York,NY,10032,USA,NextSeq 550,other,genomic,ATAC-seq,GSM6125542,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6125nnn/GSM6125542/suppl/GSM6125542_ovary2_snATAC-seq_filtered_peak_bc_matrix.h5,GSE202601,0,SRX15220638,27,female,ovary,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN28173467,https://www.ncbi.nlm.nih.gov/sra?term=SRX15220638
