sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,group,brain_region,tissue,age_of_death,sex,assembly,supplementary_files_format_and_content,biosample,sra
bb5_pvc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163168,SRX17174324,BB5_PVC_G_ATAC,GSM6502794,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"glia_PVC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502794,NONE,"GSE211822, GSE211826",0,SRX17174324,non-neuron,PVC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444948,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174324
bb5_pvc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163169,SRX17174325,BB5_PVC_N_ATAC,GSM6502795,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Visual Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502795,NONE,"GSE211822, GSE211826",0,SRX17174325,neuron,PVC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444949,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174325
bb4_ec_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163170,SRX17174326,BB4_EC_G_ATAC,GSM6502796,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Parahippocampal Cortex/Entorhinal Cortex,Homo sapiens,9606,genomic DNA,"glia_EC-includes-blacklisted-regions_peaks.narrowPeak, glia_EC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502796,NONE,"GSE211822, GSE211826",0,SRX17174326,non-neuron,EC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444950,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174326
bb4_ec_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163171,SRX17174327,BB4_EC_N_ATAC,GSM6502797,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Parahippocampal Cortex/Entorhinal Cortex,Homo sapiens,9606,genomic DNA,"neuron_EC-includes-blacklisted-regions_peaks.narrowPeak, neuron_EC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502797,NONE,"GSE211822, GSE211826",0,SRX17174327,neuron,EC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444951,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174327
bb6_mdt_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163172,SRX17174328,BB6_MDT_G_ATAC,GSM6502798,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Mediodorsal Thalamus,Homo sapiens,9606,genomic DNA,"glia_MDT-includes-blacklisted-regions_peaks.narrowPeak, glia_MDT.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502798,NONE,"GSE211822, GSE211826",0,SRX17174328,non-neuron,MDT,Midbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444952,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174328
bb6_mdt_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163173,SRX17174329,BB6_MDT_N_ATAC,GSM6502799,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Mediodorsal Thalamus,Homo sapiens,9606,genomic DNA,"neuron_MDT-includes-blacklisted-regions_peaks.narrowPeak, neuron_MDT.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502799,NONE,"GSE211822, GSE211826",0,SRX17174329,neuron,MDT,Midbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444953,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174329
bb4_pac_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163174,SRX17174330,BB4_PAC_G_ATAC,GSM6502800,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Auditory Cortex,Homo sapiens,9606,genomic DNA,"glia_PAC-includes-blacklisted-regions_peaks.narrowPeak, glia_PAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502800,NONE,"GSE211822, GSE211826",0,SRX17174330,non-neuron,PAC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444954,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174330
bb4_pac_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163175,SRX17174331,BB4_PAC_N_ATAC,GSM6502801,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Auditory Cortex,Homo sapiens,9606,genomic DNA,"neuron_PAC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502801,NONE,"GSE211822, GSE211826",0,SRX17174331,neuron,PAC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444955,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174331
bb6_ec_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163176,SRX17174332,BB6_EC_G_ATAC,GSM6502802,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Parahippocampal Cortex/Entorhinal Cortex,Homo sapiens,9606,genomic DNA,"glia_EC-includes-blacklisted-regions_peaks.narrowPeak, glia_EC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502802,NONE,"GSE211822, GSE211826",0,SRX17174332,non-neuron,EC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444956,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174332
bb6_ec_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163177,SRX17174333,BB6_EC_N_ATAC,GSM6502803,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Parahippocampal Cortex/Entorhinal Cortex,Homo sapiens,9606,genomic DNA,"neuron_EC-includes-blacklisted-regions_peaks.narrowPeak, neuron_EC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502803,NONE,"GSE211822, GSE211826",0,SRX17174333,neuron,EC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444957,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174333
bb5_rmtg_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163178,SRX17174334,BB5_RMTG_G_ATAC,GSM6502804,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Rostromedial Tegmental Nucl,Homo sapiens,9606,genomic DNA,"glia_RMTG-includes-blacklisted-regions_peaks.narrowPeak, glia_RMTG.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502804,NONE,"GSE211822, GSE211826",0,SRX17174334,non-neuron,RMTG,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444958,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174334
bb5_rmtg_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163179,SRX17174335,BB5_RMTG_N_ATAC,GSM6502805,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Rostromedial Tegmental Nucl,Homo sapiens,9606,genomic DNA,"neuron_RMTG-includes-blacklisted-regions_peaks.narrowPeak, neuron_RMTG.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502805,NONE,"GSE211822, GSE211826",0,SRX17174335,neuron,RMTG,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444959,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174335
bb4_pmc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163180,SRX17174336,BB4_PMC_G_ATAC,GSM6502806,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Primary Motor Cortex,Homo sapiens,9606,genomic DNA,"glia_PMC-includes-blacklisted-regions_peaks.narrowPeak, glia_PMC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502806,NONE,"GSE211822, GSE211826",0,SRX17174336,non-neuron,PMC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444960,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174336
