sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,tissue,individual_id,genome_build,biosample,sra
5540_ba9_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343877,SRX2640553,5540_BA9_neg (RNA-Seq),GSM2536613,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536613,NONE,"GSE96613, GSE96615",0,SRX2640553,NeuN neg,prefrontal cortex (BA9),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603253,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640553
5540_ba9_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343878,SRX2640554,5540_BA9_pos (RNA-Seq),GSM2536614,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536614,NONE,"GSE96613, GSE96615",0,SRX2640554,NeuN pos,prefrontal cortex (BA9),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603252,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640554
5540_nacc_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343879,SRX2640555,5540_NAcc_neg (RNA-Seq),GSM2536615,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536615,NONE,"GSE96613, GSE96615",0,SRX2640555,NeuN neg,nucleus accumbens (NAcc),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603251,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640555
5540_nacc_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343880,SRX2640556,5540_NAcc_pos (RNA-Seq),GSM2536616,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536616,NONE,"GSE96613, GSE96615",0,SRX2640556,NeuN pos,nucleus accumbens (NAcc),5540,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603250,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640556
5456_ba9_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343881,SRX2640557,5456_BA9_neg (RNA-Seq),GSM2536617,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536617,NONE,"GSE96613, GSE96615",0,SRX2640557,NeuN neg,prefrontal cortex (BA9),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603249,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640557
5456_ba9_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343882,SRX2640558,5456_BA9_pos (RNA-Seq),GSM2536618,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536618,NONE,"GSE96613, GSE96615",0,SRX2640558,NeuN pos,prefrontal cortex (BA9),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603248,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640558
5456_nacc_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343883,SRX2640559,5456_NAcc_neg (RNA-Seq),GSM2536619,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536619,NONE,"GSE96613, GSE96615",0,SRX2640559,NeuN neg,nucleus accumbens (NAcc),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603217,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640559
5456_nacc_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343884,SRX2640560,5456_NAcc_pos (RNA-Seq),GSM2536620,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536620,NONE,"GSE96613, GSE96615",0,SRX2640560,NeuN pos,nucleus accumbens (NAcc),5456,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603216,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640560
5343_ba9_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343885,SRX2640561,5343_BA9_neg (RNA-Seq),GSM2536621,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536621,NONE,"GSE96613, GSE96615",0,SRX2640561,NeuN neg,prefrontal cortex (BA9),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603215,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640561
5343_ba9_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343886,SRX2640562,5343_BA9_pos (RNA-Seq),GSM2536622,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536622,NONE,"GSE96613, GSE96615",0,SRX2640562,NeuN pos,prefrontal cortex (BA9),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603214,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640562
5343_nacc_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343887,SRX2640563,5343_NAcc_neg (RNA-Seq),GSM2536623,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536623,NONE,"GSE96613, GSE96615",0,SRX2640563,NeuN neg,nucleus accumbens (NAcc),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603213,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640563
5343_nacc_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343888,SRX2640564,5343_NAcc_pos (RNA-Seq),GSM2536624,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536624,NONE,"GSE96613, GSE96615",0,SRX2640564,NeuN pos,nucleus accumbens (NAcc),5343,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603212,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640564
5358_ba9_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343889,SRX2640565,5358_BA9_pos (RNA-Seq),GSM2536625,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536625,NONE,"GSE96613, GSE96615",0,SRX2640565,NeuN pos,prefrontal cortex (BA9),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603211,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640565
5358_nacc_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343890,SRX2640566,5358_NAcc_pos (RNA-Seq),GSM2536626,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536626,NONE,"GSE96613, GSE96615",0,SRX2640566,NeuN pos,nucleus accumbens (NAcc),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603282,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640566
5404_ba9_neg_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343891,SRX2640567,5404_BA9_neg (RNA-Seq),GSM2536627,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536627,NONE,"GSE96613, GSE96615",0,SRX2640567,NeuN neg,prefrontal cortex (BA9),5404,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603281,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640567
5404_ba9_pos_rna-seq_,cDNA,Homo sapiens,PAIRED,SRA,SRR5343892,SRX2640568,5404_BA9_pos (RNA-Seq),GSM2536628,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,total RNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM2536628,NONE,"GSE96613, GSE96615",0,SRX2640568,NeuN pos,prefrontal cortex (BA9),5404,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603280,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640568
