sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,chip_antibody,genotype,genome_build,supplementary_files_format_and_content,biosample,sra
nosn01_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064152,SRX17079308,"NOSN01.RNA, bulk RNA-seq",GSM6459644,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459644,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459644/suppl/GSM6459644_NOSN01.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079308,Substantia nigra,N/A,NOSN01,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319214,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079308
nosn02_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064153,SRX17079309,"NOSN02.RNA, bulk RNA-seq",GSM6459645,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459645,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459645/suppl/GSM6459645_NOSN02.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079309,Substantia nigra,N/A,NOSN02,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319215,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079309
nosn03_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064154,SRX17079310,"NOSN03.RNA, bulk RNA-seq",GSM6459646,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459646,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459646/suppl/GSM6459646_NOSN03.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079310,Substantia nigra,N/A,NOSN03,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319217,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079310
nosn04_1_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064155,SRX17079311,"NOSN04_1.RNA, bulk RNA-seq",GSM6459647,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459647,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459647/suppl/GSM6459647_NOSN04_1.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079311,Substantia nigra,N/A,NOSN04,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319218,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079311
nosn04_2_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064156,SRX17079312,"NOSN04_2.RNA, bulk RNA-seq",GSM6459648,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459648,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459648/suppl/GSM6459648_NOSN04_2.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079312,Substantia nigra,N/A,NOSN04,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319220,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079312
nosn05_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064157,SRX17079313,"NOSN05.RNA, bulk RNA-seq",GSM6459649,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459649,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459649/suppl/GSM6459649_NOSN05.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079313,Substantia nigra,N/A,NOSN05,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319221,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079313
nosn06_1_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064158,SRX17079314,"NOSN06_1.RNA, bulk RNA-seq",GSM6459650,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459650,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459650/suppl/GSM6459650_NOSN06_1.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079314,Substantia nigra,N/A,NOSN06,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319223,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079314
nosn06_2_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064159,SRX17079315,"NOSN06_2.RNA, bulk RNA-seq",GSM6459651,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459651,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459651/suppl/GSM6459651_NOSN06_2.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079315,Substantia nigra,N/A,NOSN06,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319224,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079315
pdsn01_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064160,SRX17079316,"PDSN01.RNA, bulk RNA-seq",GSM6459652,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459652,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459652/suppl/GSM6459652_PDSN01.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079316,Substantia nigra,N/A,PDSN01,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319226,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079316
pdsn02_rna_bulk_rna-seq,cDNA,Homo sapiens,PAIRED,SRA,SRR21064161,SRX17079317,"PDSN02.RNA, bulk RNA-seq",GSM6459653,Public on Mar 05 2023,Aug 15 2022,Mar 06 2023,SRA,1,Substantia nigra,Homo sapiens,9606,polyA RNA,"Total RNA was isolated from each sample using TRIzol (Thermo Fisher Scientific, 15596026), RNA-seq libraries were prepared using TruSeq RNA Access Library Prep Kit (Illumina, 20020189).","Paired-end reads were aligned to the reference genome (hg19) using STAR software v2.7.5 with default parameters., The raw read counts were quantified with RSEM based on a gene list obtained from GENCODE v38, selecting protein coding genes and long non-coding RNAs (lncRNAs) with confidence level 1 and 2 (n=22,090)., The count values were merged into a count matrix, quantile normalized using preprocessCore R package across the samples, and converted into transcripts per million (TPM) value.",GPL20301,"Inkyung,,Jung",kaistcbfg@gmail.com,Biological Sciences,KAIST,"KAIST, 291 Daehak-ro, Yuseong-gu",Daejeon,34141,South Korea,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6459653,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6459nnn/GSM6459653/suppl/GSM6459653_PDSN02.RNA.cellAdjusted.combat.qq.txt.gz,GSE148434,0,SRX17079317,Substantia nigra,N/A,PDSN02,hg19,tab-delimited text files with quantile normalized TPM values for each sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN30319228,https://www.ncbi.nlm.nih.gov/sra?term=SRX17079317
