sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,tissue,facs_markers,cell_type,genome_build,supplementary_files_format_and_content,biosample,sra
nb_4,,,,,,,NB_4,GSM4826470,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01DHAH1_NB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826470,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826470/suppl/GSM4826470_S01DHAH1_NB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826470/suppl/GSM4826470_S01DHAH1_NB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271222,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406502,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271222
pc_3,,,,,,,PC_3,GSM4826471,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01DJ6H1_PC,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826471,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826471/suppl/GSM4826471_S01DJ6H1_PC.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826471/suppl/GSM4826471_S01DJ6H1_PC.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271223,tonsil,CD20+CD44+CD10-CD38+CD27+,Plasma cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406501,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271223
gcb_1,,,,,,,GCB_1,GSM4826472,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01DK4H1_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826472,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826472/suppl/GSM4826472_S01DK4H1_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826472/suppl/GSM4826472_S01DK4H1_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271224,tonsil,CD20+CD44-CD10+,Germinal Center B cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406500,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271224
nb_5,,,,,,,NB_5,GSM4826473,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01SA171_NB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826473,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826473/suppl/GSM4826473_S01SA171_NB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826473/suppl/GSM4826473_S01SA171_NB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271225,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406499,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271225
pc_4,,,,,,,PC_4,GSM4826474,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01SCY71_PC,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826474,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826474/suppl/GSM4826474_S01SCY71_PC.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826474/suppl/GSM4826474_S01SCY71_PC.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271226,tonsil,CD20+CD44+CD10-CD38+CD27+,Plasma cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406498,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271226
gcb_2,,,,,,,GCB_2,GSM4826475,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01SDW71_GCB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826475,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826475/suppl/GSM4826475_S01SDW71_GCB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826475/suppl/GSM4826475_S01SDW71_GCB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271227,tonsil,CD20+CD44-CD10+,Germinal Center B cell,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406497,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271227
nb_6,,,,,,,NB_6,GSM4826476,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",S01SEU71_NB,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826476,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826476/suppl/GSM4826476_S01SEU71_NB.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826476/suppl/GSM4826476_S01SEU71_NB.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271228,tonsil,CD20+CD44+CD10-IgD+,Naive B,GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406496,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271228
gcb_cb_1,,,,,,,GCB_CB_1,GSM4826477,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CB_166_2_16,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826477,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826477/suppl/GSM4826477_Sample_CB_166_2_16.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826477/suppl/GSM4826477_Sample_CB_166_2_16.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271229,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406494,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271229
gcb_cb_2,,,,,,,GCB_CB_2,GSM4826478,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CB_708,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826478,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826478/suppl/GSM4826478_Sample_CB_708.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826478/suppl/GSM4826478_Sample_CB_708.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271230,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406493,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271230
gcb_cb_3,,,,,,,GCB_CB_3,GSM4826479,Public on Aug 03 2021,Oct 09 2020,Oct 01 2021,SRA,1,tonsil,Homo sapiens,9606,lymphocytes isolated from tonsils by ficoll gradient centrifugation,genomic DNA,"Omni-ATAC-seq https://www.nature.com/articles/nmeth.4396, Illumina nextera per protocol https://www.nature.com/articles/nmeth.4396",CB_P7,"Complete processing pipeline available at https://github.com/DoaneAS/atacflow, Read adapter trimming using ngtrim, Alignment to GRCh38 using bowtie2, PCR duplicate removeal by piccard tools, Peak calling using genrich",GPL16791,"Ashley,Stephen,Doane","asd2007@med.cornell.edu, ashley.doane@gmail.com",Weill Cornell Medicine,1300 York Ave,New York,NY,10021,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4826479,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826479/suppl/GSM4826479_Sample_CB_P7.deseqsf.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4826nnn/GSM4826479/suppl/GSM4826479_Sample_CB_P7.narrowPeak.gz,"GSE159314, GSE183806",0,SRX9271231,tonsil,CD20+CD44-CD10+CXCR4+,"Germinal Center B cell, centroblast",GRCh38,NarrowPeak files contain ATAC-seq peaks.bigWig files contain binned ATAC-seq fragments normalized to reads in peaks using a consensus peak atlas.,https://www.ncbi.nlm.nih.gov/biosample/SAMN16406492,https://www.ncbi.nlm.nih.gov/sra?term=SRX9271231
