sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,treatment,genome_build,supplementary_files_format_and_content,biosample,sra
cd107a_liver_cd49a_plus_nk_cells_1,cDNA,Homo sapiens,SINGLE,SRA,SRR12703516,SRX9183046,CD107a_Liver_CD49a_plus_NK_cells_1,GSM4801553,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801553,NONE,GSE158485,0,SRX9183046,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253749,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183046
cd107a_liver_cd49a_plus_nk_cells_10,cDNA,Homo sapiens,SINGLE,SRA,SRR12703517,SRX9183047,CD107a_Liver_CD49a_plus_NK_cells_10,GSM4801554,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801554,NONE,GSE158485,0,SRX9183047,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253748,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183047
cd107a_liver_cd49a_plus_nk_cells_11,cDNA,Homo sapiens,SINGLE,SRA,SRR12703518,SRX9183048,CD107a_Liver_CD49a_plus_NK_cells_11,GSM4801555,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801555,NONE,GSE158485,0,SRX9183048,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253747,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183048
cd107a_liver_cd49a_plus_nk_cells_12,cDNA,Homo sapiens,SINGLE,SRA,SRR12703519,SRX9183049,CD107a_Liver_CD49a_plus_NK_cells_12,GSM4801556,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801556,NONE,GSE158485,0,SRX9183049,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253746,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183049
cd107a_liver_cd49a_plus_nk_cells_2,cDNA,Homo sapiens,SINGLE,SRA,SRR12703520,SRX9183006,CD107a_Liver_CD49a_plus_NK_cells_2,GSM4801557,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801557,NONE,GSE158485,0,SRX9183006,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253745,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183006
cd107a_liver_cd49a_plus_nk_cells_3,cDNA,Homo sapiens,SINGLE,SRA,SRR12703521,SRX9183007,CD107a_Liver_CD49a_plus_NK_cells_3,GSM4801558,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801558,NONE,GSE158485,0,SRX9183007,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253744,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183007
cd107a_liver_cd49a_plus_nk_cells_4,cDNA,Homo sapiens,SINGLE,SRA,SRR12703522,SRX9183008,CD107a_Liver_CD49a_plus_NK_cells_4,GSM4801559,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801559,NONE,GSE158485,0,SRX9183008,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253743,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183008
cd107a_liver_cd49a_plus_nk_cells_5,cDNA,Homo sapiens,SINGLE,SRA,SRR12703523,SRX9183009,CD107a_Liver_CD49a_plus_NK_cells_5,GSM4801560,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801560,NONE,GSE158485,0,SRX9183009,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253742,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183009
cd107a_liver_cd49a_plus_nk_cells_6,cDNA,Homo sapiens,SINGLE,SRA,SRR12703524,SRX9183010,CD107a_Liver_CD49a_plus_NK_cells_6,GSM4801561,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801561,NONE,GSE158485,0,SRX9183010,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253741,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183010
cd107a_liver_cd49a_plus_nk_cells_7,cDNA,Homo sapiens,SINGLE,SRA,SRR12703525,SRX9183011,CD107a_Liver_CD49a_plus_NK_cells_7,GSM4801562,Public on Oct 15 2020,Sep 24 2020,Oct 05 2020,SRA,1,NK cells,Homo sapiens,9606,protocol below every subset section,freshly isolated cells from human Liver tissue,total RNA,"Human liver tissue was passed through 70-μm mesh filters and rinsed with 10% FBS in PBS. Leukocytes were isolated using Ficoll gradients., Illumina, SMART-seq",Single cell RNA-seq,"Single-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh38.92 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.22.1), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL21290,"Georg,,Stary",Dermatology,Medical University of Vienna,Spitalgasse 23,Vienna,1090,Austria,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSM4801562,NONE,GSE158485,0,SRX9183011,Liver,CD107a- Liver CD49a+ NK cells,Unstimulated,hg38,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.22.1) with Ensembl Known Gene models (version GRCh38.92) as reference annotationsATAC-seq peaks were identified by using the HOMER tool,https://www.ncbi.nlm.nih.gov/biosample/SAMN16253740,https://www.ncbi.nlm.nih.gov/sra?term=SRX9183011
