sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,donor,assembly,supplementary_files_format_and_content,biosample,sra
kidney_cortex-rna-seq-donor1_cortex_1_,,,,,,,Kidney Cortex-RNA-seq-Donor1 (cortex_1),GSM6560948,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0012_Cortex_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560948,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560948/suppl/GSM6560948_RAM012-CORTEX.bw,"GSE212907, GSE212910",0,SRX17489125,Kidney Cortex,1,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725656,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489125
kidney_cortex-rna-seq-donor2__cortex_2_,,,,,,,Kidney Cortex-RNA-seq-Donor2  (cortex_2),GSM6560949,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0013_Cortex_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560949,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560949/suppl/GSM6560949_RAM013-CORTEX.bw,"GSE212907, GSE212910",0,SRX17489126,Kidney Cortex,2,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725655,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489126
kidney_cortex-rna-seq-donor3__cortex_3_,,,,,,,Kidney Cortex-RNA-seq-Donor3  (cortex_3),GSM6560950,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0015_Cortex_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560950,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560950/suppl/GSM6560950_RAM015-CORTEX.bw,"GSE212907, GSE212910",0,SRX17489127,Kidney Cortex,3,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725654,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489127
kidney_medulla-rna-seq-donor1_medulla_1_,,,,,,,Kidney Medulla-RNA-seq-Donor1 (medulla_1),GSM6560951,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0012_Medulla_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560951,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560951/suppl/GSM6560951_RAM012-MEDULLA.bw,"GSE212907, GSE212910",0,SRX17489128,Kidney Medulla,1,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725653,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489128
kidney_medulla-rna-seq-donor3_medulla_2_,,,,,,,Kidney Medulla-RNA-seq-Donor3 (medulla_2),GSM6560952,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0013_Medulla_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560952,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560952/suppl/GSM6560952_RAM013-MEDULLA.bw,"GSE212907, GSE212910",0,SRX17489129,Kidney Medulla,2,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725652,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489129
kidney_medulla-rna-seq-donor3_medulla_3_,,,,,,,Kidney Medulla-RNA-seq-Donor3 (medulla_3),GSM6560953,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Kidney cortex and medulla tissues were stabilized overnight at 4°C in RNALater before long term storage at -80°C, RNA libraries were prepared for sequencing using standard Illumina protocols","RAM0015_Medulla_RNA, Sequencing by ActiveMotif, Configuration HiSeq 2x150 PE HO HiSeq 2x150bp",Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Homo sapiens GRCh38 reference genome available on ENSEMBL using the STAR aligner v.2.5.2b. The STAR aligner is a splice aligner that detects splice junctions and incorporates them to help align the entire read sequences. BAM files were generated as a result of this step. Below are the statistics of mapping the reads to the reference gen ...,GPL20301,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,GSM6560953,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560953/suppl/GSM6560953_RAM015-MEDULLA.bw,"GSE212907, GSE212910",0,SRX17489130,Kidney Medulla,3,GRCh38 (hg38),"bigwig; RNA-seq readstxt-file with raw gene counts (not normalized, space separated)",https://www.ncbi.nlm.nih.gov/biosample/SAMN30725651,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489130
kidney_cortex-atac-seq-donor1_cortex_1_,,,,,,,Kidney Cortex-ATAC-seq-Donor1 (cortex_1),GSM6560954,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"Snap frozen tissue, Tn5 transposition and ATAC-seq was performed by ActiveMotif (Carlsbad, CA)",,"The paired-end 42 bp sequencing reads (PE42) generated by Illumina sequencing (using NextSeq 500) are mapped to the genome using the BWA algorithm with default settings (“bwa mem”). Alignment information for each read is stored in the BAM format. Only reads that pass Illumina’s purity filter, align with no more than 2 mismatches, and map uniquely to the genome are used in the subsequent analysis. In addition, duplicate reads (“PCR duplicates”) are removed., Only properly aligned read pairs with  ...",GPL18573,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6560954,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560954/suppl/GSM6560954_cortex_12_treat_pileup.bw,"GSE212908, GSE212910",0,SRX17489143,Kidney Cortex,1,GRCh38 (hg38),bw; MACS2 read coverage for each sample  (normalized to lowest read depth across all samples)bed; Masterlist of accessible regions across all samples (merged MACS2 peaks)txt; number of ATAC-seq reads for each accessible region in the master list for all samples,https://www.ncbi.nlm.nih.gov/biosample/SAMN30726112,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489143
kidney_cortex-atac-seq-donor2__cortex_2_,,,,,,,Kidney Cortex-ATAC-seq-Donor2  (cortex_2),GSM6560955,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"Snap frozen tissue, Tn5 transposition and ATAC-seq was performed by ActiveMotif (Carlsbad, CA)",,"The paired-end 42 bp sequencing reads (PE42) generated by Illumina sequencing (using NextSeq 500) are mapped to the genome using the BWA algorithm with default settings (“bwa mem”). Alignment information for each read is stored in the BAM format. Only reads that pass Illumina’s purity filter, align with no more than 2 mismatches, and map uniquely to the genome are used in the subsequent analysis. In addition, duplicate reads (“PCR duplicates”) are removed., Only properly aligned read pairs with  ...",GPL18573,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6560955,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560955/suppl/GSM6560955_cortex_13_treat_pileup.bw,"GSE212908, GSE212910",0,SRX17489144,Kidney Cortex,2,GRCh38 (hg38),bw; MACS2 read coverage for each sample  (normalized to lowest read depth across all samples)bed; Masterlist of accessible regions across all samples (merged MACS2 peaks)txt; number of ATAC-seq reads for each accessible region in the master list for all samples,https://www.ncbi.nlm.nih.gov/biosample/SAMN30726111,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489144
kidney_cortex-atac-seq-donor3__cortex_3_,,,,,,,Kidney Cortex-ATAC-seq-Donor3  (cortex_3),GSM6560956,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"Snap frozen tissue, Tn5 transposition and ATAC-seq was performed by ActiveMotif (Carlsbad, CA)",,"The paired-end 42 bp sequencing reads (PE42) generated by Illumina sequencing (using NextSeq 500) are mapped to the genome using the BWA algorithm with default settings (“bwa mem”). Alignment information for each read is stored in the BAM format. Only reads that pass Illumina’s purity filter, align with no more than 2 mismatches, and map uniquely to the genome are used in the subsequent analysis. In addition, duplicate reads (“PCR duplicates”) are removed., Only properly aligned read pairs with  ...",GPL18573,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6560956,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560956/suppl/GSM6560956_cortex_15_treat_pileup.bw,"GSE212908, GSE212910",0,SRX17489145,Kidney Cortex,3,GRCh38 (hg38),bw; MACS2 read coverage for each sample  (normalized to lowest read depth across all samples)bed; Masterlist of accessible regions across all samples (merged MACS2 peaks)txt; number of ATAC-seq reads for each accessible region in the master list for all samples,https://www.ncbi.nlm.nih.gov/biosample/SAMN30726110,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489145
kidney_medulla-atac-seq-donor1_medulla_1_,,,,,,,Kidney Medulla-ATAC-seq-Donor1 (medulla_1),GSM6560957,Public on Nov 22 2023,Sep 08 2022,Nov 22 2023,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"Snap frozen tissue, Tn5 transposition and ATAC-seq was performed by ActiveMotif (Carlsbad, CA)",,"The paired-end 42 bp sequencing reads (PE42) generated by Illumina sequencing (using NextSeq 500) are mapped to the genome using the BWA algorithm with default settings (“bwa mem”). Alignment information for each read is stored in the BAM format. Only reads that pass Illumina’s purity filter, align with no more than 2 mismatches, and map uniquely to the genome are used in the subsequent analysis. In addition, duplicate reads (“PCR duplicates”) are removed., Only properly aligned read pairs with  ...",GPL18573,"Stefan,,Haug",Hugstetter Str. 49,Freiburg,79102,Germany,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6560957,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6560nnn/GSM6560957/suppl/GSM6560957_medulla_12_treat_pileup.bw,"GSE212908, GSE212910",0,SRX17489146,Kidney Medulla,1,GRCh38 (hg38),bw; MACS2 read coverage for each sample  (normalized to lowest read depth across all samples)bed; Masterlist of accessible regions across all samples (merged MACS2 peaks)txt; number of ATAC-seq reads for each accessible region in the master list for all samples,https://www.ncbi.nlm.nih.gov/biosample/SAMN30726109,https://www.ncbi.nlm.nih.gov/sra?term=SRX17489146
