Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR13592261,2021-03-16 18:51:32,2021-01-31 17:25:00,522678560,77121630006,0,147,14440,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592261/SRR13592261.lite.1,SRX9986854,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158064,SAMN17715037,simple,9606,Homo sapiens,GSM5051493,no,GEO,SRA1189790,public,C03091F9F307C90F0E95FA6367FDE82E,F878F0BD786F74B15B58C958A8CD2B72,
SRR13592262,2021-03-16 18:51:33,2021-01-31 18:16:11,388391284,56689645848,0,145,11098,GCA_000001405.24,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13592/SRR13592262/SRR13592262.lite.1,SRX9986855,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158062,SAMN17715052,simple,9606,Homo sapiens,GSM5051494,no,GEO,SRA1189790,public,6E4DC15DFDD3EB0EDD29E701F601CB8B,BFE11E4B991BA2F825289BAF7F785974,
SRR13592263,2021-03-16 18:51:33,2021-01-31 17:01:42,342075716,49846255164,0,145,9617,GCA_000001405.24,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592263/SRR13592263.lite.1,SRX9986856,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158063,SAMN17715051,simple,9606,Homo sapiens,GSM5051495,no,GEO,SRA1189790,public,9C915E92FA9207AB40505BC5436D42E2,DA6082C37AC2C08EF667C32179DF2DCD,
SRR13592264,2021-03-16 18:51:33,2021-01-31 17:12:36,373018513,54956640504,0,147,10695,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592264/SRR13592264.lite.1,SRX9986857,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158065,SAMN17715050,simple,9606,Homo sapiens,GSM5051496,no,GEO,SRA1189790,public,DD16369ECB7DAD09140BC6AD9EB4448E,9760EBBF071C7EDCC323D7E6C31E8173,
SRR13592265,2021-03-16 18:51:33,2021-01-31 17:34:48,461300766,67702872456,0,146,12857,GCA_000001405.24,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592265/SRR13592265.lite.1,SRX9986858,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158066,SAMN17715049,simple,9606,Homo sapiens,GSM5051497,no,GEO,SRA1189790,public,9DB96F58EBAD49FB4B0DD136F7248391,E5E6BA316361D34F90A6E67954031AB1,
SRR13592266,2021-03-16 18:51:33,2021-01-31 18:18:16,423636202,61984338240,0,146,11873,GCA_000001405.24,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13592/SRR13592266/SRR13592266.lite.1,SRX9986859,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158067,SAMN17715048,simple,9606,Homo sapiens,GSM5051498,no,GEO,SRA1189790,public,9391D8D784C10714AC59D8705E7BAC34,1ECFBFAF5483DC1EFB98A01A3EA7AF7D,
SRR13592267,2021-03-16 18:51:33,2021-01-31 17:07:01,315790563,20779158816,315790058,65,6233,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592267/SRR13592267.lite.1,SRX9986860,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158068,SAMN17715047,simple,9606,Homo sapiens,GSM5051499,no,GEO,SRA1189790,public,49EC7B1C32C28BDA69AE06D404FE1A93,52B2049267C3C229413FFC9F01AED6A9,
SRR13592268,2021-03-16 18:51:33,2021-01-31 17:13:16,202370090,13315878546,202369779,65,4112,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13592/SRR13592268/SRR13592268.lite.1,SRX9986861,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158069,SAMN17715046,simple,9606,Homo sapiens,GSM5051500,no,GEO,SRA1189790,public,ED2B569977949AE68734FCE8257AF672,4A9CA7F2B33B6608987F4B727ABF0B80,
SRR13592269,2021-03-16 18:51:33,2021-01-31 17:10:22,282189757,18569368464,282189725,65,5939,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13592/SRR13592269/SRR13592269.lite.1,SRX9986862,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158070,SAMN17715045,simple,9606,Homo sapiens,GSM5051501,no,GEO,SRA1189790,public,9ADD1FC40FA00B4EE08ED76C7E1F7522,3CF8C836C44A44DC4136F46A7D61F5DD,
SRR13592270,2021-03-16 18:51:33,2021-01-31 18:49:09,320081580,21061941726,320081539,65,6746,GCA_000001405.16,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13592/SRR13592270/SRR13592270.lite.1,SRX9986863,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP304007,PRJNA698360,3,698360,SRS8158071,SAMN17715044,simple,9606,Homo sapiens,GSM5051502,no,GEO,SRA1189790,public,87445F0B53863DDD5E80932B25714995,E725212C51359E5E7A39F65AC08AFE68,
