Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR14230888,2021-05-10 18:08:39,2021-04-15 21:56:58,173960521,21571104604,173960521,124,9552,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230888/SRR14230888.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,E4F227550E9384990469F4E0D53C7E6F,D72A40AC4EA76AE557FD797587A7BA5C,
SRR14230889,2021-05-10 18:08:39,2021-04-16 00:46:53,173796856,21550810144,173796856,124,9643,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230889/SRR14230889.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,6A4085BE45E342F6360111829E6DA926,E86EA5BD018E5D7D1D5D4252F59AAAD0,
SRR14230890,2021-05-10 18:08:39,2021-04-14 20:37:02,70407612,8730543888,70407612,124,3676,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230890/SRR14230890.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,4FF47AE9A26913BE46F659F49D7CC3DB,4C6223755B871D73AC63E773F6E15362,
SRR14230891,2021-05-10 18:08:39,2021-04-14 21:12:27,68152530,8450913720,68152530,124,3589,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230891/SRR14230891.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,D930092E3101B50F80D4F023D9DAACD6,2ECE3A020E76EF9CABDC3BC6E31FF76F,
SRR14230892,2021-05-10 18:08:39,2021-04-14 20:37:15,70209129,8705931996,70209129,124,3698,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230892/SRR14230892.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,54BD6440A68A333C68B2AE0F2735811F,79D8D2A21C3E6E7AE915A5CEC666AC4C,
SRR14230893,2021-05-10 18:08:39,2021-04-14 20:21:22,68805694,8531906056,68805694,124,3652,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230893/SRR14230893.lite.1,SRX10595438,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697701,SAMN18736216,simple,9606,Homo sapiens,GSM5239693,no,GEO,SRA1218111,public,6E9DD064F7F425B18D518BEE51C82526,5DD56EBD8FF7C62E03808EC3E1C0B7E0,
SRR14230894,2021-05-10 18:08:39,2021-04-14 16:51:38,64719025,8025159100,64719025,124,3389,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230894/SRR14230894.lite.1,SRX10595439,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697702,SAMN18736215,simple,9606,Homo sapiens,GSM5239694,no,GEO,SRA1218111,public,1CB492A547AF3CBBE7FB446A22BA4F2B,51E35E8E2BC5ED50B4DA82E119C54B0B,
SRR14230895,2021-05-10 18:08:39,2021-04-14 20:19:22,62339027,7730039348,62339027,124,3295,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230895/SRR14230895.lite.1,SRX10595439,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697702,SAMN18736215,simple,9606,Homo sapiens,GSM5239694,no,GEO,SRA1218111,public,DBF830FAD53B520FB478B315CD5D8D00,0F69DCFC6A0CD659D31977BDB5A3761F,
SRR14230896,2021-05-10 18:08:39,2021-04-14 21:49:42,64416111,7987597764,64416111,124,3403,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230896/SRR14230896.lite.1,SRX10595439,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697702,SAMN18736215,simple,9606,Homo sapiens,GSM5239694,no,GEO,SRA1218111,public,94FAF4CE0CA8F6759ECDAC7F9F97FB2E,73DC338986B4898C2CD5A9ADA0F0DCC4,
SRR14230897,2021-05-10 18:08:39,2021-04-14 19:04:29,62692560,7773877440,62692560,124,3339,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14230/SRR14230897/SRR14230897.lite.1,SRX10595439,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP314697,PRJNA721690,3,721690,SRS8697702,SAMN18736215,simple,9606,Homo sapiens,GSM5239694,no,GEO,SRA1218111,public,C963A14BE4498452CF851FE64514024A,C6193EF46D8C29DFC7BD16C66CD5140A,
