Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR18070426,2023-07-01 15:41:47,2022-02-23 05:18:35,168351509,15151635810,0,90,3004,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR018/18070/SRR18070426/SRR18070426.lite.1,SRX14222129,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043618,SAMN26038349,simple,9606,Homo sapiens,GSM5906305,no,GEO,SRA1374480,public,4BD7DCA39CDB87ABEE93038876A94F43,A2BF17744595DD6259E43D0B15E93652,
SRR18070427,2023-07-01 15:41:47,2022-02-23 16:21:15,247458800,22271292000,0,90,4873,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18070/SRR18070427/SRR18070427.lite.1,SRX14222130,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043619,SAMN26038350,simple,9606,Homo sapiens,GSM5906306,no,GEO,SRA1374480,public,C6DCD28F3A14A103272247DEDCC5FD42,F76F09D2601EF2F006A8145E809749E4,
SRR18070428,2023-07-01 15:41:47,2022-02-23 17:33:26,393550393,35419535370,0,90,5995,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18070/SRR18070428/SRR18070428.lite.1,SRX14222131,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043620,SAMN26038351,simple,9606,Homo sapiens,GSM5906307,no,GEO,SRA1374480,public,94B93456534C81E666680118B95804E0,AE8023C53DB00098682F3B51E2D46143,
SRR18070429,2023-07-01 15:41:47,2022-02-23 16:31:11,262301341,23605972023,0,89,5419,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18070/SRR18070429/SRR18070429.lite.1,SRX14222132,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043621,SAMN26038352,simple,9606,Homo sapiens,GSM5906308,no,GEO,SRA1374480,public,2166DEA5B06AA85B1CEE03A94850B8BF,B2C6547E1B6777F74ADD1EDC8F9E7AEE,
SRR18070430,2023-07-01 15:41:47,2022-02-23 05:26:23,177755636,15998007240,0,90,3474,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18070/SRR18070430/SRR18070430.lite.1,SRX14222133,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043622,SAMN26038353,simple,9606,Homo sapiens,GSM5906309,no,GEO,SRA1374480,public,092518B48063D107A630A53F5F4009AD,02A898F52E4822337F26FAE8700AE454,
SRR18070431,2023-07-01 15:41:47,2022-02-23 05:25:41,183228430,16490558700,0,90,3311,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR018/18070/SRR18070431/SRR18070431.lite.1,SRX14222134,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043623,SAMN26038354,simple,9606,Homo sapiens,GSM5906310,no,GEO,SRA1374480,public,E8B299DCD09667060B6F868B15670BAA,051A3D7598D8C44F147847FDF748FD70,
SRR18070432,2023-07-01 15:41:47,2022-02-23 20:23:52,423486866,38286714647,0,90,9580,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18070/SRR18070432/SRR18070432.lite.1,SRX14222135,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043624,SAMN26038355,simple,9606,Homo sapiens,GSM5906311,no,GEO,SRA1374480,public,6AF6D494441085C10522BC1FE4DF12FE,5E18A7D989E5EB22438CDBAFE0C5CB4A,
SRR18070433,2023-07-01 15:41:47,2022-02-23 05:30:59,163140835,14845815985,0,91,3183,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18070/SRR18070433/SRR18070433.lite.1,SRX14222136,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043625,SAMN26038356,simple,9606,Homo sapiens,GSM5906312,no,GEO,SRA1374480,public,FC3689BB910B16E338667FCA6E6E752A,CD0F7177ABBF30EF5C1E260B07AF7BFC,
SRR18070434,2023-07-01 15:41:47,2022-02-23 05:24:02,94112882,8564272262,0,91,1893,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18070/SRR18070434/SRR18070434.lite.1,SRX14222137,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043626,SAMN26038357,simple,9606,Homo sapiens,GSM5906313,no,GEO,SRA1374480,public,4AEAE84498C63ECB5F934B4DA7F6B71D,44A84EA47A074472D26FB6FA5A308EC6,
SRR18070435,2023-07-01 15:41:47,2022-02-23 06:27:26,210528363,18947552670,0,90,3773,GCA_000001405.29,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR018/18070/SRR18070435/SRR18070435.lite.1,SRX14222138,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP360500,PRJNA808248,3,808248,SRS12043627,SAMN26038358,simple,9606,Homo sapiens,GSM5906314,no,GEO,SRA1374480,public,1A11E3D7C54E1A73D3A6763E91D0D9D8,19BEFB339160FAF8AD08984BC593899C,
