Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR13440456,2021-05-01 19:31:37,2021-01-14 21:09:44,103987134,31404114468,103987134,302,9440,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440456/SRR13440456.lite.1,SRX9853871,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035331,SAMN17318196,simple,9606,Homo sapiens,GSM5022034,no,GEO,SRA1184176,public,ED4629BF05AD3B1A2CB9CD1A52B4ED2C,AAD33E3A373801E675FF49FC0B367E3C,
SRR13440457,2021-05-01 19:31:37,2021-01-14 20:57:18,106701008,32223704416,106701008,302,9678,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440457/SRR13440457.lite.1,SRX9853872,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035332,SAMN17318226,simple,9606,Homo sapiens,GSM5022035,no,GEO,SRA1184176,public,1BAC1FC8F0CC18F20E0771B082F7FC84,6AAD43BA38C1EB7AB4EE2B7FC6883107,
SRR13440458,2021-05-01 19:31:37,2021-01-14 21:46:49,77169830,23305288660,77169830,302,7018,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440458/SRR13440458.lite.1,SRX9853873,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035333,SAMN17318225,simple,9606,Homo sapiens,GSM5022036,no,GEO,SRA1184176,public,ADC468A4AC1AB9C1F3E534E7A392E309,3929F515B31D7CE87E79CD58A7BB642A,
SRR13440459,2021-05-01 19:31:37,2021-01-14 20:44:19,73506327,22198910754,73506327,302,6647,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440459/SRR13440459.lite.1,SRX9853874,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035334,SAMN17318224,simple,9606,Homo sapiens,GSM5022037,no,GEO,SRA1184176,public,D3136E0AD1CFF93918852F002010ADA3,ED9F18598C65FCB4308843DAF9E81047,
SRR13440460,2021-05-01 19:31:37,2021-01-14 22:06:13,107860984,32574017168,107860984,302,9745,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440460/SRR13440460.lite.1,SRX9853875,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035336,SAMN17318223,simple,9606,Homo sapiens,GSM5022038,no,GEO,SRA1184176,public,AD6C3C7440FA986B10AF34470BF3B931,6B06AD275B03926ECC2FDC8942A6D2C8,
SRR13440461,2021-05-01 19:31:37,2021-01-14 21:05:18,108639552,32809144704,108639552,302,9889,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440461/SRR13440461.lite.1,SRX9853876,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035335,SAMN17318222,simple,9606,Homo sapiens,GSM5022039,no,GEO,SRA1184176,public,51FA925ACC78E19AAFC4DF1F3AC735E5,E2A0B85E9C6C504F928F4C3F05A8AB13,
SRR13440462,2021-05-01 19:31:38,2021-01-14 20:52:29,91709995,27696418490,91709995,302,8362,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440462/SRR13440462.lite.1,SRX9853877,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035337,SAMN17318221,simple,9606,Homo sapiens,GSM5022040,no,GEO,SRA1184176,public,6A1D3A2CD9A51B35CF997905F4BD06DE,DEC1B40B6006D6C440E386EA757D41F1,
SRR13440463,2021-05-01 19:31:38,2021-01-14 21:09:06,106487431,32159204162,106487431,302,9676,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440463/SRR13440463.lite.1,SRX9853878,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035338,SAMN17318220,simple,9606,Homo sapiens,GSM5022041,no,GEO,SRA1184176,public,424AF97274C0927A7D23A65E74ABEDFA,1C3A8B718492F744F8387E2CA5318707,
SRR13440464,2021-05-01 19:31:38,2021-01-14 20:53:03,97939162,29577626924,97939162,302,8847,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440464/SRR13440464.lite.1,SRX9853879,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035339,SAMN17318219,simple,9606,Homo sapiens,GSM5022042,no,GEO,SRA1184176,public,2818C4EA4CAFCCC1126E681EEC833044,DF949BD8E168A0B784F3DC83E765C566,
SRR13440465,2021-05-01 19:31:38,2021-01-14 20:29:44,89040500,26890231000,89040500,302,8098,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13440/SRR13440465/SRR13440465.lite.1,SRX9853880,RNA-Seq,cDNA,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP301833,PRJNA692245,3,692245,SRS8035340,SAMN17318218,simple,9606,Homo sapiens,GSM5022043,no,GEO,SRA1184176,public,F3CD085DC21FB205D6D6C0B97248E1A5,928667BC83F1718C169EF469F392CD93,
