Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,download_path,Experiment,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,sample_name
SRR9141212,2019-09-11 17:34:08,2019-05-29 11:37:17,499801345,58476757365,499801345,117,17196,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141212.sralite.1,SRX5914365,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832591,SAMN11878528,simple,9606,Homo sapiens,GSM3823939,no,GEO,SRA891431,public,FF2AF6DB181116BAA0278C7ED6132FD4,052C5BB521906494D3BBB441A91A4C08,
SRR9141213,2019-09-11 17:34:08,2019-05-29 09:14:55,158972587,18599792679,158972587,117,5567,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141213.sralite.1,SRX5914366,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832592,SAMN11878527,simple,9606,Homo sapiens,GSM3823940,no,GEO,SRA891431,public,A71EF82C86D5D16515A1C168DFEB0C2E,6EC9E377AC03794A24B7B0AF1EE91E2E,
SRR9141214,2019-09-11 17:34:08,2019-05-29 09:10:08,158738074,18572354658,158738074,117,5588,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/141/SRR9141214.sralite.1,SRX5914366,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832592,SAMN11878527,simple,9606,Homo sapiens,GSM3823940,no,GEO,SRA891431,public,8545D909765791840D84905B6488D0F7,5744B17941D748D07F73A068BCF387E3,
SRR9141215,2019-09-11 17:34:09,2019-05-29 09:31:42,196536242,22994740314,196536242,117,6789,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/141/SRR9141215.sralite.1,SRX5914367,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832593,SAMN11878526,simple,9606,Homo sapiens,GSM3823941,no,GEO,SRA891431,public,AA74DE365D6EB03237928993EABD3EC9,2A0E1138FF53CACD1B607740C3322A2B,
SRR9141216,2019-09-11 17:34:09,2019-05-29 09:33:44,195075256,22823804952,195075256,117,6765,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141216.sralite.1,SRX5914367,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832593,SAMN11878526,simple,9606,Homo sapiens,GSM3823941,no,GEO,SRA891431,public,7604566113F3170FD06278AE51BA7296,6E101057B9A29B99FE8DC0CB3A8D204C,
SRR9141217,2019-09-11 17:34:09,2019-05-29 15:16:26,465324613,54442979721,465324613,117,16063,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141217.sralite.1,SRX5914368,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832594,SAMN11878525,simple,9606,Homo sapiens,GSM3823942,no,GEO,SRA891431,public,265482C701B8AAD729B2CBA8B5D2A07A,EA550A0C5C9C58802933B35C8B2D3689,
SRR9141218,2019-09-11 17:34:09,2019-05-29 09:12:50,167417778,19587880026,167417778,117,5848,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141218.sralite.1,SRX5914369,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832595,SAMN11878524,simple,9606,Homo sapiens,GSM3823943,no,GEO,SRA891431,public,867B77F06DDF2B28FB4938239023EB84,78684046552060F636E291AED0060DB5,
SRR9141219,2019-09-11 17:34:09,2019-05-29 09:15:28,167567444,19605390948,167567444,117,5884,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141219.sralite.1,SRX5914369,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832595,SAMN11878524,simple,9606,Homo sapiens,GSM3823943,no,GEO,SRA891431,public,558CD3F108644F1022D924E255051A0F,BCC4FECC70AB60458EDFBA9162BAC551,
SRR9141220,2019-09-11 17:34:09,2019-05-29 09:25:15,212010010,24805171170,212010010,117,7229,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/141/SRR9141220.sralite.1,SRX5914370,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832596,SAMN11878523,simple,9606,Homo sapiens,GSM3823944,no,GEO,SRA891431,public,385D4852E089A410B27958C299EE9D81,F643E09CFC91B68526513F48424675FD,
SRR9141221,2019-09-11 17:34:09,2019-05-29 09:36:47,210243047,24598436499,210243047,117,7196,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR009/141/SRR9141221.sralite.1,SRX5914370,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP199727,PRJNA545232,3,545232,SRS4832596,SAMN11878523,simple,9606,Homo sapiens,GSM3823944,no,GEO,SRA891431,public,0DF619994A2A5C74715CFC4EA0DD6474,8EF8A32E10BCAC1CBA6D5E671223F733,
