sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,tissue,individual_id,genome_build,biosample,sra
5358_nacc_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343852,SRX2640528,5358_NAcc_neg (ATAC-Seq),GSM2536633,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536633,NONE,"GSE96614, GSE96615",0,SRX2640528,NeuN neg,nucleus accumbens (NAcc),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603275,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640528
5347_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343853,SRX2640529,5347_BA9_neg (ATAC-Seq),GSM2536634,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536634,NONE,"GSE96614, GSE96615",0,SRX2640529,NeuN neg,prefrontal cortex (BA9),5347,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603274,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640529
5358_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343854,SRX2640530,5358_BA9_neg (ATAC-Seq),GSM2536635,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536635,NONE,"GSE96614, GSE96615",0,SRX2640530,NeuN neg,prefrontal cortex (BA9),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603273,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640530
5404_ba9_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343855,SRX2640531,5404_BA9_neg (ATAC-Seq),GSM2536636,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536636,NONE,"GSE96614, GSE96615",0,SRX2640531,NeuN neg,prefrontal cortex (BA9),5404,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603272,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640531
5347_nacc_neg_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343856,SRX2640532,5347_NAcc_neg (ATAC-Seq),GSM2536637,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN negative nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536637,NONE,"GSE96614, GSE96615",0,SRX2640532,NeuN neg,nucleus accumbens (NAcc),5347,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603271,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640532
5358_nacc_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343857,SRX2640533,5358_NAcc_pos (ATAC-Seq),GSM2536638,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536638,NONE,"GSE96614, GSE96615",0,SRX2640533,NeuN pos,nucleus accumbens (NAcc),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603270,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640533
5347_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343858,SRX2640534,5347_BA9_pos (ATAC-Seq),GSM2536639,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536639,NONE,"GSE96614, GSE96615",0,SRX2640534,NeuN pos,prefrontal cortex (BA9),5347,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603269,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640534
5358_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343859,SRX2640535,5358_BA9_pos (ATAC-Seq),GSM2536640,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536640,NONE,"GSE96614, GSE96615",0,SRX2640535,NeuN pos,prefrontal cortex (BA9),5358,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603268,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640535
5404_ba9_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343860,SRX2640536,5404_BA9_pos (ATAC-Seq),GSM2536641,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from prefrontal cortex (BA9),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536641,NONE,"GSE96614, GSE96615",0,SRX2640536,NeuN pos,prefrontal cortex (BA9),5404,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603267,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640536
5347_nacc_pos_atac-seq_,other,Homo sapiens,PAIRED,SRA,SRR5343861,SRX2640537,5347_NAcc_pos (ATAC-Seq),GSM2536642,Public on Dec 17 2018,Mar 14 2017,May 15 2019,SRA,1,NeuN positive nuclei sorted from nucleus accumbens (NAcc),Homo sapiens,9606,genomic DNA,GPL20301,"Andrew,P.,Feinberg",Johns Hopkins University School of Medicine,855 N. Wolfe St,Baltimore,MD,21205,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM2536642,NONE,"GSE96614, GSE96615",0,SRX2640537,NeuN pos,nucleus accumbens (NAcc),5347,hg19/GRCh37,https://www.ncbi.nlm.nih.gov/biosample/SAMN06603266,https://www.ncbi.nlm.nih.gov/sra?term=SRX2640537
