sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology	ba	brain_region_1	area	super_region	region
GSM2199916	GSE83345	s1_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	female	85		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199917	GSE83345	s2_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	male	64		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199918	GSE83345	s3_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	male	79		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199919	GSE83345	s4_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	male	75		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199920	GSE83345	s5_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	female	90		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199921	GSE83345	s6_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	female	90		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199922	GSE83345	s7_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	female	85		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199923	GSE83345	s8_neuronal_nuclei	Brain	Frontopolar prefrontal cortex	Neuron	male	93		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199924	GSE83345	s1_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	female	85		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199925	GSE83345	s2_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	male	64		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199926	GSE83345	s3_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	male	79		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199927	GSE83345	s4_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	male	75		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199928	GSE83345	s5_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	female	90		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199929	GSE83345	s6_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	female	90		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199930	GSE83345	s7_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	female	85		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2199931	GSE83345	s8_nonneuronal_nuclei	Brain	Frontopolar prefrontal cortex	Non-Neuron	male	93		Bulk ATAC	BA10	Frontopolar prefrontal cortex	Prefrontal Cortex	NA	Frontopolar Prefrontal Cortex
GSM2536613	GSE96613, GSE96615	5540_ba9_neg_rna-seq_	Brain	prefrontal cortex (BA9)	Non-Neuron			5540	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536614	GSE96613, GSE96615	5540_ba9_pos_rna-seq_	Brain	prefrontal cortex (BA9)	Neuron			5540	Bulk RNA	BA9	prefrontal cortex	Prefrontal Cortex	Lateral Prefrontal Cortex	Dorsolateral Prefrontal Cortex
GSM2536615	GSE96613, GSE96615	5540_nacc_neg_rna-seq_	Brain	nucleus accumbens (NAcc)	Non-Neuron			5540	Bulk RNA		nucleus accumbens	Limbic System	NA	Nucleus Accumbens
