sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_relation,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,gender,tissue,processed_data_file,genome_build,supplementary_files_format_and_content
pp_100_bulk_rna-seq_,,,,,,,PP_100 [bulk RNA-seq],GSM5363277,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 5,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606158,NONE,GSE176367,0,GSM5363277,female,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pp_102_bulk_rna-seq_,,,,,,,PP_102 [bulk RNA-seq],GSM5363278,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 6,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606157,NONE,GSE176367,0,GSM5363278,male,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pp_104_bulk_rna-seq_,,,,,,,PP_104 [bulk RNA-seq],GSM5363279,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 25,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606155,NONE,GSE176367,0,GSM5363279,female,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pp_276_bulk_rna-seq_,,,,,,,PP_276 [bulk RNA-seq],GSM5363280,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 13,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606154,NONE,GSE176367,0,GSM5363280,male,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pn_100_bulk_rna-seq_,,,,,,,PN_100 [bulk RNA-seq],GSM5363281,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 5,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606153,NONE,GSE176367,0,GSM5363281,female,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pn_102_bulk_rna-seq_,,,,,,,PN_102 [bulk RNA-seq],GSM5363282,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 6,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606152,NONE,GSE176367,0,GSM5363282,male,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pn_104_bulk_rna-seq_,,,,,,,PN_104 [bulk RNA-seq],GSM5363283,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 25,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606151,NONE,GSE176367,0,GSM5363283,female,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
pn_276_bulk_rna-seq_,,,,,,,PN_276 [bulk RNA-seq],GSM5363284,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 13,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606150,NONE,GSE176367,0,GSM5363284,male,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
nn_100_bulk_rna-seq_,,,,,,,NN_100 [bulk RNA-seq],GSM5363285,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 5,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606149,NONE,GSE176367,0,GSM5363285,female,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
nn_102_bulk_rna-seq_,,,,,,,NN_102 [bulk RNA-seq],GSM5363286,Public on Feb 17 2022,Jun 08 2021,Feb 17 2022,SRA,1,Tonsil,Homo sapiens,9606,age (y): 6,total RNA,"For bulk RNA-seq, the Takara kit SMART-seq v4 Ultra Low Input RNA was used, following the manufacturer’s instructions with slight modifications according to our sample requirements. We sorted 500 cells (=1.5ul) of the desired subsets on 13.5 µL of lysis buffer (8 µL of water and 1 ul of 10x Reaction buffer, making a total volume of 10.5 µL after sorting, following protocol’s recommendations). Subsequently, we modified the protocol by immediately adding to the mix 2 µL of 3´SMART-seq CDS Primer I ...","Pair-end reads were trimmed for low quality bases and removal of low-quality reads using ReadTools, Trimmed reads were mapped to the Homo sapiens genome (GRCh37.87 assembly) using STAR (v2.5.3a) mapper, The reads mapped in multiple genomic locations were eliminated by using Samtools (v1.4), Read counts for features (exons) were generated using the featureCounts function from the Subread package (v 1.5.3), For ATAC-seq low quality peaks such as blacklisted peaks were eliminated.",GPL18573,"Jenny,,Mjösberg",jenny.mjosberg@ki.se,Center for Infectious Medicine,Department of Medicine,Karolinska Institutet,Alfred Nobels allé 8,Huddinge,Stockholm,14152,Sweden,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19606148,NONE,GSE176367,0,GSM5363286,male,Tonsil,Gene_Raw_Count_Bulk_RNA-seq.txt,hg19,Raw gene count matrix was generated using featureCounts function from the Subread package (v 1.5.3) with Ensembl Known Gene models (version GRCh37.87) as reference annotationsATAC-seq peaks were identified by using the HOMER tool
