sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,gender,age,assembly,supplementary_files_format_and_content,biosample,sra
retina_1_hi-c,,,,,,,Retina 1 Hi-C,GSM6122972,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"Freshly dissected human retina tissue was crosslinked with 1% formaldehyde in PBS for 10 min, quenched with 125 mM glycine for 5 min and frozen until use for Hi-C experiments. Before processing for Hi-C, samples were crosslinked again in 2% formaldehyde for 10 minutes, then quenched with 125 mM glycine 5 min. For HCT116 cell line (ATCC, VA, USA), 7x106 cells were crosslinked with 2% formaldehyde for 10 min, quenched for 5 min with stop solution I, lysed, and processed for Hi-C using ARIMA-Hi-C k ...","Healthy female retina, age 75, All_merged_using_Homer.hic, MergeRetina2_Domain_Call_TADs_10kb.bed, all_merge_loops_5kb_fdr_0.01.bedpe","Hi-C analysis was performed with HiCUP (Wingett et al., 2015) using Arima-specific in silico digested hg38 genome for the retina samples and the HCT116., Filtered bam files produced by HiCUP have been converted to .hic files using Juicer (Durand et al., 2016) and to HOMER (Heinz et al., 2013; Heinz et al., 2018) tag directories., Retina Hi-C resolution has been estimated at 3.06 kb using HiCRes (Marchal et al., 2022)., Reproducibility between samples as well as correlation with Hi-C from other t ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,Hi-C,GSM6122972,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122972/suppl/GSM6122972_NDRI-005_PC1.PC1.bedGraph.gz,"GSE202471, GSE202474",0,SRX15206669,Adult Retina,female,75,hg38,Compartments for each sample in bed format.Consensus binary contact maps for use with Juicer in hic format.Consensus TAD calls in bed format.Consensus loops in bedpe format.,https://www.ncbi.nlm.nih.gov/biosample/SAMN28156539,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206669
retina_2_hi-c,,,,,,,Retina 2 Hi-C,GSM6122973,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"Freshly dissected human retina tissue was crosslinked with 1% formaldehyde in PBS for 10 min, quenched with 125 mM glycine for 5 min and frozen until use for Hi-C experiments. Before processing for Hi-C, samples were crosslinked again in 2% formaldehyde for 10 minutes, then quenched with 125 mM glycine 5 min. For HCT116 cell line (ATCC, VA, USA), 7x106 cells were crosslinked with 2% formaldehyde for 10 min, quenched for 5 min with stop solution I, lysed, and processed for Hi-C using ARIMA-Hi-C k ...","Healthy male retina, age 77, All_merged_using_Homer.hic, MergeRetina2_Domain_Call_TADs_10kb.bed, all_merge_loops_5kb_fdr_0.01.bedpe","Hi-C analysis was performed with HiCUP (Wingett et al., 2015) using Arima-specific in silico digested hg38 genome for the retina samples and the HCT116., Filtered bam files produced by HiCUP have been converted to .hic files using Juicer (Durand et al., 2016) and to HOMER (Heinz et al., 2013; Heinz et al., 2018) tag directories., Retina Hi-C resolution has been estimated at 3.06 kb using HiCRes (Marchal et al., 2022)., Reproducibility between samples as well as correlation with Hi-C from other t ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,Hi-C,GSM6122973,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122973/suppl/GSM6122973_NDRI-006_PC1.PC1.bedGraph.gz,"GSE202471, GSE202474",0,SRX15206670,Adult Retina,male,77,hg38,Compartments for each sample in bed format.Consensus binary contact maps for use with Juicer in hic format.Consensus TAD calls in bed format.Consensus loops in bedpe format.,https://www.ncbi.nlm.nih.gov/biosample/SAMN28156538,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206670
retina_3_hi-c,,,,,,,Retina 3 Hi-C,GSM6122974,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"Freshly dissected human retina tissue was crosslinked with 1% formaldehyde in PBS for 10 min, quenched with 125 mM glycine for 5 min and frozen until use for Hi-C experiments. Before processing for Hi-C, samples were crosslinked again in 2% formaldehyde for 10 minutes, then quenched with 125 mM glycine 5 min. For HCT116 cell line (ATCC, VA, USA), 7x106 cells were crosslinked with 2% formaldehyde for 10 min, quenched for 5 min with stop solution I, lysed, and processed for Hi-C using ARIMA-Hi-C k ...","Healthy male retina, age 75, All_merged_using_Homer.hic, MergeRetina2_Domain_Call_TADs_10kb.bed, all_merge_loops_5kb_fdr_0.01.bedpe","Hi-C analysis was performed with HiCUP (Wingett et al., 2015) using Arima-specific in silico digested hg38 genome for the retina samples and the HCT116., Filtered bam files produced by HiCUP have been converted to .hic files using Juicer (Durand et al., 2016) and to HOMER (Heinz et al., 2013; Heinz et al., 2018) tag directories., Retina Hi-C resolution has been estimated at 3.06 kb using HiCRes (Marchal et al., 2022)., Reproducibility between samples as well as correlation with Hi-C from other t ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,Hi-C,GSM6122974,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122974/suppl/GSM6122974_NDRI-007_PC1.PC1.bedGraph.gz,"GSE202471, GSE202474",0,SRX15206671,Adult Retina,male,75,hg38,Compartments for each sample in bed format.Consensus binary contact maps for use with Juicer in hic format.Consensus TAD calls in bed format.Consensus loops in bedpe format.,https://www.ncbi.nlm.nih.gov/biosample/SAMN28156537,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206671
retina_4_hi-c,,,,,,,Retina 4 Hi-C,GSM6122975,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"Freshly dissected human retina tissue was crosslinked with 1% formaldehyde in PBS for 10 min, quenched with 125 mM glycine for 5 min and frozen until use for Hi-C experiments. Before processing for Hi-C, samples were crosslinked again in 2% formaldehyde for 10 minutes, then quenched with 125 mM glycine 5 min. For HCT116 cell line (ATCC, VA, USA), 7x106 cells were crosslinked with 2% formaldehyde for 10 min, quenched for 5 min with stop solution I, lysed, and processed for Hi-C using ARIMA-Hi-C k ...","Healthy male retina, age 76, All_merged_using_Homer.hic, MergeRetina2_Domain_Call_TADs_10kb.bed, all_merge_loops_5kb_fdr_0.01.bedpe","Hi-C analysis was performed with HiCUP (Wingett et al., 2015) using Arima-specific in silico digested hg38 genome for the retina samples and the HCT116., Filtered bam files produced by HiCUP have been converted to .hic files using Juicer (Durand et al., 2016) and to HOMER (Heinz et al., 2013; Heinz et al., 2018) tag directories., Retina Hi-C resolution has been estimated at 3.06 kb using HiCRes (Marchal et al., 2022)., Reproducibility between samples as well as correlation with Hi-C from other t ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,Hi-C,GSM6122975,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122975/suppl/GSM6122975_NDRI-008_PC1.PC1.bedGraph.gz,"GSE202471, GSE202474",0,SRX15206672,Adult Retina,male,76,hg38,Compartments for each sample in bed format.Consensus binary contact maps for use with Juicer in hic format.Consensus TAD calls in bed format.Consensus loops in bedpe format.,https://www.ncbi.nlm.nih.gov/biosample/SAMN28156536,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206672
hct116_hi-c,,,,,,,HCT116 Hi-C,GSM6122976,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,HCT116,Homo sapiens,9606,genomic DNA,"Freshly dissected human retina tissue was crosslinked with 1% formaldehyde in PBS for 10 min, quenched with 125 mM glycine for 5 min and frozen until use for Hi-C experiments. Before processing for Hi-C, samples were crosslinked again in 2% formaldehyde for 10 minutes, then quenched with 125 mM glycine 5 min. For HCT116 cell line (ATCC, VA, USA), 7x106 cells were crosslinked with 2% formaldehyde for 10 min, quenched for 5 min with stop solution I, lysed, and processed for Hi-C using ARIMA-Hi-C k ...",,"Hi-C analysis was performed with HiCUP (Wingett et al., 2015) using Arima-specific in silico digested hg38 genome for the retina samples and the HCT116., Filtered bam files produced by HiCUP have been converted to .hic files using Juicer (Durand et al., 2016) and to HOMER (Heinz et al., 2013; Heinz et al., 2018) tag directories., Retina Hi-C resolution has been estimated at 3.06 kb using HiCRes (Marchal et al., 2022)., Reproducibility between samples as well as correlation with Hi-C from other t ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,Hi-C,GSM6122976,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122976/suppl/GSM6122976_HCT116_Arima_PC1.PC1.bedGraph.gz,"GSE202471, GSE202474",0,SRX15206673,,,,hg38,Compartments for each sample in bed format.Consensus binary contact maps for use with Juicer in hic format.Consensus TAD calls in bed format.Consensus loops in bedpe format.,https://www.ncbi.nlm.nih.gov/biosample/SAMN28156535,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206673
retina_1_atac-seq,,,,,,,Retina 1 ATAC-seq,GSM6122977,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"ATAC-seq was performed with fresh dissociated cells from five retinas. Tagmentation and library preparation were carried out as described (Buenrostro, 2015) using Nextera DNA Library Prep kit (FC-121-1030, Illumina, San Diego, CA). Dissociated cells were quantified using a hemocytometer, and 50,000 cells were tagmented in a reaction mix containing 5 µl Tn5, 25 µl TD buffer 2X, 20 µl nuclease-free water in a thermomix with 600rpm agitation. The DNA was purified using the “MinElute PCR Purificatio ...",,"ATAC-seq from five human retinas have been analyzed by trimming the reads for Nextera transposase sequence and reducing their size to maximum 25bp using cutadapt (Martin, 2011) and FASTX toolkit (FASTX-Toolkit, RRID:SCR_005534)., Trimmed reads have been mapped on hg38 using bowtie2 (Langmead & Salzberg, 2012) and filtered for quality, duplicates and blacklisted regions (ENCODE dataset ENCFF419RSJ) using samtools (Li et al., 2009)., Two sets of aligned read pairs have been produced: TN5-shifted a ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6122977,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122977/suppl/GSM6122977_AT2019-001pf_NDRI005-C_merge_trim_25b_hg38_main_rmblacklist_TN5_not_shift_srt.bam_peaks.narrowPeak.gz,"GSE202472, GSE202474",0,SRX15206572,Adult Retina,female,75,hg38,"Read coverage with TN5 shift per sample in bigwig format.Accessible peaks per sample without TN5 shift in narrowPeak formatConsensus accessible footprints observed in at least 3 samples in bed formatConsensus super-enhancers called from Cut&Run, ChIP-seq, and ATAC-seq data in bed format",https://www.ncbi.nlm.nih.gov/biosample/SAMN28156531,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206572
retina_2_atac-seq,,,,,,,Retina 2 ATAC-seq,GSM6122978,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"ATAC-seq was performed with fresh dissociated cells from five retinas. Tagmentation and library preparation were carried out as described (Buenrostro, 2015) using Nextera DNA Library Prep kit (FC-121-1030, Illumina, San Diego, CA). Dissociated cells were quantified using a hemocytometer, and 50,000 cells were tagmented in a reaction mix containing 5 µl Tn5, 25 µl TD buffer 2X, 20 µl nuclease-free water in a thermomix with 600rpm agitation. The DNA was purified using the “MinElute PCR Purificatio ...",,"ATAC-seq from five human retinas have been analyzed by trimming the reads for Nextera transposase sequence and reducing their size to maximum 25bp using cutadapt (Martin, 2011) and FASTX toolkit (FASTX-Toolkit, RRID:SCR_005534)., Trimmed reads have been mapped on hg38 using bowtie2 (Langmead & Salzberg, 2012) and filtered for quality, duplicates and blacklisted regions (ENCODE dataset ENCFF419RSJ) using samtools (Li et al., 2009)., Two sets of aligned read pairs have been produced: TN5-shifted a ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6122978,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122978/suppl/GSM6122978_AT2019-002pf_NDRI006-C_merge_trim_25b_hg38_main_rmblacklist_TN5_not_shift_srt.bam_peaks.narrowPeak.gz,"GSE202472, GSE202474",0,SRX15206573,Adult Retina,male,77,hg38,"Read coverage with TN5 shift per sample in bigwig format.Accessible peaks per sample without TN5 shift in narrowPeak formatConsensus accessible footprints observed in at least 3 samples in bed formatConsensus super-enhancers called from Cut&Run, ChIP-seq, and ATAC-seq data in bed format",https://www.ncbi.nlm.nih.gov/biosample/SAMN28156530,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206573
retina_3_atac-seq,,,,,,,Retina 3 ATAC-seq,GSM6122979,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"ATAC-seq was performed with fresh dissociated cells from five retinas. Tagmentation and library preparation were carried out as described (Buenrostro, 2015) using Nextera DNA Library Prep kit (FC-121-1030, Illumina, San Diego, CA). Dissociated cells were quantified using a hemocytometer, and 50,000 cells were tagmented in a reaction mix containing 5 µl Tn5, 25 µl TD buffer 2X, 20 µl nuclease-free water in a thermomix with 600rpm agitation. The DNA was purified using the “MinElute PCR Purificatio ...",,"ATAC-seq from five human retinas have been analyzed by trimming the reads for Nextera transposase sequence and reducing their size to maximum 25bp using cutadapt (Martin, 2011) and FASTX toolkit (FASTX-Toolkit, RRID:SCR_005534)., Trimmed reads have been mapped on hg38 using bowtie2 (Langmead & Salzberg, 2012) and filtered for quality, duplicates and blacklisted regions (ENCODE dataset ENCFF419RSJ) using samtools (Li et al., 2009)., Two sets of aligned read pairs have been produced: TN5-shifted a ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6122979,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122979/suppl/GSM6122979_AT2019-003pf_NDRI007-C_merge_trim_25b_hg38_main_rmblacklist_TN5_not_shift_srt.bam_peaks.narrowPeak.gz,"GSE202472, GSE202474",0,SRX15206574,Adult Retina,male,75,hg38,"Read coverage with TN5 shift per sample in bigwig format.Accessible peaks per sample without TN5 shift in narrowPeak formatConsensus accessible footprints observed in at least 3 samples in bed formatConsensus super-enhancers called from Cut&Run, ChIP-seq, and ATAC-seq data in bed format",https://www.ncbi.nlm.nih.gov/biosample/SAMN28156529,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206574
retina_4_atac-seq,,,,,,,Retina 4 ATAC-seq,GSM6122980,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"ATAC-seq was performed with fresh dissociated cells from five retinas. Tagmentation and library preparation were carried out as described (Buenrostro, 2015) using Nextera DNA Library Prep kit (FC-121-1030, Illumina, San Diego, CA). Dissociated cells were quantified using a hemocytometer, and 50,000 cells were tagmented in a reaction mix containing 5 µl Tn5, 25 µl TD buffer 2X, 20 µl nuclease-free water in a thermomix with 600rpm agitation. The DNA was purified using the “MinElute PCR Purificatio ...",,"ATAC-seq from five human retinas have been analyzed by trimming the reads for Nextera transposase sequence and reducing their size to maximum 25bp using cutadapt (Martin, 2011) and FASTX toolkit (FASTX-Toolkit, RRID:SCR_005534)., Trimmed reads have been mapped on hg38 using bowtie2 (Langmead & Salzberg, 2012) and filtered for quality, duplicates and blacklisted regions (ENCODE dataset ENCFF419RSJ) using samtools (Li et al., 2009)., Two sets of aligned read pairs have been produced: TN5-shifted a ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6122980,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122980/suppl/GSM6122980_AT2019-004pf_NDRI008-C_merge_trim_25b_hg38_main_rmblacklist_TN5_not_shift_srt.bam_peaks.narrowPeak.gz,"GSE202472, GSE202474",0,SRX15206575,Adult Retina,male,76,hg38,"Read coverage with TN5 shift per sample in bigwig format.Accessible peaks per sample without TN5 shift in narrowPeak formatConsensus accessible footprints observed in at least 3 samples in bed formatConsensus super-enhancers called from Cut&Run, ChIP-seq, and ATAC-seq data in bed format",https://www.ncbi.nlm.nih.gov/biosample/SAMN28156528,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206575
retina_5_atac-seq,,,,,,,Retina 5 ATAC-seq,GSM6122981,Public on Sep 09 2022,May 08 2022,Sep 09 2022,SRA,1,Adult Retina,Homo sapiens,9606,genomic DNA,"ATAC-seq was performed with fresh dissociated cells from five retinas. Tagmentation and library preparation were carried out as described (Buenrostro, 2015) using Nextera DNA Library Prep kit (FC-121-1030, Illumina, San Diego, CA). Dissociated cells were quantified using a hemocytometer, and 50,000 cells were tagmented in a reaction mix containing 5 µl Tn5, 25 µl TD buffer 2X, 20 µl nuclease-free water in a thermomix with 600rpm agitation. The DNA was purified using the “MinElute PCR Purificatio ...",,"ATAC-seq from five human retinas have been analyzed by trimming the reads for Nextera transposase sequence and reducing their size to maximum 25bp using cutadapt (Martin, 2011) and FASTX toolkit (FASTX-Toolkit, RRID:SCR_005534)., Trimmed reads have been mapped on hg38 using bowtie2 (Langmead & Salzberg, 2012) and filtered for quality, duplicates and blacklisted regions (ENCODE dataset ENCFF419RSJ) using samtools (Li et al., 2009)., Two sets of aligned read pairs have been produced: TN5-shifted a ...",GPL16791,"Zachary,A,Batz",NNRL,NEI,NIH,"6 Center Dr Bldg 6, Rm 303",Bethesda,MD,20892,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM6122981,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6122nnn/GSM6122981/suppl/GSM6122981_AT2018-001pf_NDRI001-C_merge_trim_25b_hg38_main_rmblacklist_TN5_not_shift_srt.bam_peaks.narrowPeak.gz,"GSE202472, GSE202474",0,SRX15206576,Adult Retina,female,65,hg38,"Read coverage with TN5 shift per sample in bigwig format.Accessible peaks per sample without TN5 shift in narrowPeak formatConsensus accessible footprints observed in at least 3 samples in bed formatConsensus super-enhancers called from Cut&Run, ChIP-seq, and ATAC-seq data in bed format",https://www.ncbi.nlm.nih.gov/biosample/SAMN28156527,https://www.ncbi.nlm.nih.gov/sra?term=SRX15206576
