sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,disease_state,genome_build,biosample,sra
p1_s1_ak,,,,,,,P1_S1_AK,GSM5788491,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788491,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788491/suppl/GSM5788491_S1_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684828,skin,AK II,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776760,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684828
p1_s2_normal,,,,,,,P1_S2_NORMAL,GSM5788492,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788492,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788492/suppl/GSM5788492_S2_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684827,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776759,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684827
p2_s3_ak,,,,,,,P2_S3_AK,GSM5788493,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788493,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788493/suppl/GSM5788493_S3_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684829,skin,AK II,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776758,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684829
p2_s4_sccis,,,,,,,P2_S4_SCCIS,GSM5788494,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788494,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788494/suppl/GSM5788494_S4_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684831,skin,SCCIS,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776757,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684831
p2_s5_normal,,,,,,,P2_S5_NORMAL,GSM5788495,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788495,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788495/suppl/GSM5788495_S5_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684830,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776756,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684830
p3_s6_ak,,,,,,,P3_S6_AK,GSM5788496,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788496,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788496/suppl/GSM5788496_S6_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684832,skin,AK I,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776755,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684832
p3_s7_normal,,,,,,,P3_S7_NORMAL,GSM5788497,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788497,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788497/suppl/GSM5788497_S7_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684833,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776754,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684833
p4_s8_cscc,,,,,,,P4_S8_cSCC,GSM5788498,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788498,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788498/suppl/GSM5788498_S8_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684834,skin,cSCC I,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776753,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684834
p4_s9_normal,,,,,,,P4_S9_NORMAL,GSM5788499,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788499,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788499/suppl/GSM5788499_S9_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684835,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776752,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684835
p5_s10_cscc,,,,,,,P5_S10_cSCC,GSM5788500,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788500,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788500/suppl/GSM5788500_S10_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684836,skin,cSCC III,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776751,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684836
p5_s11_normal,,,,,,,P5_S11_NORMAL,GSM5788501,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788501,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788501/suppl/GSM5788501_S11_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684837,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776750,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684837
p6_s12_cscc,,,,,,,P6_S12_cSCC,GSM5788502,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788502,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788502/suppl/GSM5788502_S12_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684838,skin,cSCC II,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776749,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684838
p6_s13_normal,,,,,,,P6_S13_NORMAL,GSM5788503,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5788503,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788503/suppl/GSM5788503_S13_filtered_feature_bc_matrix.h5,GSE193304,0,SRX13684839,skin,normal,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776748,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684839
p5_s10_cscc_atac,,,,,,,P5_S10_cSCC_ATAC,GSM5788504,Public on Jan 12 2023,Jan 09 2022,Jan 12 2023,SRA,1,skin,Homo sapiens,9606,polyA RNA,GPL24676,"Yutong,,He",heyt184663@gmail.com,sun yat-sen university,GongChangLu 66,Shenzhen,Guangdong,518107,China,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,GSM5788504,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5788nnn/GSM5788504/suppl/GSM5788504_S10_ATAC_filtered_peak_bc_matrix.h5,GSE193304,0,SRX13684840,skin,cSCC III,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN24776747,https://www.ncbi.nlm.nih.gov/sra?term=SRX13684840
