sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,tissue,region,donor,disease_status,assembly,biosample,sra
donor_1_rpe_macula_gex,,,,,,,"donor 1, RPE, macula, gex",GSM6792819,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_1_mac_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792819,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792819/suppl/GSM6792819_donor_1_macula_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792819/suppl/GSM6792819_donor_1_macula_normalized.csv.gz,GSE220155,0,SRX18501872,retinal pigment epithelium,macula,1,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061951,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501872
donor_1_rpe_peripheral_gex,,,,,,,"donor 1, RPE, peripheral, gex",GSM6792820,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_1_per_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792820,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792820/suppl/GSM6792820_donor_1_peripheral_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792820/suppl/GSM6792820_donor_1_peripheral_normalized.csv.gz,GSE220155,0,SRX18501873,retinal pigment epithelium,peripheral,1,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061950,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501873
donor_2_rpe_macula_gex,,,,,,,"donor 2, RPE, macula, gex",GSM6792821,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_2_mac_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792821,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792821/suppl/GSM6792821_donor_2_macula_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792821/suppl/GSM6792821_donor_2_macula_normalized.csv.gz,GSE220155,0,SRX18501874,retinal pigment epithelium,macula,2,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061949,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501874
donor_2_rpe_peripheral_gex,,,,,,,"donor 2, RPE, peripheral, gex",GSM6792822,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_2_per_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792822,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792822/suppl/GSM6792822_donor_2_peripheral_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792822/suppl/GSM6792822_donor_2_peripheral_normalized.csv.gz,GSE220155,0,SRX18501875,retinal pigment epithelium,peripheral,2,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061948,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501875
donor_3_rpe_macula_gex,,,,,,,"donor 3, RPE, macula, gex",GSM6792823,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_3_mac_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792823,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792823/suppl/GSM6792823_donor_3_macula_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792823/suppl/GSM6792823_donor_3_macula_normalized.csv.gz,GSE220155,0,SRX18501876,retinal pigment epithelium,macula,3,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061947,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501876
donor_3_rpe_peripheral_gex,,,,,,,"donor 3, RPE, peripheral, gex",GSM6792824,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_3_per_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792824,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792824/suppl/GSM6792824_donor_3_peripheral_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792824/suppl/GSM6792824_donor_3_peripheral_normalized.csv.gz,GSE220155,0,SRX18501877,retinal pigment epithelium,peripheral,3,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061946,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501877
donor_4_rpe_macula_gex,,,,,,,"donor 4, RPE, macula, gex",GSM6792825,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_4_mac_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792825,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792825/suppl/GSM6792825_donor_4_macula_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792825/suppl/GSM6792825_donor_4_macula_normalized.csv.gz,GSE220155,0,SRX18501878,retinal pigment epithelium,macula,4,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061945,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501878
donor_4_rpe_peripheral_gex,,,,,,,"donor 4, RPE, peripheral, gex",GSM6792826,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,total RNA,"donor_4_per_gex, Gene expression portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6792826,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792826/suppl/GSM6792826_donor_4_peripheral_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792826/suppl/GSM6792826_donor_4_peripheral_normalized.csv.gz,GSE220155,0,SRX18501879,retinal pigment epithelium,peripheral,4,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061944,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501879
donor_1_rpe_macula_atac,,,,,,,"donor 1, RPE, macula, atac",GSM6792827,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,genomic DNA,"donor_1_mac_atac, ATAC portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6792827,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792827/suppl/GSM6792827_donor_1_macula_geneactivity_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792827/suppl/GSM6792827_donor_1_macula_geneactivity_normalized.csv.gz,GSE220155,0,SRX18501880,retinal pigment epithelium,macula,1,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061943,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501880
donor_1_rpe_peripheral_atac,,,,,,,"donor 1, RPE, peripheral, atac",GSM6792828,Public on Jan 12 2023,Dec 05 2022,Jan 14 2023,SRA,1,retinal pigment epithelium,Homo sapiens,9606,genomic DNA,"donor_1_per_atac, ATAC portion of a 10X Multiome sample",GPL24676,"Nathaniel,Kevin,Mullin",University of Iowa,375 Newton Road,Iowa City,IA,52246,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6792828,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792828/suppl/GSM6792828_donor_1_peripheral_geneactivity_counts.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6792nnn/GSM6792828/suppl/GSM6792828_donor_1_peripheral_geneactivity_normalized.csv.gz,GSE220155,0,SRX18501881,retinal pigment epithelium,peripheral,1,healthy,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN32061942,https://www.ncbi.nlm.nih.gov/sra?term=SRX18501881
