sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,disease_state,age,sex,corecode,samplename,depletions,assembly,biosample,sra
sc45,10X Genomics 3PrimeV2,,,,,,SC45,GSM6598817,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598817,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598817/suppl/GSM6598817_SC45raw_feature_bc_matrix.h5,GSE214085,0,SRX17689195,lung,Normal,55,Male,2017-007-CORE,CONTROL 6,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996217,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689195
sc56,10X Genomics 3PrimeV2,,,,,,SC56,GSM6598818,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598818,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598818/suppl/GSM6598818_SC56raw_feature_bc_matrix.h5,GSE214085,0,SRX17689196,lung,Normal,57,Female,2017-025-CORE,CONTROL 7,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996216,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689196
sc87,10X Genomics 3PrimeV2,,,,,,SC87,GSM6598819,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598819,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598819/suppl/GSM6598819_SC87raw_feature_bc_matrix.h5,GSE214085,0,SRX17689197,lung,IPF,70,Female,2017-064-LT,IPF 4,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996215,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689197
sc93,10X Genomics 3PrimeV2,,,,,,SC93,GSM6598820,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598820,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598820/suppl/GSM6598820_SC93raw_feature_bc_matrix.h5,GSE214085,0,SRX17689198,lung,IPF,69,Male,2017-067-LT,IPF 5,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996214,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689198
sc94,10X Genomics 3PrimeV2,,,,,,SC94,GSM6598821,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598821,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598821/suppl/GSM6598821_SC94raw_feature_bc_matrix.h5,GSE214085,0,SRX17689199,lung,IPF,69,Male,2017-067-LT,IPF 6,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996213,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689199
sc153,10X Genomics 3PrimeV2,,,,,,SC153,GSM6598822,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598822,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598822/suppl/GSM6598822_SC153raw_feature_bc_matrix.h5,GSE214085,0,SRX17689200,lung,IPF,69,Female,2017-100-LT,IPF 7,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996212,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689200
sc154,10X Genomics 3PrimeV2,,,,,,SC154,GSM6598823,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598823,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598823/suppl/GSM6598823_SC154raw_feature_bc_matrix.h5,GSE214085,0,SRX17689201,lung,IPF,69,Female,2017-100-LT,IPF 8,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996211,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689201
sc156,10X Genomics 3PrimeV2,,,,,,SC156,GSM6598824,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598824,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598824/suppl/GSM6598824_SC156raw_feature_bc_matrix.h5,GSE214085,0,SRX17689202,lung,Normal,23,Female,2017-105-CORE,CONTROL 8,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996210,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689202
sc174,10X Genomics 3PrimeV2,,,,,,SC174,GSM6598825,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598825,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598825/suppl/GSM6598825_SC174raw_feature_bc_matrix.h5,GSE214085,0,SRX17689203,lung,IPF,67,Male,2017-126-LT,IPF 9,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996209,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689203
sc175,10X Genomics 3PrimeV2,,,,,,SC175,GSM6598826,Public on May 04 2023,Sep 23 2022,May 04 2023,SRA,1,lung,Homo sapiens,9606,polyA RNA,GPL18573,"Tracy,,Tabib",Laboratory of Robert Lafyatis,Department of Medicine,University of Pittsburgh,200 Lothrop Street,Pittsburgh,PA,15213,USA,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,GSM6598826,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6598nnn/GSM6598826/suppl/GSM6598826_SC175raw_feature_bc_matrix.h5,GSE214085,0,SRX17689204,lung,IPF,67,Male,2017-126-LT,IPF 10,None,GRCh38 for scRNA and hg19 for scATAC,https://www.ncbi.nlm.nih.gov/biosample/SAMN30996208,https://www.ncbi.nlm.nih.gov/sra?term=SRX17689204
