sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,time_point,genome_build,biosample,sra
atac-seq_mm3001_4h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007553,ATAC-Seq MM3001_4h,GSM5344320,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344320,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344320/suppl/GSM5344320_MM3001_4h.txt.gz,GSE175694,0,SRX11007553,PBMC,<4h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371523,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007553
atac-seq_mm3001_24h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007555,ATAC-Seq MM3001_24h,GSM5344321,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344321,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344321/suppl/GSM5344321_MM3001_24h.txt.gz,GSE175694,0,SRX11007555,PBMC,24h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371522,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007555
atac-seq_mm3001_72h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007556,ATAC-Seq MM3001_72h,GSM5344322,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344322,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344322/suppl/GSM5344322_MM3001_72h.txt.gz,GSE175694,0,SRX11007556,PBMC,72h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371521,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007556
atac-seq_mm3001_ctrl,other,Homo sapiens,PAIRED,SRA,multi,SRX11007557,ATAC-Seq MM3001_Ctrl,GSM5344323,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344323,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344323/suppl/GSM5344323_MM3001_Ctrl.txt.gz,GSE175694,0,SRX11007557,PBMC,Ctrl,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371520,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007557
atac-seq_mm3008_4h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007558,ATAC-Seq MM3008_4h,GSM5344324,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344324,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344324/suppl/GSM5344324_MM3008_4h.txt.gz,GSE175694,0,SRX11007558,PBMC,<4h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371519,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007558
atac-seq_mm3008_24h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007559,ATAC-Seq MM3008_24h,GSM5344325,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344325,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344325/suppl/GSM5344325_MM3008_24h.txt.gz,GSE175694,0,SRX11007559,PBMC,24h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371518,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007559
atac-seq_mm3008_72h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007560,ATAC-Seq MM3008_72h,GSM5344326,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344326,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344326/suppl/GSM5344326_MM3008_72h.txt.gz,GSE175694,0,SRX11007560,PBMC,72h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371517,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007560
atac-seq_mm3008_ctrl,other,Homo sapiens,PAIRED,SRA,multi,SRX11007561,ATAC-Seq MM3008_Ctrl,GSM5344327,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344327,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344327/suppl/GSM5344327_MM3008_Ctrl.txt.gz,GSE175694,0,SRX11007561,PBMC,Ctrl,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371516,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007561
atac-seq_mm3016_4h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007562,ATAC-Seq MM3016_4h,GSM5344328,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344328,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344328/suppl/GSM5344328_MM3016_4h.txt.gz,GSE175694,0,SRX11007562,PBMC,<4h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371515,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007562
atac-seq_mm3016_24h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007563,ATAC-Seq MM3016_24h,GSM5344329,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344329,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344329/suppl/GSM5344329_MM3016_24h.txt.gz,GSE175694,0,SRX11007563,PBMC,24h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371514,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007563
atac-seq_mm3016_72h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007564,ATAC-Seq MM3016_72h,GSM5344330,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344330,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344330/suppl/GSM5344330_MM3016_72h.txt.gz,GSE175694,0,SRX11007564,PBMC,72h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371513,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007564
atac-seq_mm3016_ctrl,other,Homo sapiens,PAIRED,SRA,multi,SRX11007565,ATAC-Seq MM3016_Ctrl,GSM5344331,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344331,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344331/suppl/GSM5344331_MM3016_Ctrl.txt.gz,GSE175694,0,SRX11007565,PBMC,Ctrl,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371512,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007565
atac-seq_mm3038_4h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007566,ATAC-Seq MM3038_4h,GSM5344332,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344332,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344332/suppl/GSM5344332_MM3038_4h.txt.gz,GSE175694,0,SRX11007566,PBMC,<4h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371511,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007566
atac-seq_mm3038_24h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007567,ATAC-Seq MM3038_24h,GSM5344333,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344333,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344333/suppl/GSM5344333_MM3038_24h.txt.gz,GSE175694,0,SRX11007567,PBMC,24h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371510,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007567
atac-seq_mm3038_72h,other,Homo sapiens,PAIRED,SRA,multi,SRX11007568,ATAC-Seq MM3038_72h,GSM5344334,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344334,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344334/suppl/GSM5344334_MM3038_72h.txt.gz,GSE175694,0,SRX11007568,PBMC,72h,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371509,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007568
atac-seq_mm3038_ctrl,other,Homo sapiens,PAIRED,SRA,multi,SRX11007569,ATAC-Seq MM3038_Ctrl,GSM5344335,Public on Feb 03 2022,May 27 2021,Feb 04 2022,SRA,1,PBMC,Homo sapiens,9606,N/A,N/A,genomic DNA,GPL24676,"Timothy,,Billiar",Surgery,University of Pittsburgh,200 Lothrop Street,Pittsburgh,Pennsylvania,15213,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5344335,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5344nnn/GSM5344335/suppl/GSM5344335_MM3038_Ctrl.txt.gz,GSE175694,0,SRX11007569,PBMC,Ctrl,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN19371508,https://www.ncbi.nlm.nih.gov/sra?term=SRX11007569
