sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,assembly,biosample,sra
donor_aged1_bmmcs_mrna-derived_cdna_sample_10,,,,,,,"Donor Aged1, BMMCs, mRNA-derived cDNA, sample 10",GSM6764995,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 10): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6764995,NONE,"GSE219014, GSE219015",0,SRX18416354,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929710,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416354
donor_aged1_bmmcs_atac_sample_10,,,,,,,"Donor Aged1, BMMCs, ATAC, sample 10",GSM6764996,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 10): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6764996,NONE,"GSE219014, GSE219015",0,SRX18416355,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929709,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416355
donor_aged1_bmmcs_mitochondrial_dna__sample_10,,,,,,,"Donor Aged1, BMMCs, mitochondrial DNA , sample 10",GSM6764997,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 10): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6764997,NONE,"GSE219014, GSE219015",0,SRX18416356,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929708,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416356
donor_aged1_hspc_or_cd34_enriched_cells_from_bmmc_mrna-derived_cdna_sample_11,,,,,,,"Donor Aged1, HSPC or CD34 enriched cells from BMMC, mRNA-derived cDNA, sample 11",GSM6764998,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 11): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6764998,NONE,"GSE219014, GSE219015",0,SRX18416357,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929707,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416357
donor_aged1_hspc_or_cd34_enriched_cells_from_bmmc_atac_sample_11,,,,,,,"Donor Aged1, HSPC or CD34 enriched cells from BMMC, ATAC, sample 11",GSM6764999,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 11): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6764999,NONE,"GSE219014, GSE219015",0,SRX18416358,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929706,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416358
donor_aged1_hspc_or_cd34_enriched_cells_from_bmmc_mitochondrial_dna_sample_11,,,,,,,"Donor Aged1, HSPC or CD34 enriched cells from BMMC, mitochondrial DNA, sample 11",GSM6765000,Public on Nov 18 2023,Nov 29 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 11): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6765000,NONE,"GSE219014, GSE219015",0,SRX18416359,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929705,https://www.ncbi.nlm.nih.gov/sra?term=SRX18416359
donor_aged2_bmmcs_mrna-derived_cdna_sample_12,,,,,,,"Donor Aged2, BMMCs, mRNA-derived cDNA, sample 12",GSM6766855,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 12): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6766855,NONE,"GSE219015, GSE219057",0,SRX18431000,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944024,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431000
donor_aged2_bmmcs_atac_sample_12,,,,,,,"Donor Aged2, BMMCs, ATAC, sample 12",GSM6766856,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 12): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6766856,NONE,"GSE219015, GSE219057",0,SRX18431001,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944023,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431001
donor_aged2_bmmcs_mitochondrial_dna__sample_12,,,,,,,"Donor Aged2, BMMCs, mitochondrial DNA , sample 12",GSM6766857,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 12): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6766857,NONE,"GSE219015, GSE219057",0,SRX18431002,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944022,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431002
donor_aged2_hspc_or_cd34_enriched_cells_from_bmmc_mrna-derived_cdna_sample_13,,,,,,,"Donor Aged2, HSPC or CD34 enriched cells from BMMC, mRNA-derived cDNA, sample 13",GSM6766858,Public on Nov 18 2023,Nov 30 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 13): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6766858,NONE,"GSE219015, GSE219057",0,SRX18431003,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31944021,https://www.ncbi.nlm.nih.gov/sra?term=SRX18431003
