sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,diagnosis,genome_build,supplementary_files_format_and_content,biosample,sra
sample_1,other,Homo sapiens,PAIRED,SRA,SRR8858742,SRX5646257,Sample 1,GSM3712139,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712139,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712139/suppl/GSM3712139_168.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646257,pancreatic islets,Diabetic,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349891,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646257
sample_2,other,Homo sapiens,PAIRED,SRA,SRR8858743,SRX5646258,Sample 2,GSM3712140,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712140,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712140/suppl/GSM3712140_174.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646258,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349890,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646258
sample_3,other,Homo sapiens,PAIRED,SRA,SRR8858744,SRX5646259,Sample 3,GSM3712141,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712141,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712141/suppl/GSM3712141_180.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646259,pancreatic islets,Diabetic,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349894,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646259
sample_4,other,Homo sapiens,PAIRED,SRA,SRR8858745,SRX5646260,Sample 4,GSM3712142,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712142,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712142/suppl/GSM3712142_186.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646260,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349892,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646260
sample_5,other,Homo sapiens,PAIRED,SRA,SRR8858746,SRX5646261,Sample 5,GSM3712143,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712143,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712143/suppl/GSM3712143_202.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646261,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349893,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646261
sample_6,other,Homo sapiens,PAIRED,SRA,SRR8858747,SRX5646262,Sample 6,GSM3712144,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712144,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712144/suppl/GSM3712144_209.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646262,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349886,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646262
sample_7,other,Homo sapiens,PAIRED,SRA,SRR8858748,SRX5646263,Sample 7,GSM3712145,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712145,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712145/suppl/GSM3712145_210.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646263,pancreatic islets,Diabetic,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349885,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646263
sample_8,other,Homo sapiens,PAIRED,SRA,SRR8858749,SRX5646264,Sample 8,GSM3712146,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712146,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712146/suppl/GSM3712146_211.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646264,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349884,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646264
sample_9,other,Homo sapiens,PAIRED,SRA,SRR8858750,SRX5646265,Sample 9,GSM3712147,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712147,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712147/suppl/GSM3712147_212.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646265,pancreatic islets,Diabetic,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349883,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646265
sample_10,other,Homo sapiens,PAIRED,SRA,multi,SRX5646266,Sample 10,GSM3712148,Public on Apr 06 2019,Apr 05 2019,Apr 06 2019,SRA,1,Human islets,Homo sapiens,9606,genomic DNA,GPL16791,"Charlotte,,Ling",Epigenetics & Diabetes,Department of Clinical Sciences,Lund University,"Jan Waldenströms gata, 35",Malmö,20502,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3712148,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3712nnn/GSM3712148/suppl/GSM3712148_213.sort.merge.dup.filter.offset.99_control_lambda.bedgraph.gz,GSE129383,0,SRX5646266,pancreatic islets,Healthy,GRCh37/hg19,bedGraph,https://www.ncbi.nlm.nih.gov/biosample/SAMN11349889,https://www.ncbi.nlm.nih.gov/sra?term=SRX5646266
