sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_relation,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,idh_mutation,sample_id,genome_build,supplementary_files_format_and_content
gbm4_idhwt_snatac,snATAC,,,,,,GBM4_IDHWT_snATAC,GSM5024962,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen tumor tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374030,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024962/suppl/GSM5024962_GBM4_IDHWT_snATAC.rds.gz,GSE165037,0,GSM5024962,glioblastoma,IDH WT,GBM4,hg38,RDS
gbm9_idhwt_snatac,snATAC,,,,,,GBM9_IDHWT_snATAC,GSM5024963,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen tumor tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374029,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024963/suppl/GSM5024963_GBM9_IDHWT_snATAC.rds.gz,GSE165037,0,GSM5024963,glioblastoma,IDH WT,GBM9,hg38,RDS
gbm12_idhwt_snatac,snATAC,,,,,,GBM12_IDHWT_snATAC,GSM5024964,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen tumor tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374028,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024964/suppl/GSM5024964_GBM12_IDHWT_snATAC.rds.gz,GSE165037,0,GSM5024964,glioblastoma,IDH WT,GBM12,hg38,RDS
gbm1_idhmt_snatac,snATAC,,,,,,GBM1_IDHMT_snATAC,GSM5024965,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen tumor tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374027,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024965/suppl/GSM5024965_GBM1_IDHMT_snATAC.rds.gz,GSE165037,0,GSM5024965,glioblastoma,IDH1 MT,GBM1,hg38,RDS
gbm11_idhmt_snatac,snATAC,,,,,,GBM11_IDHMT_snATAC,GSM5024966,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen tumor tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374026,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024966/suppl/GSM5024966_GBM11_IDHMT_snATAC.rds.gz,GSE165037,0,GSM5024966,glioblastoma,IDH1 MT,GBM11,hg38,RDS
non_tumor_brain_snatac,snATAC,,,,,,Non_tumor_brain_snATAC,GSM5024967,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from ground frozen brain tissue and permeabilized using NPB (5% BSA, 0.2% IGEPAL-CA630, cOmplete Protease Inhibitors, 1 mM DTT in PBS)., Nuclei were tagmented with Tn5 in 96 wells to introduce a first barcode. After pooling, 20-25 nuclei were sorted into 768 wells and a second barcode was introduced by PCR. Libraries were purified and sequenced on a HiSeq2500, HiSeq4000 or NextSeq500 (Illumina).",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374025,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024967/suppl/GSM5024967_Non_tumor_snATAC.rds.gz,GSE165037,0,GSM5024967,brain,IDH WT,Non-tumor,hg38,RDS
gbm4_idhwt_snrna,snRNA,,,,,,GBM4_IDHWT_snRNA,GSM5024968,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,total RNA,"Ground frozen tumor tissue was resuspended in nuclei buffer (2% BSA, 0.2% Triton-X,  cOmplete Protease Inhibitors (Roche), 1 mM DTT, 0.2 U/µl RNAsin (Promega) in PBS). After spind down, nuclei were resuspnded in sort buffer, filtered and sorted using a SH800 sorter (Sony)., Nuclei were loaded on a 10x Chromium controller and libraries were generated using the Chromium™ Single Cell 3’ v2 Library kit (10x Genomics) according to manufacturer descriptions and sequenced on a Hiseq4000 or NextSeq500 ( ...",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374024,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024968/suppl/GSM5024968_GBM4_IDHWT_snRNA.rds.gz,GSE165037,0,GSM5024968,glioblastoma,IDH WT,GBM4,hg38,RDS
gbm9_idhwt_snrna,snRNA,,,,,,GBM9_IDHWT_snRNA,GSM5024969,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,total RNA,"Ground frozen tumor tissue was resuspended in nuclei buffer (2% BSA, 0.2% Triton-X,  cOmplete Protease Inhibitors (Roche), 1 mM DTT, 0.2 U/µl RNAsin (Promega) in PBS). After spind down, nuclei were resuspnded in sort buffer, filtered and sorted using a SH800 sorter (Sony)., Nuclei were loaded on a 10x Chromium controller and libraries were generated using the Chromium™ Single Cell 3’ v2 Library kit (10x Genomics) according to manufacturer descriptions and sequenced on a Hiseq4000 or NextSeq500 ( ...",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374023,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024969/suppl/GSM5024969_GBM9_IDHWT_snRNA.rds.gz,GSE165037,0,GSM5024969,glioblastoma,IDH WT,GBM9,hg38,RDS
gbm12_idhwt_snrna,snRNA,,,,,,GBM12_IDHWT_snRNA,GSM5024970,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,total RNA,"Ground frozen tumor tissue was resuspended in nuclei buffer (2% BSA, 0.2% Triton-X,  cOmplete Protease Inhibitors (Roche), 1 mM DTT, 0.2 U/µl RNAsin (Promega) in PBS). After spind down, nuclei were resuspnded in sort buffer, filtered and sorted using a SH800 sorter (Sony)., Nuclei were loaded on a 10x Chromium controller and libraries were generated using the Chromium™ Single Cell 3’ v2 Library kit (10x Genomics) according to manufacturer descriptions and sequenced on a Hiseq4000 or NextSeq500 ( ...",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374022,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024970/suppl/GSM5024970_GBM12_IDHWT_snRNA.rds.gz,GSE165037,0,GSM5024970,glioblastoma,IDH WT,GBM12,hg38,RDS
gbm1_idhmt_snrna,snRNA,,,,,,GBM1_IDHMT_snRNA,GSM5024971,Public on Jan 19 2021,Jan 18 2021,Jan 19 2021,SRA,1,glioblastoma,Homo sapiens,9606,total RNA,"Ground frozen tumor tissue was resuspended in nuclei buffer (2% BSA, 0.2% Triton-X,  cOmplete Protease Inhibitors (Roche), 1 mM DTT, 0.2 U/µl RNAsin (Promega) in PBS). After spind down, nuclei were resuspnded in sort buffer, filtered and sorted using a SH800 sorter (Sony)., Nuclei were loaded on a 10x Chromium controller and libraries were generated using the Chromium™ Single Cell 3’ v2 Library kit (10x Genomics) according to manufacturer descriptions and sequenced on a Hiseq4000 or NextSeq500 ( ...",GPL20301,"Ramya,,Raviram",rraviram@ucsd.edu,Ren lab,University of California San Diego,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17374021,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5024nnn/GSM5024971/suppl/GSM5024971_GBM1_IDHMT_snRNA.rds.gz,GSE165037,0,GSM5024971,glioblastoma,IDH1 MT,GBM1,hg38,RDS
