sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,donor,cell_type,time,assembly,supplementary_files_format_and_content,biosample,sra
day0bc_a_atac-seq_,,,,,,,Day0BC_A (ATAC-seq),GSM6764942,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764942,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764942/suppl/GSM6764942_Day0BC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415955,Peripheral blood,A,B-cell,Day0,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929512,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415955
day0bc_b_atac-seq_,,,,,,,Day0BC_B (ATAC-seq),GSM6764943,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764943,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764943/suppl/GSM6764943_Day0BC_B.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415956,Peripheral blood,B,B-cell,Day0,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929511,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415956
day0bc_c_atac-seq_,,,,,,,Day0BC_C (ATAC-seq),GSM6764944,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764944,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764944/suppl/GSM6764944_Day0BC_C.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415957,Peripheral blood,C,B-cell,Day0,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929510,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415957
day0-30min-bc_a_atac-seq_,,,,,,,Day0-30min-BC_A (ATAC-seq),GSM6764945,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764945,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764945/suppl/GSM6764945_Day0-30min-BC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415958,Peripheral blood,A,B-cell,Day0-30min,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929509,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415958
day0-30min-bc_b_atac-seq_,,,,,,,Day0-30min-BC_B (ATAC-seq),GSM6764946,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764946,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764946/suppl/GSM6764946_Day0-30min-BC_B.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415959,Peripheral blood,B,B-cell,Day0-30min,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929508,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415959
day0-2h30-bc_a_atac-seq_,,,,,,,Day0-2h30-BC_A (ATAC-seq),GSM6764947,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764947,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764947/suppl/GSM6764947_Day0-2h30-BC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415960,Peripheral blood,A,B-cell,Day0-2h30,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929507,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415960
day0-2h30-bc_b_atac-seq_,,,,,,,Day0-2h30-BC_B (ATAC-seq),GSM6764948,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764948,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764948/suppl/GSM6764948_Day0-2h30-BC_B.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415961,Peripheral blood,B,B-cell,Day0-2h30,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929506,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415961
day0-12h-bc_a_atac-seq_,,,,,,,Day0-12h-BC_A (ATAC-seq),GSM6764949,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764949,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764949/suppl/GSM6764949_Day0-12h-BC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415962,Peripheral blood,A,B-cell,Day0-12h,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929505,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415962
day0-12h-bc_b_atac-seq_,,,,,,,Day0-12h-BC_B (ATAC-seq),GSM6764950,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764950,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764950/suppl/GSM6764950_Day0-12h-BC_B.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415963,Peripheral blood,B,B-cell,Day0-12h,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929504,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415963
day1bc_a_atac-seq_,,,,,,,Day1BC_A (ATAC-seq),GSM6764951,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well)., ATAC-seq was performed according to the protocol described by Buenrostro et al. Cells were harvested at indicated time points with 50,000 cells used per time point. Cells washed once with 50 μL of cold 1x PBS buffer were resuspend in 50 μL of cold lysis buffer (10 mM  ...",genomic DNA,"Immediately following transposition, DNA was purified using a Qiagen MinElute Kit with elution into 10mM Tris buffer, pH 8., Initial amplification of transposed fragments was performed using customized Nextera PCR Primer 1* and  customized Nextera PCR Primer 2* with  NEBNext High-Fidelity PCR mix (New England Labs Cat #M0541) with 8-14 (median 12) cycles of amplification. Amplification was monitored using qPCR and Bioanalyser (Bioanalyzer High Sensitivity DNA kit). Amplified libraries were clean ...","ATAC-seq FASTQ files were first quality checked with FastQC. Trim Galore was then used with default settings to remove Illumina sequencing adaptors and low quality reads (Q < 20).  Trimmed, paired ATAC-seq reads were aligned to the human genome (NCBI GRCh38 decoy version) using bowtie2 (--very-sensitive). Post-alignment, low-quality mappings (MAPQ < 20) were filtered out with Samtools and duplicates were removed with Picard tools. Bedtools was used to filter out ENCODE and mitochondrial blacklis ...",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM6764951,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6764nnn/GSM6764951/suppl/GSM6764951_Day1BC_A.narrowPeak.gz,"GSE219009, GSE219012",0,SRX18415964,Peripheral blood,A,B-cell,Day1,NCBI GRCh38 decoy version,MACS2 narrowPeak,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929503,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415964
