sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,days_in_culture,clinical_state,genome_build,biosample,sra
fresh_human_sat_cell_rep1,other,Homo sapiens,PAIRED,SRA,SRR13518716,SRX9929764,fresh_human_sat_cell_rep1,GSM5033002,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,vastus lateralis muscle,Homo sapiens,9606,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d12_human_ATACseq.xlsx",GPL16791,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033002,NONE,GSE165414,0,SRX9929764,skeletal muscle,freshly-isolated satellite cells,0,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526520,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929764
fresh_human_sat_cell_rep2,other,Homo sapiens,PAIRED,SRA,SRR13518717,SRX9929765,fresh_human_sat_cell_rep2,GSM5033003,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,vastus lateralis muscle,Homo sapiens,9606,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d12_human_ATACseq.xlsx",GPL16791,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033003,NONE,GSE165414,0,SRX9929765,skeletal muscle,freshly-isolated satellite cells,0,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526519,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929765
12day_cultured_human_myoblasts_rep1,other,Homo sapiens,PAIRED,SRA,SRR13518719,SRX9929766,12day_cultured_human_myoblasts_rep1,GSM5033004,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,vastus lateralis muscle,Homo sapiens,9606,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d12_human_ATACseq.xlsx",GPL16791,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033004,NONE,GSE165414,0,SRX9929766,skeletal muscle,in vitro cultured muscle cells,12,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526518,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929766
12day_cultured_human_myoblasts_rep2,other,Homo sapiens,PAIRED,SRA,SRR13518720,SRX9929767,12day_cultured_human_myoblasts_rep2,GSM5033005,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,vastus lateralis muscle,Homo sapiens,9606,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d12_human_ATACseq.xlsx",GPL16791,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033005,NONE,GSE165414,0,SRX9929767,skeletal muscle,in vitro cultured muscle cells,12,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526517,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929767
12day_cultured_human_myoblasts_rep3,other,Homo sapiens,PAIRED,SRA,SRR13518721,SRX9929768,12day_cultured_human_myoblasts_rep3,GSM5033006,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,vastus lateralis muscle,Homo sapiens,9606,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d12_human_ATACseq.xlsx",GPL16791,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033006,NONE,GSE165414,0,SRX9929768,skeletal muscle,in vitro cultured muscle cells,12,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526516,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929768
fresh_mouse_sat_cell_rep3,other,Mus musculus,PAIRED,SRA,SRR13518722,SRX9929769,fresh_mouse_sat_cell_rep3,GSM5033007,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,whole hindlimb,Mus musculus,10090,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d4_d10_mouse_ATACseq.xlsx",GPL17021,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033007,NONE,GSE165414,0,SRX9929769,skeletal muscle,freshly-isolated satellite cells,0,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526515,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929769
4day_cultured_mouse_myoblasts_rep1,other,Mus musculus,PAIRED,SRA,SRR13518723,SRX9929770,4day_cultured_mouse_myoblasts_rep1,GSM5033008,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,whole hindlimb,Mus musculus,10090,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d4_d10_mouse_ATACseq.xlsx",GPL17021,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033008,NONE,GSE165414,0,SRX9929770,skeletal muscle,in vitro cultured muscle cells,4,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526514,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929770
4day_cultured_mouse_myoblasts_rep2,other,Mus musculus,PAIRED,SRA,SRR13518724,SRX9929771,4day_cultured_mouse_myoblasts_rep2,GSM5033009,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,whole hindlimb,Mus musculus,10090,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d4_d10_mouse_ATACseq.xlsx",GPL17021,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033009,NONE,GSE165414,0,SRX9929771,skeletal muscle,in vitro cultured muscle cells,4,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526513,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929771
10day_cultured_mouse_myoblasts_rep1,other,Mus musculus,PAIRED,SRA,SRR13518725,SRX9929772,10day_cultured_mouse_myoblasts_rep1,GSM5033010,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,whole hindlimb,Mus musculus,10090,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d4_d10_mouse_ATACseq.xlsx",GPL17021,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033010,NONE,GSE165414,0,SRX9929772,skeletal muscle,in vitro cultured muscle cells,10,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526512,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929772
10day_cultured_mouse_myoblasts_rep2,other,Mus musculus,PAIRED,SRA,SRR13518726,SRX9929773,10day_cultured_mouse_myoblasts_rep2,GSM5033011,Public on Aug 20 2021,Jan 25 2021,Aug 20 2021,SRA,1,whole hindlimb,Mus musculus,10090,genomic DNA,"Tn5-transposed chromatin, results_d0_vs_d4_d10_mouse_ATACseq.xlsx",GPL17021,"Alessandro,,Magli",alemagli@gmail.com,Medicine,University of Minnesota,2231 6th St SE,Minneapolis,MN,55455,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM5033011,NONE,GSE165414,0,SRX9929773,skeletal muscle,in vitro cultured muscle cells,10,healthy muscle,hg38mm10,https://www.ncbi.nlm.nih.gov/biosample/SAMN17526511,https://www.ncbi.nlm.nih.gov/sra?term=SRX9929773
