sample_name,SRX,SRR
livertissue_atac-seq_sample365b,SRX9853122,SRR13439625
livertissue_atac-seq_sample365b,SRX9853122,SRR13439626
livertissue_atac-seq_sample365b,SRX9853122,SRR13439627
livertissue_atac-seq_sample469,SRX9853123,SRR13439628
livertissue_atac-seq_sample469,SRX9853123,SRR13439629
livertissue_atac-seq_sample469,SRX9853123,SRR13439630
livertissue_atac-seq_sample786,SRX9853104,SRR13439631
livertissue_atac-seq_sample786,SRX9853104,SRR13439632
livertissue_atac-seq_sample786,SRX9853104,SRR13439633
livertissue_atac-seq_sample684b,SRX9853105,SRR13439634
livertissue_atac-seq_sample684b,SRX9853105,SRR13439635
livertissue_atac-seq_sample684b,SRX9853105,SRR13439636
livertissue_atac-seq_sample794,SRX9853106,SRR13439637
livertissue_atac-seq_sample794,SRX9853106,SRR13439638
livertissue_atac-seq_sample794,SRX9853106,SRR13439639
livertissue_atac-seq_sample795,SRX9853107,SRR13439640
livertissue_atac-seq_sample795,SRX9853107,SRR13439641
livertissue_atac-seq_sample795,SRX9853107,SRR13439642
livertissue_atac-seq_sample753,SRX9853108,SRR13439643
livertissue_atac-seq_sample753,SRX9853108,SRR13439644
livertissue_atac-seq_sample753,SRX9853108,SRR13439645
livertissue_atac-seq_sample670b,SRX9853109,SRR13439646
livertissue_atac-seq_sample670b,SRX9853109,SRR13439647
livertissue_atac-seq_sample670b,SRX9853109,SRR13439648
livertissue_atac-seq_sample651,SRX9853110,SRR13439649
livertissue_atac-seq_sample651,SRX9853110,SRR13439650
livertissue_atac-seq_sample651,SRX9853110,SRR13439651
livertissue_atac-seq_sample683,SRX9853111,SRR13439652
livertissue_atac-seq_sample683,SRX9853111,SRR13439653
livertissue_atac-seq_sample683,SRX9853111,SRR13439654
livertissue_atac-seq_sample662,SRX9853112,SRR13439655
livertissue_atac-seq_sample662,SRX9853112,SRR13439656
livertissue_atac-seq_sample662,SRX9853112,SRR13439657
livertissue_atac-seq_sample767,SRX9853113,SRR13439658
livertissue_atac-seq_sample767,SRX9853113,SRR13439659
livertissue_atac-seq_sample767,SRX9853113,SRR13439660
livertissue_atac-seq_sample348,SRX9853114,SRR13439661
livertissue_atac-seq_sample348,SRX9853114,SRR13439662
livertissue_atac-seq_sample348,SRX9853114,SRR13439663
livertissue_atac-seq_sample348,SRX9853114,SRR13439664
livertissue_atac-seq_sample348,SRX9853114,SRR13439665
livertissue_atac-seq_sample348,SRX9853114,SRR13439666
livertissue_atac-seq_sample438,SRX9853115,SRR13439667
livertissue_atac-seq_sample438,SRX9853115,SRR13439668
livertissue_atac-seq_sample438,SRX9853115,SRR13439669
livertissue_atac-seq_sample438,SRX9853115,SRR13439670
livertissue_atac-seq_sample438,SRX9853115,SRR13439671
livertissue_atac-seq_sample438,SRX9853115,SRR13439672
livertissue_atac-seq_sample459,SRX9853116,SRR13439673
livertissue_atac-seq_sample459,SRX9853116,SRR13439674
livertissue_atac-seq_sample459,SRX9853116,SRR13439675
livertissue_atac-seq_sample459,SRX9853116,SRR13439676
livertissue_atac-seq_sample459,SRX9853116,SRR13439677
livertissue_atac-seq_sample459,SRX9853116,SRR13439678
livertissue_atac-seq_sample485,SRX9853117,SRR13439679
livertissue_atac-seq_sample485,SRX9853117,SRR13439680
livertissue_atac-seq_sample485,SRX9853117,SRR13439681
livertissue_atac-seq_sample485,SRX9853117,SRR13439682
livertissue_atac-seq_sample485,SRX9853117,SRR13439683
livertissue_atac-seq_sample485,SRX9853117,SRR13439684
livertissue_atac-seq_sample713,SRX9853118,SRR13439685
livertissue_atac-seq_sample713,SRX9853118,SRR13439686
livertissue_atac-seq_sample713,SRX9853118,SRR13439687
livertissue_atac-seq_sample713,SRX9853118,SRR13439688
livertissue_atac-seq_sample713,SRX9853118,SRR13439689
livertissue_atac-seq_sample713,SRX9853118,SRR13439690
livertissue_atac-seq_sample715,SRX9853119,SRR13439691
livertissue_atac-seq_sample715,SRX9853119,SRR13439692
livertissue_atac-seq_sample715,SRX9853119,SRR13439693
livertissue_atac-seq_sample715,SRX9853119,SRR13439694
livertissue_atac-seq_sample715,SRX9853119,SRR13439695
livertissue_atac-seq_sample715,SRX9853119,SRR13439696
livertissue_atac-seq_sample793,SRX9853120,SRR13439697
livertissue_atac-seq_sample793,SRX9853120,SRR13439698
livertissue_atac-seq_sample793,SRX9853120,SRR13439699
livertissue_atac-seq_sample793,SRX9853120,SRR13439700
livertissue_atac-seq_sample793,SRX9853120,SRR13439701
livertissue_atac-seq_sample793,SRX9853120,SRR13439702
livertissue_atac-seq_sample797,SRX9853121,SRR13439703
livertissue_atac-seq_sample797,SRX9853121,SRR13439704
livertissue_atac-seq_sample797,SRX9853121,SRR13439705
livertissue_atac-seq_sample797,SRX9853121,SRR13439706
livertissue_atac-seq_sample797,SRX9853121,SRR13439707
livertissue_atac-seq_sample797,SRX9853121,SRR13439708
