sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,genome_build,supplementary_files_format_and_content,biosample,sra
tonsil_1a_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592261,SRX9986854,Tonsil_1a_scRNA_seq,GSM5051493,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051493,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051493/suppl/GSM5051493_Tonsil_1a_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986854,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715037,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986854
tonsil_1b_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592262,SRX9986855,Tonsil_1b_scRNA_seq,GSM5051494,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051494,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051494/suppl/GSM5051494_Tonsil_1b_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986855,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715052,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986855
tonsil_2a_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592263,SRX9986856,Tonsil_2a_scRNA_seq,GSM5051495,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051495,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051495/suppl/GSM5051495_Tonsil_2a_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986856,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715051,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986856
tonsil_2b_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592264,SRX9986857,Tonsil_2b_scRNA_seq,GSM5051496,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051496,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051496/suppl/GSM5051496_Tonsil_2b_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986857,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715050,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986857
tonsil_3a_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592265,SRX9986858,Tonsil_3a_scRNA_seq,GSM5051497,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051497,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051497/suppl/GSM5051497_Tonsil_3a_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986858,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715049,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986858
tonsil_3b_scrna_seq,cDNA,Homo sapiens,PAIRED,SRA,SRR13592266,SRX9986859,Tonsil_3b_scRNA_seq,GSM5051498,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scRNA-seq,Homo sapiens,9606,total RNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5051498,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051498/suppl/GSM5051498_Tonsil_3b_scRNA_seq_raw_feature_bc_matrix_mtx.tsv.tar.gz,GSE165860,0,SRX9986859,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715048,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986859
tonsil_1a_scatc_seq,other,Homo sapiens,PAIRED,SRA,SRR13592267,SRX9986860,Tonsil_1a_scATC_seq,GSM5051499,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scATAC-seq,Homo sapiens,9606,genomic DNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5051499,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051499/suppl/GSM5051499_Tonsil_1a_scATC_seq_fragments.tsv.gz,GSE165860,0,SRX9986860,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715047,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986860
tonsil_1b_scatc_seq,other,Homo sapiens,PAIRED,SRA,SRR13592268,SRX9986861,Tonsil_1b_scATC_seq,GSM5051500,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scATAC-seq,Homo sapiens,9606,genomic DNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5051500,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051500/suppl/GSM5051500_Tonsil_1b_scATC_seq_fragments.tsv.gz,GSE165860,0,SRX9986861,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715046,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986861
tonsil_2a_scatc_seq,other,Homo sapiens,PAIRED,SRA,SRR13592269,SRX9986862,Tonsil_2a_scATC_seq,GSM5051501,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scATAC-seq,Homo sapiens,9606,genomic DNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5051501,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051501/suppl/GSM5051501_Tonsil_2a_scATC_seq_fragments.tsv.gz,GSE165860,0,SRX9986862,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715045,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986862
tonsil_2b_scatc_seq,other,Homo sapiens,PAIRED,SRA,SRR13592270,SRX9986863,Tonsil_2b_scATC_seq,GSM5051502,Public on Sep 16 2021,Jan 31 2021,Sep 16 2021,SRA,1,Tonsil_scATAC-seq,Homo sapiens,9606,genomic DNA,GPL24676,"Zohar,,Shipony",zshipony@stanford.edu,Greenleaf lab,Stanford University,Beckman Center B-279A  279 Campus Drive West,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5051502,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5051nnn/GSM5051502/suppl/GSM5051502_Tonsil_2b_scATC_seq_fragments.tsv.gz,GSE165860,0,SRX9986863,tonsil,hg38; GRCh38-3.0.0 reference,tsv,https://www.ncbi.nlm.nih.gov/biosample/SAMN17715044,https://www.ncbi.nlm.nih.gov/sra?term=SRX9986863
