sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,disorder,age,gender,genome_build,supplementary_files_format_and_content,biosample,sra
healthy_control_patient4788_atac-seq_,,,,,,,healthy control Patient4788 [ATAC-seq],GSM4523072,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of healthy control cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523072,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523072/suppl/GSM4523072_Sample_4788_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289072,healthy control,48,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850543,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289072
healthy_control_patient1739_atac-seq_,,,,,,,healthy control Patient1739 [ATAC-seq],GSM4523073,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of healthy control cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523073,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523073/suppl/GSM4523073_Sample_1739_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289073,healthy control,48,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850541,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289073
cdls_patient2082_atac-seq_,,,,,,,CdLS Patient2082 [ATAC-seq],GSM4523074,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of CdLS cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523074,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523074/suppl/GSM4523074_Sample_2082_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289074,CdLS,48,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850540,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289074
healthy_control_patient4715_atac-seq_,,,,,,,healthy control Patient4715 [ATAC-seq],GSM4523075,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of healthy control cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523075,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523075/suppl/GSM4523075_SD04715_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289075,healthy control,19,Male,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850539,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289075
healthy_control_patient2308_atac-seq_,,,,,,,healthy control Patient2308 [ATAC-seq],GSM4523076,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of healthy control cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523076,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523076/suppl/GSM4523076_SD02308_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289076,healthy control,24,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850538,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289076
healthy_control_patient3011_atac-seq_,,,,,,,healthy control Patient3011 [ATAC-seq],GSM4523077,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of healthy control cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523077,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523077/suppl/GSM4523077_SD03011_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289077,healthy control,30,Male,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850537,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289077
cdls_patient380p_atac-seq_,,,,,,,CdLS Patient380P [ATAC-seq],GSM4523078,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of CdLS cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523078,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523078/suppl/GSM4523078_Sample_380P_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289078,CdLS,19,Male,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850536,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289078
cdls_patient744p_atac-seq_,,,,,,,CdLS Patient744P [ATAC-seq],GSM4523079,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of CdLS cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523079,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523079/suppl/GSM4523079_Sample_744P_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289079,CdLS,24,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850535,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289079
cdls_patient764p_atac-seq_,,,,,,,CdLS Patient764P [ATAC-seq],GSM4523080,Public on Feb 28 2021,May 07 2020,Mar 01 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",genomic DNA,"ATAC-seq was performed on 5 x 105 nuclei isolated from control and CdLS patients per samples, following the omni-ATAC protocol (Corces et al., 2017). Omni-ATAC is an improvement of the original ATAC protocol, with the inclusion of several additional detergents, NP-40, Tween-20 and digitonin in the nuclei digestion. After 30 minutes of incubation, samples were purified using the Zymo ChIP DNA Clean and Concentrator (Zymo Research) and libraries prepared as previously described (Buenrostro et al., ...",ATAC-seq of CdLS cortical neuronal nuceli,"Illumina CASAVA 1.8.4 software used for basecalling., Raw reads were trimmed with Trim Galore! (trim_galore_v0.4.4) with arguments ""--trim-n --paired""., The trimmed reads were then aligned to hg38 using bowtie2 (bowtie2/2.2.9), with arguments ""-p8 -t –very-sensitive -X 2000""., Samtools (1.2) was applied for sorting the reads and picardtools MarkDuplicates (1.90) was used for marking duplicated reads. R bioconductor package ATACseqQC (Ou et al., 2018) was applied for removing duplicated reads, re ...",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM4523080,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4523nnn/GSM4523080/suppl/GSM4523080_Sample_764P_shifted_openRegions_CPM_rmBL.bw,"GSE150079, GSE150130",0,SRX8289080,CdLS,31,Female,hg38,bigWig files,https://www.ncbi.nlm.nih.gov/biosample/SAMN14850542,https://www.ncbi.nlm.nih.gov/sra?term=SRX8289080
healthy_control_patient5345_neun-neg_rnaseq_,,,,,,,healthy control Patient5345 [NeuN-neg RNAseq],GSM4523794,Public on Feb 28 2021,May 08 2020,Feb 28 2021,SRA,1,cortical non-neuronal nuclei,Homo sapiens,9606,"Isolation of nuclei was performed as previously described (Krishnaswami et al., 2016) with minor modifications. Briefly, 50-250mg of pre-frontal cortical grey matter was homogenised in homogenisation buffer (250mM sucrose, 25mM KCl, 5mM MgCl2, 10mM Tris buffer pH 8.0, 1μM DTT, 1X Proteinase Inhibitor w/o EDTA (Roche), 0.4U μl-1 RNaseIn (ThermoFisher) 0.2U μl-1 Superasin (ThermoFisher), 1μM DAPI) and centrifuged through an iodixanol gradient (Sigma). Pelleted nuclei were washed and then stained w ...",total RNA,"RNA was purified using the PicoPure RNA isolation kit (ThermoFisher) following the manufacturer's instructions., 40ng of total RNA was used to prepare libraries using the NEBNext® Ultra™ II Directional RNA Library Prep Kit for Illumina (ribozero ribosomal RNA depletion), following the manufacturer recommendations. Library quality and quantity were assessed on a Bionalayser and Qubit respectively. Libraries were sequenced on an Illumina Hiseq2500 (v4 chemistry) and at least 40million paired end 1 ...","RNA-seq of healthy control cortical neuronal nuceli, CdLS.NeuN.negative_GeneCounts.csv","Illumina CASAVA 1.8.4 software used for basecalling., Reads were mapped to hg38 whole genome using tophat2 (2.0.11) with argument “--library-type fr-firststrand"", Gene annotations were obtained from iGenome UCSC hg38. Gene-based read count were obtained using featureCounts function from Rsubread Bioconductor package",GPL16791,"LMS,,Bioinformatics Core",bioinformatics@lms.mrc.ac.uk,Bioinformatics Core,MRC London Institute of Medical Sciences,"Hammersmith Hospital Campus, Du Cane Road",London,W12 0NN,United Kingdom,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSM4523794,NONE,"GSE150117, GSE150130",0,SRX8293395,healthy control,48,Female,hg38,csv file includes Gene counts for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN14854824,https://www.ncbi.nlm.nih.gov/sra?term=SRX8293395
