sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,genotype,treatment,assembly,supplementary_files_format_and_content,biosample,sra
primary_breast_epithelial_cells_rep1_atac-seq_,,,,,,,"Primary breast epithelial cells, rep1 (ATAC-seq)",GSM6663302,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663302,NONE,"GSE216237, GSE216241",0,SRX17970171,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392962,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970171
tonsl_overexpressing_primary_breast_epithelial_cells_rep1_atac-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep1 (ATAC-seq)",GSM6663303,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663303,NONE,"GSE216237, GSE216241",0,SRX17970172,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392961,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970172
primary_breast_epithelial_cells_rep2_atac-seq_,,,,,,,"Primary breast epithelial cells, rep2 (ATAC-seq)",GSM6663304,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663304,NONE,"GSE216237, GSE216241",0,SRX17970173,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392960,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970173
tonsl_overexpressing_primary_breast_epithelial_cells_rep2_atac-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep2 (ATAC-seq)",GSM6663305,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663305,NONE,"GSE216237, GSE216241",0,SRX17970174,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392959,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970174
primary_breast_epithelial_cells_rep3_atac-seq_,,,,,,,"Primary breast epithelial cells, rep3 (ATAC-seq)",GSM6663306,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663306,NONE,"GSE216237, GSE216241",0,SRX17970175,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392958,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970175
tonsl_overexpressing_primary_breast_epithelial_cells_rep3_atac-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep3 (ATAC-seq)",GSM6663307,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,Primary cells were maintained in media prep described in PMID: 30992305 in humidified atmosphere with 5% CO2 at 37C,genomic DNA,RNA was harvested using Rneasy mini plus kit (Qiagen). 1ug of total RNA was used for the construction of sequencing libraries.,"Integration of RNA-seq data with ATAC-seq data and motif enrichment analyses were performed as described previously (Oncogene 40:1332-1346), To correlate chromatin accessibility with gene expression changes, promoter and enhancer regions were analyzed separately. Promoters and enhancers with open or closed configuration in primary and TONSL overexpressing cells were aligned with gene expression data of the same by gene symbols. Genes with open/close promoter/enhancer chromatin and up/down gene e ...",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM6663307,NONE,"GSE216237, GSE216241",0,SRX17970176,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including peak annotation, log2 fold change, and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31392957,https://www.ncbi.nlm.nih.gov/sra?term=SRX17970176
primary_breast_epithelial_cells_rep1_rna-seq_,,,,,,,"Primary breast epithelial cells, rep1 (RNA-seq)",GSM6664069,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664069,NONE,"GSE216238, GSE216241",0,SRX17971640,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393338,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971640
tonsl_overexpressing_primary_breast_epithelial_cells_rep1_rna-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep1 (RNA-seq)",GSM6664071,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664071,NONE,"GSE216238, GSE216241",0,SRX17971641,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393337,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971641
primary_breast_epithelial_cells_rep2_rna-seq_,,,,,,,"Primary breast epithelial cells, rep2 (RNA-seq)",GSM6664072,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664072,NONE,"GSE216238, GSE216241",0,SRX17971642,Breast,Primary breast epithelial cells,WT,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393336,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971642
tonsl_overexpressing_primary_breast_epithelial_cells_rep2_rna-seq_,,,,,,,"TONSL overexpressing Primary breast epithelial cells, rep2 (RNA-seq)",GSM6664073,Public on Oct 31 2023,Oct 20 2022,Oct 31 2023,SRA,1,Breast,Homo sapiens,9606,,total RNA,To be updated.,"The sequence data were mapped to the human reference genome hg38 with STAR-2.5.2b, FeatureCounts (subread-1.5.1) was used to quantify gene expression (parameters applied: ""“-s 2 –p –Q 10""), Differential expression analysis was performed using edgeR, RNA-seq",GPL24676,"Harikrishna,,Nakshatri",General Surgery,Indiana University School of Medicine,980 W. Walnut St. R3C218C,Indianapolis,IN,46202,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6664073,NONE,"GSE216238, GSE216241",0,SRX17971643,Breast,Primary breast epithelial cells,TONSL overexpression,Female,hg38,"Excel table including FPKMs, raw counts, log2 fold change, p-values and FDR",https://www.ncbi.nlm.nih.gov/biosample/SAMN31393335,https://www.ncbi.nlm.nih.gov/sra?term=SRX17971643
