sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,sex,assembly
dipc-human-experiment01-cerebellum,,,,,,,dipc-human-experiment01-cerebellum,GSM7876761,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876761,cerebellum,female,hg19 and mm10
dipc-human-experiment02-cerebellum,,,,,,,dipc-human-experiment02-cerebellum,GSM7876762,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876762,cerebellum,pooled male and female,hg19 and mm10
dipc-human-experiment03-cortex,,,,,,,dipc-human-experiment03-cortex,GSM7876763,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebral cortex,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876763,cerebral cortex,pooled male and female,hg19 and mm10
dipc-human-experiment04-cerebellum,,,,,,,dipc-human-experiment04-cerebellum,GSM7876764,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876764,cerebellum,male,hg19 and mm10
dipc-human-experiment05-cerebellum,,,,,,,dipc-human-experiment05-cerebellum,GSM7876765,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876765,cerebellum,pooled male and female,hg19 and mm10
dipc-human-experiment06-cerebellum,,,,,,,dipc-human-experiment06-cerebellum,GSM7876766,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876766,cerebellum,pooled male and female,hg19 and mm10
dipc-human-experiment08-cerebellum,,,,,,,dipc-human-experiment08-cerebellum,GSM7876767,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876767,cerebellum,pooled male and female,hg19 and mm10
dipc-human-experiment07-cerebellum,,,,,,,dipc-human-experiment07-cerebellum,GSM7876768,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876768,cerebellum,male,hg19 and mm10
dipc-human-experiment09-cortex,,,,,,,dipc-human-experiment09-cortex,GSM7876769,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebral cortex,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876769,cerebral cortex,pooled male and female,hg19 and mm10
dipc-human-experiment10-cerebellum,,,,,,,dipc-human-experiment10-cerebellum,GSM7876770,Public on Nov 07 2023,Nov 01 2023,Nov 07 2023,SRA,1,cerebellum,Homo sapiens,9606,genomic DNA,Dip-C,"human.contacts_female.pairs.gz.tar.gz, human.contacts_female.seg.gz.tar.gz, human.contacts_male.pairs.gz.tar.gz, human.contacts_male.seg.gz.tar.gz, human.contacts_unisex.hic.tar.gz, human.contacts_unisex.info.tar.gz, human.contacts_unisex.pairs.gz.tar.gz, human.contacts_unisex.seg.gz.tar.gz, human.cpg_b1m.color2.tar.gz, human.x2a.txt.tar.gz",GPL24676,"Longzhi,,Tan",tttt@stanford.edu,Tan Lab,Neurobiology,Stanford University,Stanford,CA,94305,USA,Illumina NovaSeq 6000,other,genomic,Hi-C,NONE,GSE246785,0,GSM7876770,cerebellum,male,hg19 and mm10
