sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,individual,tissue,sex,age,ancestry,instrument_model,assembly,supplementary_files_format_and_content,biosample,sra
donor_1_septum_snrna-seq,,,,,,,"Donor 1, Septum, snRNA-seq",GSM7036794,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036794,NONE,"GSE224995, GSE224997",0,SRX19329767,Donor 1,Interventricular septum,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238685,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329767
donor_1_rv_snrna-seq,,,,,,,"Donor 1, RV, snRNA-seq",GSM7036795,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036795,NONE,"GSE224995, GSE224997",0,SRX19329768,Donor 1,Right ventricle,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238684,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329768
donor_1_lv_snrna-seq,,,,,,,"Donor 1, LV, snRNA-seq",GSM7036796,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Left ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036796,NONE,"GSE224995, GSE224997",0,SRX19329769,Donor 1,Left ventricle,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238683,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329769
donor_1_apex_snrna-seq,,,,,,,"Donor 1, Apex, snRNA-seq",GSM7036797,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036797,NONE,"GSE224995, GSE224997",0,SRX19329770,Donor 1,Apex,Male,54,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238682,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329770
donor_2_septum_snrna-seq,,,,,,,"Donor 2, Septum, snRNA-seq",GSM7036798,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036798,NONE,"GSE224995, GSE224997",0,SRX19329771,Donor 2,Interventricular septum,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238681,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329771
donor_2_rv_snrna-seq,,,,,,,"Donor 2, RV, snRNA-seq",GSM7036799,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036799,NONE,"GSE224995, GSE224997",0,SRX19329772,Donor 2,Right ventricle,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238680,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329772
donor_2_lv_snrna-seq,,,,,,,"Donor 2, LV, snRNA-seq",GSM7036800,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Left ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036800,NONE,"GSE224995, GSE224997",0,SRX19329773,Donor 2,Left ventricle,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238679,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329773
donor_2_apex_snrna-seq,,,,,,,"Donor 2, Apex, snRNA-seq",GSM7036801,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Apex,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036801,NONE,"GSE224995, GSE224997",0,SRX19329774,Donor 2,Apex,Male,47,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238678,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329774
donor_3_septum_snrna-seq,,,,,,,"Donor 3, Septum, snRNA-seq",GSM7036802,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Interventricular septum,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036802,NONE,"GSE224995, GSE224997",0,SRX19329775,Donor 3,Interventricular septum,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238677,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329775
donor_3_rv_snrna-seq,,,,,,,"Donor 3, RV, snRNA-seq",GSM7036803,Public on Feb 10 2023,Feb 10 2023,Feb 14 2023,SRA,1,Right ventricle,Homo sapiens,9606,nuclear RNA,"Single nuclei isolation was performed on the heart tissue aliquots as described in Litvinukova et al. 2020 (PMID:  32971526), with some modifications. Single heart aliquots were kept on dry ice until being transferred into a precooled 2 mL dounce homogenizer (Sigma) with 2 mL homogenization buffer (250 mM sucrose, 25 mM KCl, 5 mM MgCl2, 10 mM Tris-HCl, 1 mM dithiothreitol (DTT), 1x protease inhibitor, 0.4 U/µl, RNaseIn, 0.2 U/µl SUPERaseIn, 0.1% Triton X-100 in nuclease-free water). Samples were ...","10X Genomics, HeartAtlas_RNA_barcodes_03092023.tsv.gz, HeartAtlas_RNA_genes.tsv, HeartAtlas_RNA_counts.mtx","FastQ files were individually processed using an in-house scRNA-seq pipeline dropRunner. Briefly, dropRunner utilizes FastQC to obtain quality control metrics followed by fast and efficient alignment to human reference genome hg38 using STARsolo 2.6.197 in GeneFull mode with other parameters set to default. STARsolo performs alignment and quantification of gene expression in one package., We quantified expression at the gene level using Gencode v29 gene annotations utilizing both intronic and ex ...",GPL24676,"Sebastian,,Pott",spott@uchicago.edu,The University of Chicago,920 E 58th St,Chicago,IL,60637,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7036803,NONE,"GSE224995, GSE224997",0,SRX19329776,Donor 3,Right ventricle,Male,55,"White, European",Illumina NovaSeq 6000 or NextSeq 500,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33238676,https://www.ncbi.nlm.nih.gov/sra?term=SRX19329776
