sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_phone,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,genome_build,supplementary_files_format_and_content,biosample,sra
ga22_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873086,SRX10253494,ga22_snRNAseq,GSM5138509,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9, 46",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, same donor as RL2366","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5138509,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138509/suppl/GSM5138509_RL2103_ga22_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138509/suppl/GSM5138509_RL2103_ga22_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253494,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200449,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253494
ga22_snatac,other,Homo sapiens,PAIRED,SRA,SRR13873087,SRX10253495,ga22_snATAC,GSM5138510,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9, 46",Homo sapiens,9606,tissue: brain,genomic DNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","genomic DNA, same donor as RL2103","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5138510,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138510/suppl/GSM5138510_RL2366_ga22_snATAC_fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138510/suppl/GSM5138510_RL2366_ga22_snATAC_fragments.tsv.gz.tbi.gz,GSE168408,0,SRX10253495,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200448,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253495
ga24_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873088,SRX10253496,ga24_snRNAseq,GSM5138511,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, same donor as RL2207","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5138511,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138511/suppl/GSM5138511_RL2107_ga24_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138511/suppl/GSM5138511_RL2107_ga24_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253496,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200447,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253496
ga24_snatac,other,Homo sapiens,PAIRED,SRA,SRR13873089,SRX10253497,ga24_snATAC,GSM5138512,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,genomic DNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","genomic DNA, same donor as RL2107","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5138512,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138512/suppl/GSM5138512_RL2207_ga24_snATAC_fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138512/suppl/GSM5138512_RL2207_ga24_snATAC_fragments.tsv.gz.tbi.gz,GSE168408,0,SRX10253497,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200446,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253497
ga34_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873090,SRX10253498,ga34_snRNAseq,GSM5138513,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, no paired snATAC data","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5138513,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138513/suppl/GSM5138513_RL2121_ga34_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138513/suppl/GSM5138513_RL2121_ga34_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253498,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200445,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253498
1m_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873091,SRX10253499,1m_snRNAseq,GSM5138514,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA8",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, no paired snATAC data","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL21697,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM5138514,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138514/suppl/GSM5138514_RL1777_1m_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138514/suppl/GSM5138514_RL1777_1m_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253499,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200444,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253499
1m_snatac,other,Homo sapiens,PAIRED,SRA,SRR13873092,SRX10253500,1m_snATAC,GSM5138515,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA8",Homo sapiens,9606,tissue: brain,genomic DNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","genomic DNA, no paired snRNAseq data","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5138515,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138515/suppl/GSM5138515_RL2367_1m_snATAC_fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138515/suppl/GSM5138515_RL2367_1m_snATAC_fragments.tsv.gz.tbi.gz,GSE168408,0,SRX10253500,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200443,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253500
2m_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873093,SRX10253501,2m_snRNAseq,GSM5138516,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, no paired snATAC data","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL21697,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,NextSeq 550,cDNA,transcriptomic,RNA-Seq,GSM5138516,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138516/suppl/GSM5138516_RL1612_2m_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138516/suppl/GSM5138516_RL1612_2m_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253501,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200442,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253501
3m_snrnaseq,cDNA,Homo sapiens,PAIRED,SRA,SRR13873094,SRX10253502,3m_snRNAseq,GSM5138517,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,total RNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","nuclear RNA, same donor as RL1914","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM5138517,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138517/suppl/GSM5138517_RL2100_3m_snRNAseq_filtered_feature_bc_matrix.h5.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138517/suppl/GSM5138517_RL2100_3m_snRNAseq_raw_feature_bc_matrix.h5.gz,GSE168408,0,SRX10253502,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200441,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253502
3m_snatac,other,Homo sapiens,PAIRED,SRA,SRR13873095,SRX10253503,3m_snATAC,GSM5138518,Public on Oct 31 2022,Mar 07 2021,Oct 31 2022,SRA,1,"prefrontal cortex, BA9",Homo sapiens,9606,tissue: brain,genomic DNA,"Per sample, 50 mg of frozen brain tissue was lysed and nuclei extracted. Nuclei were then either enriched by DAPI-positive FANS for single cell gene expression library generation or cleaned with a sucrose gradient centrifugation for single cell ATAC library generation., 10X Genomics 3' Single Cell Gene Expression v2/v3 , 10X Genomics Single Cell ATAC, snRNA-seq, snATAC-seq","genomic DNA, same donor as RL2100","cellranger mkfastq with Cellranger v3.1 to generate fastq files as inout for count pipeline., cellranger count with Cellranger v3.1 to generate feature-barcode matrices of gene expression., cellranger-atac mkfastq with Cellranger-ATAC v1.2 to generate fastq files as input for count pipeline., cellranger-atac count with Cellranger-ATAC v1.2 to generate BED-like tabular file with contains frgaments captured by the assay and barcode information in single cell output tables.",GPL24676,"Ryan,,Lister",ryanlister@gmail.com,61864884407,The University of Western Australia,35 Stirling Highway,Perth,WA,6009,Australia,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5138518,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138518/suppl/GSM5138518_RL1914_3m_snATAC_fragments.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5138nnn/GSM5138518/suppl/GSM5138518_RL1914_3m_snATAC_fragments.tsv.gz.tbi.gz,GSE168408,0,SRX10253503,hg19,"For snRNA-seq data: feature-barcode matrices in HDF5 format containing every barcode from the fixed list of known-good barcode sequences that has at least 1 read for raw_feature files, or only containing detected cellular barcodes for filtered_feature files. For snATAC, a BED-like tabular fragment file with each line representing a unique ATAC-seq fragment captured by the assay,  an index for the fragments file as well as a singlecell file containing cell barcodes, QC information and ATAC signal ...",https://www.ncbi.nlm.nih.gov/biosample/SAMN18200440,https://www.ncbi.nlm.nih.gov/sra?term=SRX10253503
