sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,timepoint,donor,genome_build,biosample,sra
s1td0,other,Homo sapiens,PAIRED,SRA,SRR8360874,SRX5171512,S1Td0,GSM3525910,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525910,NONE,"GSE124219, GSE124220",0,SRX5171512,blood,CD14+ monocytes,D0,1,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621170,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171512
s1tm3,other,Homo sapiens,PAIRED,SRA,SRR8360875,SRX5171513,S1Tm3,GSM3525911,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525911,NONE,"GSE124219, GSE124220",0,SRX5171513,blood,CD14+ monocytes,D90,1,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621169,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171513
s2td0,other,Homo sapiens,PAIRED,SRA,SRR8360876,SRX5171514,S2Td0,GSM3525912,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525912,NONE,"GSE124219, GSE124220",0,SRX5171514,blood,CD14+ monocytes,D0,2,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621168,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171514
s2tm3,other,Homo sapiens,PAIRED,SRA,SRR8360877,SRX5171515,S2Tm3,GSM3525913,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525913,NONE,"GSE124219, GSE124220",0,SRX5171515,blood,CD14+ monocytes,D90,2,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621167,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171515
s5td0,other,Homo sapiens,PAIRED,SRA,SRR8360878,SRX5171516,S5Td0,GSM3525914,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525914,NONE,"GSE124219, GSE124220",0,SRX5171516,blood,CD14+ monocytes,D0,5,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621166,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171516
s5tm3,other,Homo sapiens,PAIRED,SRA,SRR8360879,SRX5171517,S5Tm3,GSM3525915,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525915,NONE,"GSE124219, GSE124220",0,SRX5171517,blood,CD14+ monocytes,D90,5,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621165,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171517
s8td0,other,Homo sapiens,PAIRED,SRA,SRR8360880,SRX5171518,S8Td0,GSM3525916,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525916,NONE,"GSE124219, GSE124220",0,SRX5171518,blood,CD14+ monocytes,D0,8,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621191,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171518
s8tm3,other,Homo sapiens,PAIRED,SRA,SRR8360881,SRX5171519,S8Tm3,GSM3525917,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525917,NONE,"GSE124219, GSE124220",0,SRX5171519,blood,CD14+ monocytes,D90,8,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621190,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171519
s9td0,other,Homo sapiens,PAIRED,SRA,SRR8360882,SRX5171520,S9Td0,GSM3525918,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525918,NONE,"GSE124219, GSE124220",0,SRX5171520,blood,CD14+ monocytes,D0,9,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621207,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171520
s9tm3,other,Homo sapiens,PAIRED,SRA,SRR8360883,SRX5171521,S9Tm3,GSM3525919,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525919,NONE,"GSE124219, GSE124220",0,SRX5171521,blood,CD14+ monocytes,D90,9,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621206,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171521
s10td0,other,Homo sapiens,PAIRED,SRA,SRR8360884,SRX5171522,S10Td0,GSM3525920,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525920,NONE,"GSE124219, GSE124220",0,SRX5171522,blood,CD14+ monocytes,D0,10,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621205,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171522
s10tm3,other,Homo sapiens,PAIRED,SRA,SRR8360885,SRX5171523,S10Tm3,GSM3525921,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525921,NONE,"GSE124219, GSE124220",0,SRX5171523,blood,CD14+ monocytes,D90,10,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621204,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171523
s12td0,other,Homo sapiens,PAIRED,SRA,SRR8360886,SRX5171524,S12Td0,GSM3525922,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525922,NONE,"GSE124219, GSE124220",0,SRX5171524,blood,CD14+ monocytes,D0,12,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621203,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171524
s12tm3,other,Homo sapiens,PAIRED,SRA,SRR8360887,SRX5171525,S12Tm3,GSM3525923,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525923,NONE,"GSE124219, GSE124220",0,SRX5171525,blood,CD14+ monocytes,D90,12,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621202,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171525
s14td0,other,Homo sapiens,PAIRED,SRA,SRR8360888,SRX5171526,S14Td0,GSM3525924,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525924,NONE,"GSE124219, GSE124220",0,SRX5171526,blood,CD14+ monocytes,D0,14,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621219,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171526
s14tm3,other,Homo sapiens,PAIRED,SRA,SRR8360889,SRX5171527,S14Tm3,GSM3525925,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525925,NONE,"GSE124219, GSE124220",0,SRX5171527,blood,CD14+ monocytes,D90,14,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621218,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171527
s16td0,other,Homo sapiens,PAIRED,SRA,SRR8360890,SRX5171528,S16Td0,GSM3525926,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525926,NONE,"GSE124219, GSE124220",0,SRX5171528,blood,CD14+ monocytes,D0,16,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621217,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171528
s16tm3,other,Homo sapiens,PAIRED,SRA,SRR8360891,SRX5171529,S16Tm3,GSM3525927,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525927,NONE,"GSE124219, GSE124220",0,SRX5171529,blood,CD14+ monocytes,D90,16,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621216,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171529
s17td0,other,Homo sapiens,PAIRED,SRA,SRR8360892,SRX5171530,S17Td0,GSM3525928,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525928,NONE,"GSE124219, GSE124220",0,SRX5171530,blood,CD14+ monocytes,D0,17,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621215,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171530
s17tm3,other,Homo sapiens,PAIRED,SRA,SRR8360893,SRX5171531,S17Tm3,GSM3525929,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525929,NONE,"GSE124219, GSE124220",0,SRX5171531,blood,CD14+ monocytes,D90,17,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621214,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171531
s19td0,other,Homo sapiens,PAIRED,SRA,SRR8360894,SRX5171532,S19Td0,GSM3525930,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525930,NONE,"GSE124219, GSE124220",0,SRX5171532,blood,CD14+ monocytes,D0,19,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621220,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171532
s19tm3,other,Homo sapiens,PAIRED,SRA,SRR8360895,SRX5171533,S19Tm3,GSM3525931,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525931,NONE,"GSE124219, GSE124220",0,SRX5171533,blood,CD14+ monocytes,D90,19,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621225,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171533
s20td0,other,Homo sapiens,PAIRED,SRA,SRR8360896,SRX5171534,S20Td0,GSM3525932,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525932,NONE,"GSE124219, GSE124220",0,SRX5171534,blood,CD14+ monocytes,D0,20,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621224,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171534
s20tm3,other,Homo sapiens,PAIRED,SRA,SRR8360897,SRX5171535,S20Tm3,GSM3525933,Public on Jun 30 2020,Dec 20 2018,Jun 30 2020,SRA,1,MACS-enriched CD14+ monocytes,Homo sapiens,9606,genomic DNA,180603_ATAC_DESeq-norm.csv,GPL18460,"Branko,,Cirovic",Myeloid Cell Biology,LIMES,Carl-Troll Str 31,Bonn,53111,Germany,Illumina HiSeq 1500,other,genomic,ATAC-seq,GSM3525933,NONE,"GSE124219, GSE124220",0,SRX5171535,blood,CD14+ monocytes,D90,20,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621223,https://www.ncbi.nlm.nih.gov/sra?term=SRX5171535
