sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,subject_status,tissue,cell_type,activation,chip_antibody,genome_build,supplementary_files_format_and_content,biosample,sra
chip-seq_h3k27ac_naïve,,,,,,,ChIP-seq_H3K27Ac_Naïve,GSM3258553,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K27Ac_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2980,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258553,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258553/suppl/GSM3258553_Naive_H3K27Ac_030816.csv.gz,"GSE116695, GSE116698",0,SRX4345346,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,"H3K27Ac Diagenode, pAb-196-050",hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621020,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345346
chip-seq_h3k27ac_act_5_h,,,,,,,ChIP-seq_H3K27Ac_Act.5 h,GSM3258554,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K27Ac_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2761,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258554,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258554/suppl/GSM3258554_E5h_K27ac_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345347,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,"H3K27Ac Diagenode, pAb-196-050",hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621019,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345347
chip-seq_h3k27ac_act_5_h_without_cd28,,,,,,,ChIP-seq_H3K27Ac_Act.5 h_without_CD28,GSM3258555,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K27Ac_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2764,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258555,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258555/suppl/GSM3258555_A5h_K27ac_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345348,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,"H3K27Ac Diagenode, pAb-196-050",hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621018,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345348
chip-seq_h3k27ac_act_24_h,,,,,,,ChIP-seq_H3K27Ac_Act.24 h,GSM3258556,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K27Ac_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2762,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258556,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258556/suppl/GSM3258556_E24h_K27ac_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345349,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,"H3K27Ac Diagenode, pAb-196-050",hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621100,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345349
chip-seq_h3k27ac_act_24_h_without_cd28,,,,,,,ChIP-seq_H3K27Ac_Act.24 h_without_CD28,GSM3258557,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K27Ac_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2765,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258557,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258557/suppl/GSM3258557_A24h_K27ac_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345350,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,"H3K27Ac Diagenode, pAb-196-050",hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621044,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345350
chip-seq_h3k4me3_naïve,,,,,,,ChIP-seq_H3K4me3_Naïve,GSM3258558,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K4me3_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2979,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258558,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258558/suppl/GSM3258558_Naive_H3K4me3_030816.csv.gz,"GSE116695, GSE116698",0,SRX4345351,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,H3K4me3 Millipore #17-614,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621043,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345351
chip-seq_h3k4me3_act_5_h,,,,,,,ChIP-seq_H3K4me3_Act.5 h,GSM3258559,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K4me3_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2755,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258559,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258559/suppl/GSM3258559_E5h_K4me3_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345352,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,H3K4me3 Millipore #17-614,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621074,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345352
chip-seq_h3k4me3_act_5_h_without_cd28,,,,,,,ChIP-seq_H3K4me3_Act.5 h_without_CD28,GSM3258560,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K4me3_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2758,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258560,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258560/suppl/GSM3258560_A5h_K4me3_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345353,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,H3K4me3 Millipore #17-614,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621073,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345353
chip-seq_h3k4me3_act_24_h,,,,,,,ChIP-seq_H3K4me3_Act.24 h,GSM3258561,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K4me3_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2756,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258561,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258561/suppl/GSM3258561_E24h_K4me3_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345354,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,H3K4me3 Millipore #17-614,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621072,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345354
chip-seq_h3k4me3_act_24_h_without_cd28,,,,,,,ChIP-seq_H3K4me3_Act.24 h_without_CD28,GSM3258562,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ChIP-seq_H3K4me3_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Chromatin was immunoprecipitated with antibody and tagmented with nextera transposome (illumina) according to the ChIPmentation protocol in Schmidl et al (PBMD: 26280331)., Libraries were prepared by chipmentation.",BioWardrobe ID: 2759,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM3258562,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258562/suppl/GSM3258562_A24h_K4me3_010816.csv.gz,"GSE116695, GSE116698",0,SRX4345355,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,H3K4me3 Millipore #17-614,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621071,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345355
