sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,chip_antibody,chip_antibody_vendor,chip_antibody_cat_,chip_antibody_lot_batch_,genome_build,biosample,sra
ar_nki_1_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856198,SRX8406315,AR_NKI_1_N,GSM4569829,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_1_AR_Healthy,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569829,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569829/suppl/GSM4569829_AR_NKI_1_N.bw,GSE130408,0,SRX8406315,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032369,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406315
ar_nki_7_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856199,SRX8406316,AR_NKI_7_N,GSM4569830,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_7_AR_Healthy,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569830,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569830/suppl/GSM4569830_AR_NKI_7_N.bw,GSE130408,0,SRX8406316,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032398,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406316
ar_nki_13_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856200,SRX8406413,AR_NKI_13_N,GSM4569831,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_13_AR_Healthy,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569831,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569831/suppl/GSM4569831_AR_NKI_13_N.bw,GSE130408,0,SRX8406413,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032397,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406413
ar_nki_19_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856201,SRX8406414,AR_NKI_19_N,GSM4569832,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_19_AR_Healthy,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569832,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569832/suppl/GSM4569832_AR_NKI_19_N.bw,GSE130408,0,SRX8406414,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032396,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406414
ar_nki_25_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856202,SRX8406415,AR_NKI_25_N,GSM4569833,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_25_AR_Healthy_rep2,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569833/suppl/GSM4569833_AR_NKI_25_N.bw,GSE130408,0,SRX8406415,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032394,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406415
ar_nki_27_n,ChIP,Homo sapiens,SINGLE,SRA,SRR11856203,SRX8406416,AR_NKI_27_N,GSM4569834,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,NKI_27_AR_Healthy,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569834,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569834/suppl/GSM4569834_AR_NKI_27_N.bw,GSE130408,0,SRX8406416,Patient localized prostate tissue,AR,Millipore,06-680,2489005,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032564,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406416
ar_df_1239_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856204,SRX8406417,AR_DF_1239_T,GSM4569835,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1239T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569835,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569835/suppl/GSM4569835_AR_DF_1239_T.bw,GSE130408,0,SRX8406417,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032563,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406417
ar_df_1636_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856205,SRX8406418,AR_DF_1636_T,GSM4569836,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1636T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569836,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569836/suppl/GSM4569836_AR_DF_1636_T.bw,GSE130408,0,SRX8406418,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032560,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406418
ar_df_1730_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856206,SRX8406419,AR_DF_1730_T,GSM4569837,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1730T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569837,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569837/suppl/GSM4569837_AR_DF_1730_T.bw,GSE130408,0,SRX8406419,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032559,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406419
ar_df_1798_t,ChIP,Homo sapiens,SINGLE,SRA,SRR11856207,SRX8406420,AR_DF_1798_T,GSM4569838,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,DF_1798T,GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSM4569838,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569838/suppl/GSM4569838_AR_DF_1798_T.bw,GSE130408,0,SRX8406420,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032557,https://www.ncbi.nlm.nih.gov/sra?term=SRX8406420
