sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,genome_build,sra,biosample
rna-seq_n1,cDNA,Homo sapiens,PAIRED,SRA,SRR15466832,SRX11766142,RNA-seq_N1,GSM5520134,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520134,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520134/suppl/GSM5520134_RNA-seq_N1.bw,GSE182180,0,SRX11766142,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766142,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835362
rna-seq_n2,cDNA,Homo sapiens,PAIRED,SRA,SRR15466834,SRX11766127,RNA-seq_N2,GSM5520135,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520135,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520135/suppl/GSM5520135_RNA-seq_N2.bw,GSE182180,0,SRX11766127,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766127,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835364
rna-seq_n3,cDNA,Homo sapiens,PAIRED,SRA,SRR15466835,SRX11766128,RNA-seq_N3,GSM5520136,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520136,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520136/suppl/GSM5520136_RNA-seq_N3.bw,GSE182180,0,SRX11766128,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766128,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835366
rna-seq_n4,cDNA,Homo sapiens,PAIRED,SRA,SRR15466837,SRX11766129,RNA-seq_N4,GSM5520137,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520137,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520137/suppl/GSM5520137_RNA-seq_N4.bw,GSE182180,0,SRX11766129,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766129,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835368
rna-seq_n5,cDNA,Homo sapiens,PAIRED,SRA,SRR15466838,SRX11766130,RNA-seq_N5,GSM5520138,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520138,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520138/suppl/GSM5520138_RNA-seq_N5.bw,GSE182180,0,SRX11766130,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766130,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835369
rna-seq_n6,cDNA,Homo sapiens,PAIRED,SRA,SRR15466840,SRX11766131,RNA-seq_N6,GSM5520139,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,normal pituitary tissues,Homo sapiens,9606,tissue: normal pituitary tissues,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520139,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520139/suppl/GSM5520139_RNA-seq_N6.bw,GSE182180,0,SRX11766131,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766131,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835371
rna-seq_t1,cDNA,Homo sapiens,PAIRED,SRA,SRR15466842,SRX11766132,RNA-seq_T1,GSM5520140,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,pituitary tumors,Homo sapiens,9606,tissue: pituitary tumors,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520140,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520140/suppl/GSM5520140_RNA-seq_T1.bw,GSE182180,0,SRX11766132,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766132,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835372
rna-seq_t2,cDNA,Homo sapiens,PAIRED,SRA,SRR15466844,SRX11766133,RNA-seq_T2,GSM5520141,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,pituitary tumors,Homo sapiens,9606,tissue: pituitary tumors,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520141,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520141/suppl/GSM5520141_RNA-seq_T2.bw,GSE182180,0,SRX11766133,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766133,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835375
rna-seq_t3,cDNA,Homo sapiens,PAIRED,SRA,SRR15466846,SRX11766134,RNA-seq_T3,GSM5520142,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,pituitary tumors,Homo sapiens,9606,tissue: pituitary tumors,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520142,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520142/suppl/GSM5520142_RNA-seq_T3.bw,GSE182180,0,SRX11766134,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766134,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835376
rna-seq_t4,cDNA,Homo sapiens,PAIRED,SRA,SRR15466847,SRX11766135,RNA-seq_T4,GSM5520143,Public on Aug 18 2021,Aug 16 2021,Aug 18 2021,SRA,1,pituitary tumors,Homo sapiens,9606,tissue: pituitary tumors,total RNA,GPL20795,"Xuelong,,Wang",wangxuelong@picb.ac.cn,Chinese Academy of Sciences,No. 320 Yueyang Road,Shanghai,200031,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,GSM5520143,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5520nnn/GSM5520143/suppl/GSM5520143_RNA-seq_T4.bw,GSE182180,0,SRX11766135,hg19,https://www.ncbi.nlm.nih.gov/sra?term=SRX11766135,https://www.ncbi.nlm.nih.gov/biosample/SAMN20835378
