sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,species,donor_id,age,sex,library_type,sra,biosample
m1_donor3_multiome_atac_,,,,,,,M1_donor3 (Multiome ATAC),GSM7156218,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"M1_donor3_barcodes.tsv.gz, M1_donor3_features.tsv.gz, M1_donor3_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156218,NONE,GSE229169,0,SRX19907335,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907335,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115803
m1_donor3_multiome_gene_expression_,,,,,,,M1_donor3 (Multiome Gene Expression),GSM7156219,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"M1_donor3_barcodes.tsv.gz, M1_donor3_features.tsv.gz, M1_donor3_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156219,NONE,GSE229169,0,SRX19907341,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907341,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115802
m1_donor3_rep2_multiome_atac_,,,,,,,M1_donor3_rep2 (Multiome ATAC),GSM7156220,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"replication of donor 3 sample, M1_donor3_rep2_barcodes.tsv.gz, M1_donor3_rep2_features.tsv.gz, M1_donor3_rep2_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156220,NONE,GSE229169,0,SRX19907336,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907336,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115801
m1_donor3_rep2_multiome_gene_expression_,,,,,,,M1_donor3_rep2 (Multiome Gene Expression),GSM7156221,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"replication of donor 3 sample, M1_donor3_rep2_barcodes.tsv.gz, M1_donor3_rep2_features.tsv.gz, M1_donor3_rep2_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156221,NONE,GSE229169,0,SRX19907337,primary motor cortex,Human,H19.30.004,58 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907337,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115800
m1_donor1_multiome_atac_,,,,,,,M1_donor1 (Multiome ATAC),GSM7156222,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"M1_donor1_barcodes.tsv.gz, M1_donor1_features.tsv.gz, M1_donor1_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156222,NONE,GSE229169,0,SRX19907338,primary motor cortex,Human,H19.30.001,42 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907338,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115799
m1_donor1_multiome_gene_expression_,,,,,,,M1_donor1 (Multiome Gene Expression),GSM7156223,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"M1_donor1_barcodes.tsv.gz, M1_donor1_features.tsv.gz, M1_donor1_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156223,NONE,GSE229169,0,SRX19907353,primary motor cortex,Human,H19.30.001,42 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907353,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115798
m1_donor2_multiome_atac_,,,,,,,M1_donor2 (Multiome ATAC),GSM7156224,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"M1_donor2_barcodes.tsv.gz, M1_donor2_features.tsv.gz, M1_donor2_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156224,NONE,GSE229169,0,SRX19907354,primary motor cortex,Human,H19.30.002/UW7060,29 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907354,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115797
m1_donor2_multiome_gene_expression_,,,,,,,M1_donor2 (Multiome Gene Expression),GSM7156225,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"M1_donor2_barcodes.tsv.gz, M1_donor2_features.tsv.gz, M1_donor2_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156225,NONE,GSE229169,0,SRX19907355,primary motor cortex,Human,H19.30.002/UW7060,29 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907355,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115796
m1_donor1_neun_multiome_atac_,,,,,,,M1_donor1_neun (Multiome ATAC),GSM7156226,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,genomic DNA,"NeuN+ sorted nuclei, M1_donor1_neun_barcodes.tsv.gz, M1_donor1_neun_features.tsv.gz, M1_donor1_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7156226,NONE,GSE229169,0,SRX19907357,primary motor cortex,Human,H19.30.001,42 y.o.,M,10x Genomics Multiome ATAC,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907357,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115795
m1_donor1_neun_multiome_gene_expression_,,,,,,,M1_donor1_neun (Multiome Gene Expression),GSM7156227,Public on Oct 31 2023,Apr 07 2023,Oct 31 2023,SRA,1,primary motor cortex,Homo sapiens,9606,total RNA,"NeuN+ sorted nuclei, M1_donor1_neun_barcodes.tsv.gz, M1_donor1_neun_features.tsv.gz, M1_donor1_neun_matrix.mtx.gz",GPL24676,"Bing,,Ren",biren@health.ucsd.edu,UCSD,9500 Gilman Drive,La Jolla,CA,92093,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7156227,NONE,GSE229169,0,SRX19907358,primary motor cortex,Human,H19.30.001,42 y.o.,M,10x Genomics Multiome Gene Expression,https://www.ncbi.nlm.nih.gov/sra?term=SRX19907358,https://www.ncbi.nlm.nih.gov/biosample/SAMN34115794
