sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,donor_status,tissue,genome_build,supplementary_files_format_and_content,biosample,sra
l1_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321242,SRX10676379,L1_rep1,GSM5264612,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL1_rep1_EKDL190133819-1a-N712-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264612,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264612/suppl/GSM5264612_LiverL1_rep1_EKDL190133819-1a-N712-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264612/suppl/GSM5264612_LiverL1_rep1_EKDL190133819-1a-N712-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676379,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867237,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676379
l1_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321243,SRX10676380,L1_rep2,GSM5264613,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL1_rep2_EKDL190133819-1a-AK1577-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264613,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264613/suppl/GSM5264613_LiverL1_rep2_EKDL190133819-1a-AK1577-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264613/suppl/GSM5264613_LiverL1_rep2_EKDL190133819-1a-AK1577-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676380,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867236,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676380
l2_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321244,SRX10676381,L2_rep1,GSM5264614,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL2rep1_EKDL190133819-1a-AK11820-AK17204_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264614,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264614/suppl/GSM5264614_LiverL2_rep1_EKDL190133819-1a-AK11820-AK17204_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264614/suppl/GSM5264614_LiverL2_rep1_EKDL190133819-1a-AK11820-AK17204_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676381,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867235,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676381
l2_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321245,SRX10676382,L2_rep2,GSM5264615,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL2rep2_EKDL190133819-1a-AK11822-AK17204_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264615,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264615/suppl/GSM5264615_LiverL2_rep2_EKDL190133819-1a-AK11822-AK17204_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264615/suppl/GSM5264615_LiverL2_rep2_EKDL190133819-1a-AK11822-AK17204_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676382,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867234,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676382
l3_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321246,SRX10676383,L3_rep1,GSM5264616,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL3_rep1_EKDL190133819-1a-AK1553-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264616,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264616/suppl/GSM5264616_LiverL3_rep1_EKDL190133819-1a-AK1553-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264616/suppl/GSM5264616_LiverL3_rep1_EKDL190133819-1a-AK1553-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676383,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867233,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676383
l3_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321247,SRX10676384,L3_rep2,GSM5264617,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL3_rep2_EKDL190133819-1a-AK11822-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264617,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264617/suppl/GSM5264617_LiverL3_rep2_EKDL190133819-1a-AK11822-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264617/suppl/GSM5264617_LiverL3_rep2_EKDL190133819-1a-AK11822-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676384,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867232,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676384
l4_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321248,SRX10676385,L4_rep1,GSM5264618,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL4_rep1_EKDL190133819-1a-AK1569-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264618,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264618/suppl/GSM5264618_LiverL4_rep1_EKDL190133819-1a-AK1569-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264618/suppl/GSM5264618_LiverL4_rep1_EKDL190133819-1a-AK1569-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676385,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867231,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676385
l4_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321249,SRX10676386,L4_rep2,GSM5264619,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL4_rep2_EKDL190133819-1a-AK11823-AK13180_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264619,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264619/suppl/GSM5264619_LiverL4_rep2_EKDL190133819-1a-AK11823-AK13180_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264619/suppl/GSM5264619_LiverL4_rep2_EKDL190133819-1a-AK11823-AK13180_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676386,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867230,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676386
l5_rep1,other,Homo sapiens,PAIRED,SRA,SRR14321250,SRX10676387,L5_rep1,GSM5264620,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL5_rep1_EKDL190133819-1a-AK16537-AK14824_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264620,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264620/suppl/GSM5264620_LiverL5_rep1_EKDL190133819-1a-AK16537-AK14824_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264620/suppl/GSM5264620_LiverL5_rep1_EKDL190133819-1a-AK16537-AK14824_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676387,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867229,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676387
l5_rep2,other,Homo sapiens,PAIRED,SRA,SRR14321251,SRX10676388,L5_rep2,GSM5264621,Public on Sep 03 2021,Apr 25 2021,Sep 03 2021,SRA,1,Liver,Homo sapiens,9606,there is no treaemnt for the cells,genomic DNA,LiverL5_rep2_EKDL190133819-1a-AK16808-AK14824_HM55FDSXX_L2,GPL24676,"xingqi,,chen",xingqi.chen@igp.uu.se,xingqi chen lab,IGP,Uppsala University,"Uppsala Biomedical Center C10:2, Husargatan 3",Uppsala,75108,Sweden,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM5264621,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264621/suppl/GSM5264621_LiverL5_rep2_EKDL190133819-1a-AK16808-AK14824_HM55FDSXX.norm.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5264nnn/GSM5264621/suppl/GSM5264621_LiverL5_rep2_EKDL190133819-1a-AK16808-AK14824_HM55FDSXX_peaks.narrowPeak.gz,GSE173277,0,SRX10676388,control donors characterized by normoglycemia,Liver,hg19,bigwig and peaks,https://www.ncbi.nlm.nih.gov/biosample/SAMN18867228,https://www.ncbi.nlm.nih.gov/sra?term=SRX10676388
