sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_characteristics_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,genome_build,biosample,sra
bgp_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909988,SRX8456470,BGP challenge Donor 1-1,GSM4646355,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with BGP for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646355,NONE,"GSE153520, GSE153522",0,SRX8456470,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086984,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456470
bgp_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909987,SRX8456471,BGP challenge Donor 1-2,GSM4646356,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with BGP for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646356,NONE,"GSE153520, GSE153522",0,SRX8456471,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086985,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456471
control_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909976,SRX8456482,Control Donor 1-1,GSM4646357,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy untreated neutrophils,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646357,NONE,"GSE153520, GSE153522",0,SRX8456482,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086986,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456482
control_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909965,SRX8456493,Control Donor 1-2,GSM4646358,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy untreated neutrophils,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646358,NONE,"GSE153520, GSE153522",0,SRX8456493,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086987,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456493
flag_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909954,SRX8456504,FLAG challenge Donor 1-1,GSM4646359,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with FLAG for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646359,NONE,"GSE153520, GSE153522",0,SRX8456504,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086988,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456504
flag_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909943,SRX8456515,FLAG challenge Donor 1-2,GSM4646360,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with FLAG for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646360,NONE,"GSE153520, GSE153522",0,SRX8456515,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086989,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456515
hmgb1_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909932,SRX8456526,HMGB1 challenge Donor  1-1,GSM4646361,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with  HMGB1 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646361,NONE,"GSE153520, GSE153522",0,SRX8456526,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086990,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456526
hmgb1_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909921,SRX8456537,HMGB1 challenge Donor 1-2,GSM4646362,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with HMGB1 for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646362,NONE,"GSE153520, GSE153522",0,SRX8456537,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086991,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456537
lps_challenge_donor_1-1,other,Homo sapiens,PAIRED,SRA,SRR11909914,SRX8456544,LPS challenge Donor  1-1,GSM4646363,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with  LPS for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646363,NONE,"GSE153520, GSE153522",0,SRX8456544,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086992,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456544
lps_challenge_donor_1-2,other,Homo sapiens,PAIRED,SRA,SRR11909913,SRX8456545,LPS challenge Donor 1-2,GSM4646364,Public on Jun 30 2020,Jun 29 2020,Jun 30 2020,SRA,1,Healthy primary neutrophils challenged with LPS for 1 hour,Homo sapiens,9606,cell type: neutrophils,genomic DNA,GPL20795,"Samuel,,Yang",Emergency Medicine,Stanford University School of Medicine,1201 Welch Road,Palo Alto,CA,94305,USA,HiSeq X Ten,other,genomic,ATAC-seq,GSM4646364,NONE,"GSE153520, GSE153522",0,SRX8456545,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN15086993,https://www.ncbi.nlm.nih.gov/sra?term=SRX8456545
