sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,donor,gender,genome_build,supplementary_files_format_and_content,biosample,sra
a_1_p,,,,,,,A_1_p,GSM3381815,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381815,NONE,"GSE119731, GSE119734",0,SRX4665760,Peripheral Blood,Naive CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026229,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665760
a_1_q,,,,,,,A_1_q,GSM3381816,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381816,NONE,"GSE119731, GSE119734",0,SRX4665761,Peripheral Blood,Naive CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026228,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665761
a_2_p,,,,,,,A_2_p,GSM3381817,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381817,NONE,"GSE119731, GSE119734",0,SRX4665762,Peripheral Blood,GM-CSF positive CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026227,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665762
a_2_q,,,,,,,A_2_q,GSM3381818,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381818,NONE,"GSE119731, GSE119734",0,SRX4665763,Peripheral Blood,GM-CSF positive CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026226,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665763
a_3_p,,,,,,,A_3_p,GSM3381819,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381819,NONE,"GSE119731, GSE119734",0,SRX4665764,Peripheral Blood,GM-CSF negative CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026225,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665764
a_3_q,,,,,,,A_3_q,GSM3381820,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381820,NONE,"GSE119731, GSE119734",0,SRX4665765,Peripheral Blood,GM-CSF negative CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026224,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665765
a_4_p,,,,,,,A_4_p,GSM3381821,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381821,NONE,"GSE119731, GSE119734",0,SRX4665766,Peripheral Blood,Bulk CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026223,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665766
a_4_q,,,,,,,A_4_q,GSM3381822,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381822,NONE,"GSE119731, GSE119734",0,SRX4665767,Peripheral Blood,Bulk CD4 T cells,A,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026222,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665767
b_1_p,,,,,,,B_1_p,GSM3381823,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381823,NONE,"GSE119731, GSE119734",0,SRX4665768,Peripheral Blood,Naive CD4 T cells,B,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026221,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665768
b_1_q,,,,,,,B_1_q,GSM3381824,Public on Jul 21 2021,Sep 10 2018,Jul 21 2021,SRA,1,Peripheral Blood,Homo sapiens,9606,"Peripheral blood mononuclear cell (PBMC) isolation by Ficoll gradient, followed by magnetic activated cell sorting (MACS) of given CD4 T cell sub-populations as follows. Naive, total (bulk) and memory CD4 T cells were isolated in parallel by negative magnetic isolation according to the manufacturer's protocol (Miltenyi Biotec). From an aliquot of total CD4 T cells, GM-CSF producing and GM-CSF negative cells were subsequently isolated without restimulation using the GM-CSF Secretion Assay - Cell  ...",Primary cells from human peripheral blood.,genomic DNA,"Nuclear isolation was carried out according to Buenrostro et al. 2013 (PMID: 24097267)., Library construction including tagmentation and PCR amplification was performed according to Buenrostro et al. 2013 (PMID: 24097267) followed by additional gel size selection of DNA in the size range of 150-230 base pairs.","Base-calling was performed using Illumina HiSeq Control/Real Time Analysis software., Base-call files were demultiplexed and converted to fastq files using bcl2fastq version 2.17.1.14., Fastq files were adapter-trimmed using scythe version 0.991 and quality-trimmed using sickle version 1.33., Trimmed fastq files were aligned to the human genome version hg38 using bowtie version 2.3.0 with the ‘--very-sensitive’ setting., Bam files were sorted, indexed and filtered using samtools version 0.1.19 t ...",GPL16791,"Szabolcs,,Éliás",Karolinska Institute,Karolinska University Hospital,Stockholm,17176,Sweden,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3381824,NONE,"GSE119731, GSE119734",0,SRX4665769,Peripheral Blood,Naive CD4 T cells,B,male,hg38,tab delimited text file containing read counts at reproducibly accessible genomic regions (consensus peaks),https://www.ncbi.nlm.nih.gov/biosample/SAMN10026220,https://www.ncbi.nlm.nih.gov/sra?term=SRX4665769
