sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,tissue,strain,age,assembly,supplementary_files_format_and_content,biosample,sra
cca_t_c39,,,,,,,CCA_T_C39,GSM7093993,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Bile Duct,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093993,NONE,GSE227265,0,SRX19662863,Tumor,Bile Duct,Male,61,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745949,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662863
cca_t_c56,,,,,,,CCA_T_C56,GSM7093994,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Bile Duct,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093994,NONE,GSE227265,0,SRX19662864,Tumor,Bile Duct,Female,52,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745948,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662864
cca_t_c60,,,,,,,CCA_T_C60,GSM7093995,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Bile Duct,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093995,NONE,GSE227265,0,SRX19662865,Tumor,Bile Duct,Female,79,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745947,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662865
hcc_t_h23,,,,,,,HCC_T_H23,GSM7093996,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093996,NONE,GSE227265,0,SRX19662866,Tumor,Liver,Female,42,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745946,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662866
hcc_t_h30,,,,,,,HCC_T_H30,GSM7093997,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093997,NONE,GSE227265,0,SRX19662867,Tumor,Liver,Male,63,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745945,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662867
hcc_t_h38,,,,,,,HCC_T_H38,GSM7093998,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093998,NONE,GSE227265,0,SRX19662868,Tumor,Liver,Male,74,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745944,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662868
hcc_t_h58,,,,,,,HCC_T_H58,GSM7093999,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7093999,NONE,GSE227265,0,SRX19662869,Tumor,Liver,Male,73,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745943,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662869
hcc_t_h62,,,,,,,HCC_T_H62,GSM7094000,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7094000,NONE,GSE227265,0,SRX19662870,Tumor,Liver,Female,67,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745942,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662870
hcc_t_h63,,,,,,,HCC_T_H63,GSM7094001,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7094001,NONE,GSE227265,0,SRX19662871,Tumor,Liver,Male,81,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745941,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662871
hcc_t_h65,,,,,,,HCC_T_H65,GSM7094002,Public on Nov 08 2023,Mar 13 2023,Nov 08 2023,SRA,1,Liver,Homo sapiens,9606,genomic DNA,10x Genomics,GPL24676,"Amanda,,Craig",craigaj@nih.gov,National Institutes of Health,37 Convent Dr. Bld.37/Rm.3044,Bethesda,Maryland,20892,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7094002,NONE,GSE227265,0,SRX19662872,Tumor,Liver,Female,62,GRCh38,comma-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN33745940,https://www.ncbi.nlm.nih.gov/sra?term=SRX19662872
